"Bearbeitungsvermerke","ملاحضات التحرير"
"Nur vom Jobcenter auszufüllen","التعبئه من مكتب العمل فقط"
"Hauptantrag","الطلب الرئيسي"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","الطلب من أجل المعونة المالية لتأمين مسلتزمات الحياة حسب الكتاب الثاني من كتاب التأمين الأجتماعي SGB II"
"Zutreffendes bitte ankreuzen","يرجى وضع الإشارة"
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","تجدون المزيد من الإرشادات لكل فقرة فى ملحق ملئ البيانات"
"Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung.","يمكنك الحصول على مشورة بشأن حماية البيانات من مركز التوظيف المسؤول عنك ، وكذلك على الإنترنت تحت العنوان www.arbeitsagentur.de/datenerhebung."
"Anrede","اللقب (دكتور, استاذ الخ)"
"Vorname","الإسم"
"Familienname","الكنية (إسم العائلة)"
"Geburtsname (sofern abweichend)","الإسم عند الولادة (إذا كان مختلفا)"
"Geburtsort","مكان الولادة (المدينة)"
"Geburtsdatum","تاريخ الولادة"
"Geburtsland","بلد الولادة"
"Staatsangehörigkeit","الجنسية"
"Rentenversicherungsnummer","رقم التأمين التقاعدي"
"Straße, Hausnummer","إسم الشارع, رقم البيت"
"ggf. wohnhaft bei","مقيم/ أسكن مع"
"Postleitzahl","الرمز البريدي"
"Wohnort","المدينة"
"Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.","معلومات البريد الالكتروني والهاتف هي طوعية."
"Telefonnummer","رقم الهاتف"
"E-Mail-Adresse","البريد الإلكتروني"
"Mein Familienstand","الحالة الإجتماعية"
"Ich bin","أنا"
"ledig","عازب\ـة"
"verheiratet","متزوج\ـة"
"verwitwet","أرمل\ـة"
"geschieden seit","مطلق\ـة من تاريخ"
"dauernd getrennt lebend seit","منفصل\ـة من تاريخ"
"eingetragen seit","مسجل منذ"
"aufgehoben seit","تم إيقافها من تاريخ"
"Hier sind Mehrfachnennungen möglich.","هنا يمكنكم إختيار أكثر من جواب واحد."
"Kosten der Unterkunft und Heizung","تكاليف السكن والتدفئة"
"Mir entstehen Kosten für Unterkunft und Heizung.","تترتّب عليّ تكاليف السكن والتدفئة."
"Ja","نعم"
"Nein","لا"
"Bitte füllen Sie die **Anlage KDU** aus.","يرجى تعبئة **Anlage KDU**"
"Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.","في الشهر الذي تقدمت فيه بهذا الطلب، حصلت أو طلبت الحصول على خدمات من مكتب عمل آخر."
"Falls ja, legen Sie bitte entsprechende Nachweise vor.","إذا كانت الإجابة بنعم، برجاء تقديم المستندات المثبتة لذلك."
"Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.","لدي **الحق** في الحصول على مساعدات طبقا **لقانون مساعدات الاجئين**."
"Legen Sie bitte entsprechende Nachweise (z. B. Aufenthaltserlaubnis, Aufenthaltsgestattung, Duldung, Bescheid des Bundesamtes für Migration und Flüchtlinge (BAMF)) vor.","يرجى تقديم الأدلة المناسبة (مثل تصريح الإقامة ، إذن الإقامة ، التسامح ، الإخطار من المكتب الفيدرالي للهجرة واللاجئين (BAMF))."
"Dauer der Schulausbildung von - bis","التدريب المدرسي هو من تاريخ –إلى تاريخ"
"Falls ja, legen Sie bitte entsprechende Nachweise (z. B. Schulbescheinigung) vor.","لو الإجابة ""بنعم""، يجب تقديم ما يثبت ( شهادات دراسية مثلًا)"
"Dauer des Studiums von - bis","فترة دراستي هي من تاريخ إلى تاريخ"
"Falls ja, legen Sie bitte entsprechende Nachweise (z. B. Immatrikulationsbescheinigung) vor.","إذا كانت الإجابة بنعم ، يرجى تقديم الأدلة المناسبة (مثل شهادة التسجيل)."
"Dauer der Ausbildung von - bis","فترة التدريب من تاريخ إلى تاريخ"
"Falls ja, legen Sie bitte den Ausbildungsvertrag vor.","إذا كانت الإجابة بنعم ، يرجى تقديم عقد التدريب."
"Ich befinde mich derzeit oder demnächst in einer **stationären Einrichtung** (z. B. Krankenhaus, Altenheim, Justizvollzugsanstalt).","أنا حاليا أو سأكون قريبا في **احدى الأماكن** التالية. مثلا: (مستشفى, دار المسونين, السجن)."
"Dauer der Unterbringung von - bis","فترة التسكين من تاريخ إلى تاريخ"
"Art der stationären Einrichtung","نوع مرفق المرضى الداخليين"
"Falls ja, legen Sie bitte eine gültige Bescheinigung über den Aufenthalt und die Dauer vor.","إذا كانت الإجابة بنعم ، يرجى تقديم شهادة إقامة صالحة ومدة الإقامة."
