Nur vom Jobcenter auszufüllen,
Hauptantrag,
Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II),
Zutreffendes bitte ankreuzen,
Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen,
Die Ausfüllhinweise und weiteren Anlagen finden Sie auch im Internet unter www.arbeitsagentur.de,
Meine persönlichen Daten,
Allgemein,
Anrede,
Vorname,Prezime
Familienname,
Geburtsname (sofern abweichend),
Geburtsort,
Geburtsdatum,Datum rođenja
Geburtsland,
Staatsangehörigkeit,
Rentenversicherungsnummer,
Rentenversicherungsnummer wurde beantragt,
"Straße, Hausnummer",
ggf. wohnhaft bei,
Postleitzahl,
Wohnort,
Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.,
Telefonnummer,
E-Mail-Adresse,
Mein Familienstand,
Ich bin,
ledig,
verheiratet,
verwitwet,
geschieden seit,
dauernd getrennt lebend seit,
Meine gleichgeschlechtliche Lebenspartnerschaft ist,
eingetragen,
aufgehoben seit,
Meine Bankverbindung,
SGB II-Leistungen werden in der Regel auf ein Konto überwiesen.,
Kontoinhaberin/Kontoinhaber,
Kreditinstitut,
BIC,
IBAN,
BIC und IBAN finden Sie in der Regel auf Ihrem Kontoauszug.,
Bearbeitungsvermerke,
Meine persönlichen Angaben,
Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.,
Ja,
Nein,
"Falls ja, legen Sie bitte entsprechende Nachweise vor.",
Ich bin **Spätaussiedlerin/Spätaussiedler und** besitze noch nicht die **deutsche** Staatsangehörigkeit.,
"Falls ja, legen Sie bitte den Aufnahmebescheid vor.",
Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.,
"Falls ja, legen Sie bitte entsprechende Nachweise (z. B. Aufenthaltsgestattung, Aufenthaltserlaubnis, Duldung) vor.",
"Ich bin – meiner Einschätzung nach – **gesundheitlich** in der Lage, eine Tätigkeit von mindestens **drei Stunden täglich** auszuüben.",
"Wenn Sie Nein angekreuzt haben, besteht für Sie möglicherweise kein Anspruch auf Leistungen des SGB II. Sie können in diesem Fall Leistungen nach dem Zwölften Buch Sozialgesetzbuch (SGB XII) beantragen.",
Ich bin **Schülerin/Schüler**.,
Dauer der Schulausbildung von - bis,
"Falls ja, legen Sie bitte entsprechende Nachweise (z. B. Schulbescheinigung) vor.",
Ich bin **Studentin/Student**.,
Dauer des Studiums von - bis,
"Falls ja, legen Sie bitte eine gültige Bescheinigung vor.",
Ich habe Leistungen nach dem **Bundesausbildungsförderungsgesetz (BAföG)** beantragt.,
"Falls ja, legen Sie bitte einen Nachweis über die Antragstellung oder – soweit über Ihren (BAföG)-Antrag bereits entschieden wurde – den entsprechenden Bescheid über die Bewilligung oder Ablehnung vor.",
Ich bin **Auszubildende/Auszubildender**.,
Dauer der Ausbildung von - bis,
"Während der Ausbildung bin ich in einem **Wohnheim, Internat** oder beim **Ausbilder mit voller Verpflegung** oder **anderweitig mit Kostenerstattung** für Unterkunft und Verpflegung untergebracht.",
"Ich befinde mich derzeit oder demnächst in einer **stationären Einrichtung** (z. B. Krankenhaus, Altenheim, Justizvollzugsanstalt).",
Dauer der Unterbringung von - bis,
"Falls ja, legen Sie bitte eine gültige Bescheinigung über den Aufenthalt und dessen Dauer vor.",
Personen in meiner Bedarfsgemeinschaft,
"Leben Sie allein, dann gehen Sie bitte zu Abschnitt 3.",
Zu meiner Bedarfsgemeinschaft gehört/gehören neben mir ... weitere Person/en.,
Folgende Aussagen treffen auf meine Bedarfsgemeinschaft zu:,
Hier sind Mehrfachnennungen möglich.,
Ich lebe zusammen mit meiner **Ehegattin**/meinem **Ehegatten**. Wir leben **nicht** dauernd getrennt.,
Ich lebe zusammen mit meiner **eingetragenen gleichgeschlechtlichen Lebenspartnerin**/meinem **eingetragenen gleichgeschlechtlichen Lebenspartner**. Wir leben **nicht** dauernd getrennt.,
Ich lebe mit meiner Partnerin/meinem Partner in einer **Verantwortungs- und Einstehensgemeinschaft** („eheähnliche Gemeinschaft”).,
Ich lebe mit mindestens einem unverheirateten Kind unter 25 Jahren zusammen.,
Ich bin unter 25 Jahre alt und lebe mit meinen Eltern bzw. einem Elternteil zusammen.,
Persönliche Daten der weiteren Person/en meiner Bedarfsgemeinschaft,
"Berücksichtigen Sie hier die Person/en, die außer Ihnen zur Bedarfsgemeinschaft gehört/gehören. Da Sie die Leistung beantragen, wird davon ausgegangen, dass Sie auch die Vertretung Ihrer Bedarfsgemeinschaft übernommen haben. Dies gilt nicht mehr, wenn über 15-jährige Mitglieder Ihrer Bedarfsgemeinschaft gegenüber dem Jobcenter erklären, dass sie ihre Interessen selbst wahrnehmen wollen, z. B. durch eine eigene Antragstellung (§ 38 SGB II). Zu den nicht vertretenen Personen sind hier keine Angaben erforderlich.",
"Bitte füllen Sie für jedes Kind unter 15 Jahren die **Anlage KI** und für alle anderen Personen, die Sie vertreten, jeweils die **Anlage WEP** aus. Dies gilt auch dann, wenn es sich hierbei um ein minderjähriges Kind handelt, das sich (z. B. aufgrund eines geteilten Umgangsrechts) nicht durchgehend in Ihrem Haushalt aufhält.",
Ich füge diesem Antrag ... **Anlage/n KI** und ... **Anlage/n WEP** bei.,
Meine Haushaltsgemeinschaft,
"In meinem Haushalt wohnt/wohnen neben mir ... weitere Person/en, die nicht zur Bedarfsgemeinschaft, jedoch zur Haushaltsgemeinschaft gehört/gehören.",
Davon ist/sind ... Person/en mit mir verwandt oder verschwägert.,
"Bitte machen Sie Angaben zu Personen, mit denen Sie verwandt oder verschwägert sind, in der **Anlage HG**.",
Davon ist/sind ... Person/en **nicht** mit mir verwandt oder verschwägert.,
Bitte füllen Sie für diese Personen die **Anlage VE** aus.,
Prüfung eines Mehrbedarfs,
"Die Angaben sind freiwillig und nur erforderlich, wenn Sie einen Mehrbedarf beantragen möchten.",
Ich bin **alleinerziehend**.,
Ich bin **schwanger**.,
"Bitte legen Sie einen Nachweis vor, aus dem der voraussichtliche Entbindungstermin hervorgeht.",
Ich benötige aus medizinischen Gründen eine **kostenaufwändige Ernährung**.,
Bitte füllen Sie die **Anlage MEB** aus.,
Ich habe eine **Behinderung und** erhalte,
- Leistungen zur Teilhabe am Arbeitsleben nach § 33 Neuntes Buch Sozialgesetzbuch (SGB IX) **oder**,
- sonstige Hilfen zur Erlangung eines geeigneten Arbeitsplatzes **oder**,
- Eingliederungshilfen nach § 54 Abs. 1 Satz 1 Nr. 1-3 Zwölftes Buch Sozialgesetzbuch (SGB XII).,
Bitte legen Sie einen entsprechenden Bescheid vor.,
Ich bin **nicht erwerbsfähig** und Inhaberin/Inhaber eines Ausweises nach § 69 Abs. 5 SGB IX mit dem **Merkzeichen G**.,
Bitte legen Sie einen entsprechenden Nachweis vor.,
"Ich habe regelmäßig einen **unabweisbaren, laufenden, nicht nur einmaligen besonderen Bedarf**, den ich nicht durch Einsparungen oder auf andere Weise abdecken kann",
(z. B. Kosten zur Wahrnehmung des Umgangsrechts bei getrennt lebenden Eltern).,
Bitte füllen Sie die **Anlage BB** aus.,
Einkommen,
Ich erziele Einkommen.,
"Falls ja, füllen Sie bitte für sich und ggf. für jede weitere Person Ihrer Bedarfsgemeinschaft ab 15 Jahren jeweils die **Anlage EK** aus. Bei Einkommen aus selbständiger Tätigkeit füllen Sie bitte **zusätzlich** die **Anlage EKS** aus.",
Vermögen,
Ich besitze Vermögen.,
Bitte tragen Sie Angaben über die Vermögensverhältnisse von sämtlichen Personen der Bedarfsgemeinschaft in die **Anlage VM** ein.,
Vorrangige Ansprüche,
Anspruch gegenüber der Agentur für Arbeit,
