"Bearbeitungsvermerke","Bearbeitungsvermerke"
"Nur vom Jobcenter auszufüllen","Nur vom Jobcenter auszufüllen"
"Hauptantrag","Hauptantrag"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)"
"Zutreffendes bitte ankreuzen","Zutreffendes bitte ankreuzen"
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen"
"Die nachstehenden Daten unterliegen dem Sozialgeheimnis (siehe „Merkblatt SGB II“). Ihre Angaben werden aufgrund der §§ 60 - 65 Erstes Buch Sozialgesetzbuch (SGB I) und der §§ 67a, b, c Zehntes Buch Sozialgesetzbuch (SGB X) für die Leistungen nach dem SGB II erhoben.","Die nachstehenden Daten unterliegen dem Sozialgeheimnis (siehe „Merkblatt SGB II“). Ihre Angaben werden aufgrund der §§ 60 - 65 Erstes Buch Sozialgesetzbuch (SGB I) und der §§ 67a, b, c Zehntes Buch Sozialgesetzbuch (SGB X) für die Leistungen nach dem SGB II erhoben."
"Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung.","Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung."
"Unter www.jobcenter.digital erhalten Sie in einem Video hilfreiche Tipps zum Ausfüllen des Hauptantrags SGB II. Hier finden Sie auch das „Merkblatt SGB II“, die Ausfüllhinweise und weiteren Anlagen.","Unter www.jobcenter.digital erhalten Sie in einem Video hilfreiche Tipps zum Ausfüllen des Hauptantrags SGB II. Hier finden Sie auch das „Merkblatt SGB II“, die Ausfüllhinweise und weiteren Anlagen."
"Persönliche Daten der Antragstellerin/des Antragstellers","Persönliche Daten der Antragstellerin/des Antragstellers"
"Anrede","Anrede"
"Vorname","Vorname"
"Familienname","Familienname"
"Geburtsname (sofern abweichend)","Geburtsname (sofern abweichend)"
"Geburtsort","Geburtsort"
"Geburtsdatum","Geburtsdatum"
"Geburtsland","Geburtsland"
"Staatsangehörigkeit","Staatsangehörigkeit"
"Rentenversicherungsnummer","Rentenversicherungsnummer"
"Rentenversicherungsnummer ist noch nicht vorhanden und wurde beantragt","Rentenversicherungsnummer ist noch nicht vorhanden und wurde beantragt"
"Straße, Hausnummer","Straße, Hausnummer"
"ggf. wohnhaft bei","ggf. wohnhaft bei"
"Postleitzahl","Postleitzahl"
"Wohnort","Wohnort"
