"Bearbeitungsvermerke","editorial notes"
"Nur vom Jobcenter auszufüllen","To be completed by Jobcenter only"
"Hauptantrag","Main application form"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","Application for benefits to secure the cost of living according to the Second Book of the Sozialgesetzbuch (SGB II)"
"Kreuzen Sie bitte Zutreffendes an.","Please mark with a cross where applicable"
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","For further information see the attached instructions for each number on how to complete the form"
"Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung.","You can obtain information on data protection from the Job Centre in your jurisdiction as well as online at www.arbeitsagentur.de/datenerhebung."
"Persönliche Daten der Antragstellerin/des Antragstellers","Personal details of the applicant"
"Anrede","Salutation"
"Vorname","First name"
"Familienname","Last name"
"Geburtsname (sofern abweichend)","Maiden name (if different from last name)"
"Geburtsort","Place of birth"
"Geburtsdatum","Date of birth"
"Geburtsland","Country of origin"
"Staatsangehörigkeit","Nationality"
"Rentenversicherungsnummer","Rentenversicherungsnummer (Social Security Number)"
"Straße, Hausnummer","Street, Number"
"Postleitzahl","Zip code"
"Wohnort","Place of residence"
"Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.","Information regarding telephone number and e-mail address are voluntary."
"Telefonnummer","Telephone number"
"E-Mail-Adresse","E-mail address"
"Antragsstellung","Filing an application"
"ab einem späteren Zeitpunkt","at a later time"
"Mein Familienstand","My marital status"
"ledig","single"
"verheiratet","married"
"verwitwet","widowed"
"eingetragene Lebenspartnerschaft","civil partnership"
"dauernd getrennt lebend seit:","permanently separated since"
"geschieden seit:","divorced since"
"Ich wohne alleine","I live alone"
"Hier sind Mehrfachnennungen möglich.","Multiple answers are possible."
"meiner Ehegattin/meinem Ehegatten","my spouse"
"Bitte füllen Sie die **Anlage WEP** aus.","Please complete **attachment MEB**."
"… unverheirateten Kind(ern) unter 15 Jahren","… unmarried child(ren) younger than 15"
"Kosten der Unterkunft und Heizung","Expenses for accomodation and heating"
"Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.","I have already claimed benefits at or received benefits from a different Jobcenter."
"Ja","Yes"
"Nein","No"
"Falls ja, legen Sie bitte entsprechende Nachweise vor.","If you checked ""yes"", please attach relevant evidence."
"Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.","I am a **beneficiary** according to the **Asylum Seekers' Benefits Act (Asylbewerberleistungsgesetz)**."
