"Nur vom Jobcenter auszufüllen","Para ser rellenado solo por el Jobcenter"
"Hauptantrag","Solicitante principal"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","Solicitud de apoyo para subsidio de manutención según el (SGB II)"
"Zutreffendes bitte ankreuzen","Maque por favor donde corresponda"
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","Para mayor información consulte el número referido en la parte de instrucciones para rellenar el formulario"
"Die Ausfüllhinweise und weiteren Anlagen finden Sie auch im Internet unter www.arbeitsagentur.de","Las instrucciones de como rellenar el formulario, así como otros archivos adjuntos también se pueden encontrar en Internet en  el link www.arbeitsagentur.de"
"Meine persönlichen Daten","Mis datos personales"
"Allgemein","General"
"Anrede","Encabezamiento "
"Vorname","nombre"
"Familienname","Apellido
"
"Geburtsort","lugar de nacimiento"
"Geburtsdatum","fecha de nacimiento"
"Geburtsland","País natal"
"Staatsangehörigkeit","nacionalidad"
"Rentenversicherungsnummer","número del seguro de pensiones"
"Rentenversicherungsnummer wurde beantragt","Se solicitó el número de seguro de jubilación"
"Straße, Hausnummer","Calle, número"
"ggf. wohnhaft bei","en caso de aplicar, domiciliado en"
"Postleitzahl","Código Postal"
"Wohnort","Localidad"
"Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.","Número de teléfono y correo electrónico no son obligatorios "
"Telefonnummer","Teléfono"
"E-Mail-Adresse","Correo electrónico"
"Mein Familienstand","Estado civil "
"Ich bin","Soy"
"ledig","soltero/a"
"verheiratet","casado/a"
"verwitwet","viudo/a"
"geschieden seit","Divorciado/a desde"
"dauernd getrennt lebend seit","Permanentemente separado/a desde"
"Meine gleichgeschlechtliche Lebenspartnerschaft ist","Mi matrimonio entre personas del mismo sexo fue"
"aufgehoben seit","anulado desde"
"Meine Bankverbindung","Mi cuenta bancaria"
"Kontoinhaberin/Kontoinhaber","Titular de la cuenta"
"Kreditinstitut","Entidad financiera"
"IBAN","IBAN"
"Meine persönlichen Angaben","Mis datos personales"
"Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.","Durante el mes de la solicitud ya solicité  o recibí apoyo de otro Jobcenter"
"Ja","Sí"
"Nein","No"
"Falls ja, legen Sie bitte entsprechende Nachweise vor.","En caso afirmativo, proporsione por favor las pruebas necesarias."
"Ich bin **Spätaussiedlerin/Spätaussiedler und** besitze noch nicht die **deutsche** Staatsangehörigkeit.","Soy **Repatriado/a alemán/ana tardío/a y ** aun no tengo la nacionalidad **alemana**."
"Falls ja, legen Sie bitte den Aufnahmebescheid vor.","En caso afirmativo, envíe el aviso de admisión"
"Ich bin **Berechtigte/Berechtigter** nach dem **Asylbewerberleistungsgesetz**.","Soy ** Beneficiaria/o** conforme a ""la ley sobre prestaciones para solicitante de asilo"""
"Art der Tätigkeit","Tipo de actividad"
"Leistung","Forma del subsidio"
"Anschrift","Dirección"
"Grund","superficie"
"Aktenzeichen","No de referencia"
"Antragsdatum","fecha de solicitud"
