"Bearbeitungsvermerke","Заметки по обработке"
"Nur vom Jobcenter auszufüllen","Заполняется только центром по трудоустройству"
"Hauptantrag","Основное заявление"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","Заявление на предоставление пособия по безработице согласно 2-му тому Социального кодекса (SGB II)"
"Kreuzen Sie bitte Zutreffendes an.","Подходящее отметить крестиком"
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","Дополнительную информацию по каждому пункту Вы найдете в приложении с указаниями по заполнению."
"Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung.","Информацию о защите персональных данных Вы можете получить в Вашем Центре по трудоустройству, а также дополнительно в интернете по ссылке www.arbeitsagentur.de/datenerhebung."
"Anrede","Обращение"
"Vorname","Имя"
"Familienname","Фамилия"
"Geburtsname (sofern abweichend)","Фамилия, указанная в свидетельстве о рождении (если отличается от указанной выше)"
"Geburtsort","Место рождения"
"Geburtsdatum","Дата рождения"
"Geburtsland","Страна рождения"
"Staatsangehörigkeit","Гражданство"
"Rentenversicherungsnummer","Номер пенсионного страхования"
"Straße, Hausnummer","Улица, номер дома"
"Postleitzahl","Индекс"
"Wohnort","Место проживания"
"Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.","Указание номера телефона и адреса электронной почты является добровольным."
"Telefonnummer","Номер телефона"
"E-Mail-Adresse","Адрес электронной почты"
"Mein Familienstand","Моё семейное положение"
"ledig","холост / не замужем"
"verheiratet","женат / замужем"
"verwitwet","вдовец / вдова"
"eingetragene Lebenspartnerschaft","зарегистрированное гражданское партнерство"
"dauernd getrennt lebend seit:","продолжительное время проживаю раздельно (как долго)"
"geschieden seit:","разведен /-(а)"
"Leben Sie allein, sind unter 3.2 keine weiteren Angaben erforderlich. Bitte weiter bei Abschnitt 3.3.","В случае, если Вы проживаете один/одна, дополнительные сведения в части 2.2 не требуются. Перейдите, пожалуйста, к части 3.3."
"Hier sind Mehrfachnennungen möglich.","Здесь можно отметить несколько вариантов."
"Bitte füllen Sie die **Anlage WEP** aus.","Пожалуйста, заполните **приложение WEP**."
"Kosten der Unterkunft und Heizung","Затраты на жилье и отопление"
