"Vorname","Adı"
"Geburtsort","Doğum yeri"
"Geburtsdatum","Doğum tarihi"
"Staatsangehörigkeit","Uyruğu"
"Rentenversicherungsnummer","Emeklilik sigortası numarası"
"Telefonnummer","telefon nosu"
"E-Mail-Adresse","email adresi"
"ledig","bekar"
"verheiratet","evli"
"verwitwet","dul"
"eingetragene Lebenspartnerschaft","kayıtlı yaşam ortaklığı"
"Ja","Evet"
"Nein","Hayır"
"Art der Tätigkeit","Yapdıgınız iş"
"Leistung","yardim bedeli"
"Antragsdatum","Dilekçe tarihi"
"Anschrift","Adresi"
"Grund","Nedeni"
"IBAN","IBAN"
