"An das","(المرسل اليه)."
"Amtsgericht","المحكمة الرسمية"
"Postleitzahl, Ort","الرقم البريدي و البلدة"
"*Diese Felder sind nicht vom Antragsteller auszufüllen.*","*الحقول التالية تترك فارغة.*"
"Antrag auf Bewilligung von Beratungshilfe","طلب المساعدة الاستشارية."
"Antragsteller (Name, Vorname, ggf. Geburtsname)","مقدم الطلب (اسم، اسم العائلة)"
"Beruf, Erwerbstätigkeit","المهنة"
"Geburtsdatum","تاريخ الميلاد"
"Familienstand","الحالة الإجتماعية"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","العنوان (الشارع، رقم المنزل، الرقم البريدي، البلدة)"
"Tagsüber telefonisch erreichbar unter Nummer","رقم الهاتف"
"Ich beantrage Beratungshilfe in folgender Angelegenheit (bitte Sachverhalt kurz erläutern):","انا اطلب المساعدة الإستشارية في هذا الأمر (وصف وجيز عن الموضوع)"
"In der vorliegenden Angelegenheit tritt keine Rechtsschutzversicherung ein.","لا يوجود تأمين على المصاريف القضائية في هذا الأمر"
"In dieser Angelegenheit ist mir bisher Beratungshilfe weder bewilligt noch versagt worden.","لم يقم احد بالموافقة او الرفض على مساعدة استشارية في هذا الأمر وحتى الآن."
"In dieser Angelegenheit wird oder wurde von mir bisher kein gerichtliches Verfahren geführt.","لم توجد اية محاكمة من قبل لهذا الأمر وحتى الآن."
"**Wichtig: Wenn Sie nicht alle diese Kästchen ankreuzen können, kann Beratungshilfe nicht bewilligt werden. Eine Beantwortung der weiteren Fragen ist dann *nicht* erforderlich.**","**مهم: في حالة عدم استطاعتك ملئ جميع الحقول, فليست هنالك امكانية للموافقة على طلب المساعدة الاستشارية. في هذه الحالة ليس من الضروري الإجابة على الأسئلة التالية.**"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch („Sozialhilfe“) beziehen und den derzeit gültigen Bescheid einschließlich des Berechnungsbogens des Sozialamtes beifügen, müssen Sie keine Angaben zu den Feldern C bis G machen, es sei denn, das Gericht ordnet dies ganz oder teilweise an. Wenn Sie dagegen Leistungen nach dem Zweiten Buch Sozialgesetzbuch („Arbeitslosengeld II“) beziehen, müssen Sie die Felder ausfüllen.","في حالة الحصول على إعالة بموجب كتاب القانون الاجتماعي الثاني عشر („Sozialhilfe“) و إرفاق قسيمة الإعالة الصالحة و ورقة الإحتساب من المكتب الاجتماعي , فلا يجب عليك ملئ الحقول من (ت) الى (خ) , الا إذا أمرت المحكمة بذلك. ولكن في حالة الحصول على إعالة بموجب كتاب القانون الاجتماعي الثاني („Arbeitslosengeld II“) فيجب عليك ملئ تلك الحقول."
