"Anrede","اللقب (دكتور, استاذ الخ)"
"Vorname","الإسم"
"Familienname","الكنية (إسم العائلة)"
"Geburtsdatum","تاريخ الولادة"
"Straße, Hausnummer","إسم الشارع, رقم البيت"
"Postleitzahl","الرمز البريدي"
"Wohnort","المدينة"
"Art der Tätigkeit","نوع العمل"
"Ja","نعم"
"Nein","لا"
"Bildung und Teilhabe","التعليم المهني والمشاركة"
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","تم تعيين مشرف\ة من قبل ** محكمة الرعاية\محكمة البداية **."
"Ort/Datum","المكان\التاريخ"
"Unterschrift Betreuerin/Betreuer","توقيع المشرف \ المشرفة"
"Ich bestätige, dass die Angaben richtig sind.","أؤكد بأن جميع البيانات صحيحة."
"Unterschrift Antragstellerin/Antragsteller","توقيع مقدم\مقدمة الطلب"
