"Weiterbewilligungsantrag","Weiterbewilligungsantrag"
"Antrag auf Weiterbewilligung des Bürgergeldes nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","Antrag auf Weiterbewilligung des Bürgergeldes nach dem Zweiten Buch Sozialgesetzbuch (SGB II)"
"Kreuzen Sie bitte Zutreffendes an.","Kreuzen Sie bitte Zutreffendes an."
"Reichen Sie bitte grundsätzlich keine Originalbelege, sondern Kopien ein.","Reichen Sie bitte grundsätzlich keine Originalbelege, sondern Kopien ein."
"Hier können Sie die Weiterbewilligung online beantragen. Unter *www.jobcenter.digital* erhalten Sie Informationen zu unseren digitalen Angeboten, das Merkblatt SGB II und weitere Anlagen zum Antrag.","Hier können Sie die Weiterbewilligung online beantragen. Unter *www.jobcenter.digital* erhalten Sie Informationen zu unseren digitalen Angeboten, das Merkblatt SGB II und weitere Anlagen zum Antrag."
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen unter *www.arbeitsagentur.de/hinweise-sgb2*.","Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen unter *www.arbeitsagentur.de/hinweise-sgb2*."
"Die nachstehenden Daten unterliegen dem Sozialgeheimnis (siehe ""Merkblatt SGB II""). Ihre Angaben werden aufgrund der §§ 60 - 65 Erstes Buch Sozialgesetzbuch (SGB I) und der §§ 67a, b, c Zehntes Buch Sozialgesetzbuch (SGB X) für die Leistungen nach dem SGB II erhoben. Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter *www.arbeitsagentur.de/datenerhebung*.","Die nachstehenden Daten unterliegen dem Sozialgeheimnis (siehe ""Merkblatt SGB II""). Ihre Angaben werden aufgrund der §§ 60 - 65 Erstes Buch Sozialgesetzbuch (SGB I) und der §§ 67a, b, c Zehntes Buch Sozialgesetzbuch (SGB X) für die Leistungen nach dem SGB II erhoben. Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter *www.arbeitsagentur.de/datenerhebung*."
"Beachten Sie bitte, dass in den Abschnitten 2. bis 5. nicht nur nach Änderungen, sondern auch nach den derzeitigen Verhältnissen gefragt wird. Geben Sie in Abschnitt 6. bitte alle weiteren Änderungen in den persönlichen und wirtschaftlichen Verhältnissen an, die seit der letzten Antragstellung eingetreten sind und dem Jobcenter noch nicht mitgeteilt wurden.","Beachten Sie bitte, dass in den Abschnitten 2. bis 5. nicht nur nach Änderungen, sondern auch nach den derzeitigen Verhältnissen gefragt wird. Geben Sie in Abschnitt 6. bitte alle weiteren Änderungen in den persönlichen und wirtschaftlichen Verhältnissen an, die seit der letzten Antragstellung eingetreten sind und dem Jobcenter noch nicht mitgeteilt wurden."
"Falls Sie für Ihre Antworten mehr Platz benötigen, als im Formular vorgesehen ist, verwenden Sie bitte ein separates Blatt Papier und fügen dieses Ihrem Antrag bei.","Falls Sie für Ihre Antworten mehr Platz benötigen, als im Formular vorgesehen ist, verwenden Sie bitte ein separates Blatt Papier und fügen dieses Ihrem Antrag bei."
"Persönliche Daten der Antragstellerin/des Antragstellers","Persönliche Daten der Antragstellerin/des Antragstellers"
"Anrede","Anrede"
