"Kreuzen Sie bitte Zutreffendes an.","Please mark with a cross where applicable"
"Reichen Sie bitte grundsätzlich keine Originalbelege, sondern Kopien ein.","As a general rule, please do not submit original receipts, but copies."
"Persönliche Daten der Antragstellerin/des Antragstellers","Personal details of the applicant"
"Anrede","Salutation"
"Vorname","First name"
"Familienname","Last name"
"Geburtsdatum","Date of birth"
"Straße, Hausnummer","Street, Number"
"Postleitzahl","Zip code"
"Wohnort","Place of residence"
"Art der Tätigkeit","Type of work"
"Ja","Yes"
"Nein","No"
"Höhe der tatsächlichen monatlichen Kosten für die Unterkunft","Amount of the actual monthly cost of accommodation"
"Grundmiete (ohne Nebenkosten)","Basic rent (without utilities)"
"Nebenkosten (ohne Heizkosten)","Cost of utilities (without heating)"
"Heizkosten","Heating costs"
"sonstige Wohnkosten","other housing costs"
"Bitte legen Sie aktuelle Nachweise mit Angabe der jeweiligen Fälligkeit vor.","Please provide current documents indicating the respective due date."
"Ich wohne im Eigentum.","I live in my own property."
"Höhe der tatsächlichen monatlichen Kosten für das Eigentum","Amount of the actual monthly cost of the property"
"Schuldzinsen ohne Tilgungsraten","Debt interest without repayment installments"
"Bildung und Teilhabe","Education and participation"
"Meine Mitwirkungspflichten","My obligations to cooperate"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","Incorrectly paid benefits due to violations of the obligation to co-operate will in general be reclaimed from all persons entitled to benefits of your community of dependence. If your community of dependence consists of several persons, you, as representative, should involve all persons in filling in the form and coordinate with them all relevant data and the data which apply to them. Please make sure that all members receive all relevant information (e.g. decisions)."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","The **Betreuungsgericht/Amtsgericht** has ordered an assistant."
"Bitte legen Sie einen Nachweis über die Betreuung vor (Bestallungsurkunde oder Ausweis der Betreuerin/des Betreuers).","Please provide proof of guardianship (certificate of appointment or guardian's ID)."
"Ort/Datum","Location/date"
"Unterschrift Betreuerin/Betreuer","Signature of assistant"
"Ich bestätige, dass die Angaben richtig sind.","I hereby confirm that the information provided is correct."
"Unterschrift Antragstellerin/Antragsteller","Signature of the applicant"
