"Kreuzen Sie bitte Zutreffendes an.","با ضربدر جواب های درست را علامت بزنید."
"Anrede","تیتر"
"Vorname","اسم"
"Familienname","اسم فامیل"
"Geburtsdatum","تاریخ تولد"
"Straße, Hausnummer","خیابان، شماره پلاک"
"Postleitzahl","کد پستی"
"Wohnort","شهر محل زندگی"
"Art der Tätigkeit","نوع شغل"
"Ja","بلی"
"Nein","خیر"
"Bildung und Teilhabe","آموزش و حق شرکت در زندگی اجتماعی"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","در صورت نقض وظیفه همکاری در هر صورتی، از همه افراد تحت پوشش شما که کمک دریافت می دارند ،مبلغی پرداختی اضافه، پس گرفته خواهد شد. اگر افراد تحت پوشش شما باشند، شما بعنوان کسی که آنها را نمایندگی می کنید موظف هستید که در هنگام پرکردن درخواست ،همه افراد را دخالت داده و همه اطلاعات کلی ومربوطه را با آنان مطابقت دهید. لطفا اطلاع حاصل کنید که همه اعضا همه اطلاعات لازم را (مثل جواب) دریافت دارند."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","از طرف **دادگاه سرپرستی و یا دادگاه منطقه** یک سرپرست تعیین شده است."
"Ort/Datum","محل / تاریخ"
"Unterschrift Betreuerin/Betreuer","امضاء سرپرست"
"Ich bestätige, dass die Angaben richtig sind.","من گواهی می دهم که همه این اطلاعات صحیح می باشند."
"Unterschrift Antragstellerin/Antragsteller","امضاء متقاضی"
