"Kreuzen Sie bitte Zutreffendes an.","Cochez ce qui convient"
"Anrede","Titre"
"Vorname","Prénom"
"Familienname","Nom de famille"
"Geburtsdatum","Date de naissance"
"Straße, Hausnummer","Adresse, Rue, numéro"
"Postleitzahl","Code postal"
"Wohnort","Domicile"
"Art der Tätigkeit","Type d'activité"
"Ja","Oui"
"Nein","Non"
"Bildung und Teilhabe","Paquet Éducation"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","En cas de non-respect de ces obligations de collaboration, le remboursement des prestations trop perçues par toutes les personnes bénéficiaires d'une communauté de besoins est en règle générale demandé. Si d'autres personnes appartiennent à votre communauté de besoins, en tant que représentant(e), vous devriez faire participer toutes les personnes quand vous remplissez la demande et vous concerter pour les informations principales et celles les concernant. Assurez-vous par ailleurs que tous les membres reçoivent toutes les informations nécessaires (par ex. les avis)."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","Un tuteur/une tutrice a été désigné(e) par le **tribunal des tutelles/le tribunal d'instance**."
"Ort/Datum","Lieu/Date"
"Unterschrift Betreuerin/Betreuer","Signature du tuteur"
"Ich bestätige, dass die Angaben richtig sind.","J'atteste que les renseignements ci-dessus sont exacts."
"Unterschrift Antragstellerin/Antragsteller","Signature du demandeur"
