"Kreuzen Sie bitte Zutreffendes an.","Подходящее отметить крестиком"
"Anrede","Обращение"
"Vorname","Имя"
"Familienname","Фамилия"
"Geburtsdatum","Дата рождения"
"Straße, Hausnummer","Улица, номер дома"
"Postleitzahl","Индекс"
"Wohnort","Место проживания"
"Art der Tätigkeit","Вид деятельности"
"Ja","Да"
"Nein","Нет"
"Bildung und Teilhabe","Образование и участие в общественной жизни"
"**Bei Verstoß** gegen diese Mitwirkungspflichten werden in aller Regel von allen leistungsberechtigten Personen einer Bedarfsgemeinschaft **zu viel gezahlte Leistungen zurückgefordert**. Sofern zu Ihrer Bedarfsgemeinschaft noch weitere Personen gehören, sollten Sie als Vertreterin/Vertreter beim Ausfüllen des Antrags alle Mitglieder einbeziehen und die wesentlichen sowie die sie betreffenden Angaben mit ihnen abstimmen. Stellen Sie zudem bitte sicher, dass alle Mitglieder alle notwendigen Informationen (zum Beispiel Bescheide) erhalten.","Как правило, при нарушении этой обязанности со всех лиц одной потребительской общности, получающих выплаты, лишне уплаченное востребуется обратно. Если в состав Вашей потребительской общности кроме Вас входят и другие члены, то при заполнении формуляра заявления Вам, как представителю, следует вовлечь этих лиц и сверить все существенные сведения и соответствующие данные. Также, пожалуйста, убедитесь, что все члены потребительской общности получают все необходимые сведения (например, уведомления)."
"Es wurde eine Betreuerin/ein Betreuer vom **Betreuungsgericht/Amtsgericht** bestellt.","**Судом по делам опеки и попечительства / местным общим судом** назначен опекун."
"Ort/Datum","Место / Дата"
"Unterschrift Betreuerin/Betreuer","Подпись опекуна"
"Ich bestätige, dass die Angaben richtig sind.","Я подтверждаю, что все данные верны."
"Unterschrift Antragstellerin/Antragsteller","Подпись заявителя"
