"Kindergeld-Nr.","Kindergeld-Nummer"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Ihre Nummer vom Finanzamt (""steuerliche Identifikations-Nummer"". Diese Information müssen Sie geben.)"
"Familienkasse","Familienkasse"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Lesen Sie bitte auch die “Hinweise zum Antrag auf Kindergeld” und das “Merkblatt Kindergeld”."
"Telefonische Rückfrage tagsüber unter Nr.:","Telefon-Nummer, wo man Sie am Tag anrufen kann:"
"Antrag auf Kindergeld","Antrag auf Kindergeld"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Für wie viele Kinder beantragen Sie Kindergeld? Bitte legen Sie für jedes Kind eine ""Anlage Kind"" dazu."
"Anzahl der beigefügten ""Anlage Kind"":","Wie viele ""Anlagen Kind"" haben Sie dazugelegt?"
"Angaben zur antragstellenden Person","Informationen zu Ihnen"
"Name","Name"
"Titel","Titel (zum Beispiel ""Dr."")"
"Vorname","Vorname"
"ggf. Geburtsname und Name aus früherer Ehe","Wenn sich Ihr Name geändert hat: Dann schreiben Sie auch Ihren vorherigen Namen dazu."
"Geburtsdatum","Wann sind Sie geboren?"
"Geburtsort","Wo sind Sie geboren?"
"Geschlecht","Sind Sie eine Frau oder ein Mann?"
"Staatsangehörigkeit","Von welchem Land haben Sie einen Pass?"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (Straße/Platz, Hausnummer, Postleitzahl, Ort, Land)"
"Familienstand","Familienstand"
"ledig","Sie sind nicht nicht verheiratet und nicht geschieden"
"seit","seit"
"verheiratet","verheiratet"
"verwitwet","Ihr Partner/Ihre Partnerin ist gestorben"
"in eingetragener Lebenspartnerschaft lebend","Sie sind homosexuell und leben mit Ihrem Mann/Ihrer Frau zusammen in einer Lebenspartnerschaft"
"geschieden","geschieden"
"dauernd getrennt lebend","Sie sind verheiratet, aber Sie leben nicht zusammen"
"Angaben zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in) oder zum anderen leiblichen Elternteil bzw. Stiefelternteil im gemeinsamen Haushalt","Angaben zu Ihrem Partner / Ihrer Partnerin (Ehe oder Lebenspartnerschaft) oder dem anderen Elternteil (Vater oder Mutter des Kindes, auch bei adoptiertem Kind)."
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (Straße/Platz, Hausnummer, Postleitzahl, Ort, Land): Bitte angeben, wenn Sie nicht in derselben Wohnung wohnen"
"Angaben zum Zahlungsweg","Wohin soll das Geld überwiesen werden?"
"IBAN","IBAN (die Nummer finden Sie auf Ihrer EC-Karte)"
"BIC","BIC (die Nummer finden Sie auf Ihrer EC-Karte)"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","Bank"
"Kontoinhaber(in) ist","Wem gehört das Konto?"
"antragstellende Person wie unter 1","Sie selbst"
"nicht antragstellende Person, sondern:","Eine andere Person, nämlich:"
"Name, Vorname","Name, Vorname"
"Der Bescheid soll nicht mir, sondern folgender Person (z.B. Steuerberater, Rechtsanwalt, etc.) zugesandt werden:","Den Brief vom Amt soll nicht ich bekommen, sondern diese Person:"
"Angaben zu Kindern","Angaben zu Kindern"
"Für jedes Kind, für das Kindergeld beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","Für wie viele Kinder beantragen Sie Kindergeld? Bitte legen Sie für jedes eine ""Anlage Kind"" dazu"
"Für folgende Kinder beziehe ich bereits Kindergeld","Für diese Kinder bekomme ich bereits Kindergeld"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(Auch wenn Sie das Geld nicht auf Ihr Konto bekommen, zum Beispiel Ihr Kind das Geld bekommt.)"
"Vorname des Kindes ggf. abweichender Familienname","Wie heißt das Kind? Vorname, Nachname, wenn das Kind einen anderen als Ihren hat"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","Bei welcher Familienkasse sind Sie (""Kindergeldnummer"", ""Personalnummer"")"
"Folgende Zählkinder sollen berücksichtigt werden:","Haben Sie Kinder aus einer anderen Beziehung?"
"Wer bezieht das Kindergeld (Name, Vorname)?","Wer bekommt das Kindergeld (Name, Vorname)?"
"Ich versichere, dass alle Angaben (auch in den Anlagen) vollständig sind und der Wahrheit entsprechen. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) habe ich zur Kenntnis genommen.","Ich bestätige mit meiner Unterschrift: Alle meine Angaben in diesem Antrag und in den Anlagen sind vollständig und wahr. Wenn sich bei mir etwas verändert (z.B. die Adresse), sage ich dem Amt sofort Bescheid. Ich habe das ""Merkblatt über Kindergeld"" bekommen, gelesen und verstanden."
"Hinweis zum Datenschutz:","Hier können Sie lesen, wie mit den Informationen von Ihnen umgegangen wird:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","Hier wird Ihnen erklärt, warum Sie Ihre Informationen Angeben müssen um Kindergeld zu bekommen. Die Informationen über Sie werden wegen dem §§ 31, 62 bis 78 Einkommenssteuergesetz (das ist ein Gesetz das bestimmt, wieviel Geld Sie von Ihrer Arbeit an den Staat zahlen müssen), der Abgabenordnung, des Bundeskindergeldgesetzes und des Sozialgesetzbuches (im Sozialgesetzbuch stehen Regeln über das Kindergeld oder die Rente)  gebraucht."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","Hier wird Ihnen gesagt, wo Sie mehr Informationen finden können"
"Datum","Datum"
"Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung","Ihre Unterschrift oder die von Ihrem Vertreter/Ihrer Vertreterin nach dem Gesetz"
"Ich bin damit einverstanden, dass das Kindergeld zugunsten der antragstellenden Person festgesetzt bzw. bewilligt wird.","Die unterschreibende Person ist damit einverstanden, dass Sie das Kindergeld bekommen"
"Unterschrift der unter Punkt 2 genannten Person bzw. der gesetzlichen Vertretung","Unterschrift Ihres Partners / Ihrer Partnerin bzw. des anderesn Elternteils (die Person unter Punkt 2)"
"Alle Eingaben löschen","Ihren ganzen Text löschen"
"Drucken","Drucken"
"Speichern","Speichern"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Hinweise zum Antrag und zur ""Anlage Kind"""
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","Bitte füllen Sie diesen Antrag und die ""Anlage Kind"" aus. Vergessen Sie nichts. Schreiben Sie so, dass man Ihren Text lesen kann. Kreuzen Sie das an, was stimmt. Vergessen Sie Ihre *Unterschrift* nicht! Wenn Sie jünger als 18 Jahre alt sind, muss Ihr gesetzlicher Vertreter/Ihre gesetzliche Vertreterin für Sie unterschreiben."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","Ist Ihr Ehegatte/Ihre Ehegattin oder Ihr Lebenspartner/Ihre Lebenspartnerin oder der andere Elternteil, der/die mit Ihnen in einer Wohnung wohnt, damit einverstanden, dass Sie das Kindergeld bekommen? Wenn ja: Dann soll er/sie *auch* den Antrag unterschreiben. Wenn er/sie damit nicht einverstanden ist, sagen Sie das bitte der Familienkasse. Hat ein Gericht entschieden, wer das Geld bekommt? Wenn ja: Dann legen Sie bitte das Papier vom Gericht dazu."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde. Soweit für die Ermittlung des Kindergeldsachverhalts Nachweise einzureichen sind, können die nicht benötigten Angaben (z. B. die Schulnoten auf einem Abschlusszeugnis) unkenntlich gemacht werden.","Das Amt bearbeitet diesen Antrag nur, wenn Sie *alles* ausgefüllt haben. Bei einigen Punkten müssen Sie Dokumente mit abgeben. Auf diesen Dokumenten sind manchmal auch Informationen, die nicht wichtig sind (z.B. die Noten auf einem Schul-Zeugnis). Diese Informationen können Sie entfernen (z.B. übermalen oder überkleben)."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","Wenn Sie Kindergeld bekommen möchten: Sie müssen seit dem 01.01.2016 Ihre Nummer vom Finanzamt (""steuerliche Identifikations-Nummer"") geben (nach dem Gesetz: § 139b von der Abgabenordnung). Diese Nummer bekommt seit 2008 jede Person, die mit einer Wohnung bei einem Bürgeramt gemeldet ist. Personen, die nicht gemeldet sind, aber in Deutschland Steuern zahlen müssen, bekommen auch eine Nummer."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","Sie finden die Nummer vom Finanzamt (""steuerliche Identifikations-Nummer"") für sich und für Ihr Kind: + im Brief vom Bundeszentralamt für Steuern, + in dem Papier von Ihrem Arbeitgeber, wo steht, wie viel sie verdienen (""Lohnsteuer-Bescheinigung"") + im Brief vom Finanzamt (""Einkommensteuer-Bescheid""). Wenn Sie die Nummer nicht finden: Schauen Sie im Internet unter **www.bzst.de** > Schnellsuche: “Steuerliche Identifikationsnummer” > Klick auf “das Eingabeformular”. Hier können Sie Ihren Namen und Ihre Adresse eintragen und auf “Senden” klicken. Sie bekommen die Nummer dann per Post zugeschickt. Sie bekommen die Nummer nicht per Telefon oder per E-Mail (wegen dem ""Datenschutz"")."
"Wenn Sie aus dem Ausland nach Deutschland umziehen, erhalten Sie automatisch vom Bundeszentralamt für Steuern Ihre steuerliche Identifikationsnummer per Post, wenn Sie sich beim Einwohnermeldeamt gemeldet haben. Die steuerliche Identifikationsnummer Ihres Kindes wird unmittelbar nach der Geburt an dessen Meldeadresse versandt. Für Kinder, die sich mittlerweile im Ausland aufhalten, die aber im Inland bereits eine steuerliche Identifikationsnummer erhalten haben, geben Sie bitte die im Inland erhaltene steuerliche Identifikationsnummer an. Wird für das Kind in Deutschland keine steuerliche Identifikationsnummer vergeben, weil es z. B. im Ausland lebt, dann ist das Kind auf andere geeignete Weise mit Hilfe der in den jeweiligen Ländern gebräuchlichen Personenidentifikationsmerkmale und Dokumente zu identifizieren. Welche Nachweise genau benötigt werden, erfahren Sie von Ihrer Familienkasse.","Wenn Sie aus dem Ausland nach Deutschland umziehen: Melden Sie sich zuerst beim Einwohnermeldeamt an. Dann bekommen Sie einen Brief vom Bundeszentralamt für Steuern. In dem Brief steht dann Ihre ""steuerliche Identifikations-Nummer"". Die Nummer von Ihrem Kind bekommen Sie gleich nach der Geburt an die Adresse geschickt, wo Ihr Kind gemeldet ist. Wenn Ihr Kind im Ausland wohnt und eine Nummer vom deutschen Finanzamt hat: Dann geben Sie bitte diese Nummer dem Amt. Wenn Ihr Kind im Ausland wohnt und keine Nummer vom deutschen Finanzamt hat: Dann müssen Sie andere Papiere dazulegen. Fragen Sie die Familienkasse, welche Papiere Sie dazulegen müssen."
"Weitere Fragen zur steuerlichen Identifikationsnummer als Anspruchsvoraussetzungen werden unter **www.bzst.de** beantwortet.","Wenn Sie noch Fragen zur ""steuerlichen Identifikations-Nummer haben: Dann schauen Sie auch im Internet unter **www.bzst.de**."
"Auszahlungsbeschränkung","Regeln für die Auszahlung"
"Festgesetztes Kindergeld wird rückwirkend nur für die letzten sechs Monate vor Beginn des Monats gezahlt, in dem der Antrag auf Kindergeld eingegangen ist (§ 20 Abs. 1 Sätze 2 und 3 EStG).","Sie können Kindergeld auch für die Vergangenheit bekommen. Aber nur bis zu 6 Monaten. Beispiel: Wenn Sie diesen Antrag im August 2020 stellen, können Sie nachträglich Kindergeld bis inkl. Februar 2020 bekommen (maximal). Das ist im Einkommensteuer-Gesetz (EStG) definiert, § 20, Abs. 1, Satz 2 und Satz 3)."
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in) oder zum anderen leiblichen Elternteil bzw. Stiefelternteil im gemeinsamen Haushalt","Zu 1 und 2: Ihre Angaben zu Ihnen selbst und zu anderen Erwachsenen, die für das Kind verantwortlich sind."
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten (dies gilt auch für eingetragene Lebenspartnerschaften).","Wenn beide Elternteile ( Sie oder Ihr Partner / Ihre Partnerin) rechtlich das Kindergeld bekommen können: Entscheiden Sie zusammen, welches Elternteil (Sie oder Ihr Partner / Ihre Partnerin) das Kindergeld bekommen soll. Diese Person schreiben Sie unter Punkt 1.
Familienstand ""Dauernd getrennt lebend"": Dies müssen Sie nur ankreuzen, wenn Sie ein Paar sind (Ehe oder Lebenspartnerschaft), aber eine/r oder beide von Ihnen sich für immer oder für lange Zeit trennen will/wollen. "
"Bitte machen Sie Angaben zum anderen leiblichen Elternteil in der Anlage Kind, sofern der andere leibliche Elternteil nicht im gemeinsamen Haushalt der antragstellenden Person lebt.","Wenn der andere leibliche Elternteil (""biologischer"" Vater oder Mutter, nicht das Adoptiv-Elternteil) nicht mit Ihnen zusammenwohnt: Bitte schreiben Sie diese Person in das Formular ""Anlage Kind""."
"Staatsangehörigkeit der antragstellenden Person:","Ihre Nationalität (das Land, das auf Ihrem Pass steht)"
