"Kindergeld-Nr.","Kindergeld-Nr."
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)"
"Familienkasse","Familienkasse"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld."
"Telefonische Rückfrage tagsüber unter Nr.:","Telefonische Rückfrage tagsüber unter Nr.:"
"Antrag auf Kindergeld","Antrag auf Kindergeld"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei."
"Anzahl der beigefügten ""Anlage Kind"":","Anzahl der beigefügten ""Anlage Kind"":"
"Angaben zur antragstellenden Person","Angaben zur antragstellenden Person"
"Familienname","Familienname"
"Titel","Titel"
"Vorname","Vorname"
"ggf. Geburtsname und Familienname aus früherer Ehe","ggf. Geburtsname und Familienname aus früherer Ehe"
"Geburtsdatum","Geburtsdatum"
"Geburtsort","Geburtsort"
"Geschlecht","Geschlecht"
"Staatsangehörigkeit","Staatsangehörigkeit"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)"
"Familienstand","Familienstand"
"ledig","ledig"
"seit","seit"
"verheiratet","verheiratet"
"verwitwet","verwitwet"
"in eingetragener Lebenspartnerschaft lebend","in eingetragener Lebenspartnerschaft lebend"
"geschieden","geschieden"
"dauernd getrennt lebend","dauernd getrennt lebend"
"Angaben zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in) oder zum anderen leiblichen Elternteil bzw. Stiefelternteil im gemeinsamen Haushalt","Angaben zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in) oder zum anderen leiblichen Elternteil bzw. Stiefelternteil im gemeinsamen Haushalt"
