"Kindergeld-Nr.","Child benefit number"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Tax ID of the applicant (required)"
"Familienkasse","Family Benefits Office"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Please pay attention to the attached information and the Child Benefit Fact Sheet (Merkblatt Kindergeld)"
"Telefonische Rückfrage tagsüber unter Nr.:","Telephone number during the day in case of questions:"
"Antrag auf Kindergeld","Application for child benefit"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","please attatch an ""Anlage Kind"" (Appendix Child) form for each child for whom your are applying for child benifit"
"Anzahl der beigefügten ""Anlage Kind"":","Number of attached enclosures ""Anlage Kind"""
"Angaben zur antragstellenden Person","Information on the applicant"
"Name","Surname"
"Titel","Title"
"Vorname","First name"
"ggf. Geburtsname und Name aus früherer Ehe","birth name and name from previous marriage, if applicable"
"Geburtsdatum","Date of birth"
"Geburtsort","Place of birth"
"Geschlecht","Gender"
"Staatsangehörigkeit (wenn nicht EU-/EWR-Staat oder Schweiz, bitte Aufenthaltstitel beifügen!)","Nationality (in case of nationality outside of EU/EEA or Switzerland, please provide residence title)"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Address (street/place, house number, postcode, city, country)"
"Familienstand","Marital status"
"ledig","single"
"seit","since"
"verheiratet","married"
"verwitwet","widowed"
"in eingetragener Lebenspartnerschaft lebend","living in registered civil partnership"
"geschieden","divorced"
"dauernd getrennt lebend","permanently separated"
"Angaben zum/zur Ehegatten/Ehegattin bzw. eingetragenen Lebenspartner(in)","Information on the applicant's spouse"
"Staatsangehörigkeit","Nationality"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Address, if different from the applicant's address (street/place, street number, postcode, city, country)"
"Angaben zum Zahlungsweg","Information on the method of payment"
"IBAN","IBAN"
"BIC","BIC"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","Bank, Financial institution (where appropriate the branch)"
"Kontoinhaber(in) ist","The account holder is"
"antragstellende Person wie unter 1","the applicant as in 1"
"nicht antragstellende Person, sondern:","not the applicant but:"
"Name, Vorname","Surname, name"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","The notification is not to be sent to me, but to the following person:"
"Angaben zu Kindern","Information on the children"
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","For each child, for whom you claim child benifit, fill in and submit a separate ""Anlage Kind""."
"Für folgende Kinder beziehe ich bereits Kindergeld","I already get child benifit for the following children:"
"Vorname des Kindes ggf. abweichender Familienname","Child's first name and, if different from yours, surname"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","From which Familienkasse (Family Benefits Center) (child benefit-Number, Personal-number)?"
"Folgende Zählkinder sollen berücksichtigt werden:","The following counted children are to be taken into consideration:"
"Wer bezieht das Kindergeld (Name, Vorname)?","Who receives the child benefit (surname, name)?"
"Ich versichere, dass alle Angaben (auch in den Anlagen) vollständig sind und der Wahrheit entsprechen. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) habe ich zur Kenntnis genommen.","I hereby declare that all the information was provided truthfully (in the annexes as well). I am aware that any change in the given information has to be reported to the Family Benefits Office immediately. I received the Child Benefit Fact Sheet (can be found at www.bzst.de or www.familienkasse.de) and took notice of its content."
"Datum","Date"
"Ich bin damit einverstanden, dass das Kindergeld zugunsten der antragstellenden Person festgesetzt bzw. bewilligt wird.","I agree that the child benefit will be paid to the applicant."
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","Signiture of the applicant or, if appropriate, the legal representative"
"Hinweis zum Datenschutz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Information according to Bundesdatenschutzgeset (the German Data Protection Act): The data is collected, processed and used due to and for the purpose of §§ 31, 62 to 78 Einkommenssteuergesetz (Income Tax Act) and regulations of Abgabenordnung (General Tax Code) and the Bundeskindergeldgesetz (Federal Child Benefit Act) and the Sozialgesetzbuch (Code of Social Law)."
"Alle Eingaben löschen","Delete all entries"
"Drucken","Print"
"Speichern","Save"
"Nur von der Familienkasse auszufüllen","To be filled in by the Familienkasse (Family Benefits Office)"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Information for the application for child benefit and for ""Anlage Kind"" (Appendix Child)"
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","Please complete the application form as well as the Annex ""Child"" (Anlage Kind) legibly and check where applicable. Do not forget your *signature*! If you are under age, a legal representative has to sign for you."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","Have your spouse / life partner / the other parent sign the application *as well*, if he/she agrees to your receiving the child benefit. If there is no consensus, please inform the Family Benefits Office about it. If the beneficiary was determined in court, please submit the court decision."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.","Please note that your application can only be processed if *fully completed*."
"Rechtslage ab 2018","Legal Situation starting in 2018"
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in)","For 1 and 2: Information on the applicant and the spouse / life partner"
"Wenn beide Elternteile eines Kindes die Voraussetzungen für den Anspruch auf Kindergeld erfüllen, ist als antragstellende Person der Elternteil einzutragen, der nach dem Willen beider Elternteile das Kindergeld erhalten soll. Beim Familienstand ist nur dann „dauernd getrennt lebend“ anzukreuzen, wenn bei Ehepaaren mindestens ein Ehepartner die Absicht hat, die Trennung ständig aufrechtzuerhalten. Sofern Sie nicht verheiratet sind oder Ihr/Ihre Ehegatte/Ehegattin bzw. Lebenspartner(in) nicht zugleich der andere leibliche Elternteil mindestens eines der in der/den „Anlage/n Kind“ aufgeführten Kinder ist, teilen Sie die Angaben zum anderen leiblichen Elternteil (bei Pflege- oder Enkelkindern zu beiden leiblichen Elternteilen) bitte auf der jeweiligen „Anlage Kind“ mit.","If both parents of a child qualify for child benefit, the parent agreed upon by both parents should be named as applicant. You should only tick ""permanently separated"" under ""Family status"", if at least one spouse intends to stay separated constantly. If you are not married, or your spouse/life partner is not the biological parent of at least one of the children listed in the attached form(s) ""Anlage Kind"", please enter the information for the other biological parent (or for both biological parents in case of foster children or grandchildren) in the relevant ""Anlage Kind""."
"Sollten Sie eine **andere** als die deutsche Staatsangehörigkeit oder als die Staatsangehörigkeit eines EU-/EWR-Staates bzw. der Schweiz besitzen, fügen Sie bitte **den Aufenthaltstitel** bei.","If you are **not** a citizen of Germany, a state of the EU/EEA or Switzerland, please attach your **residence title** (e.g. passport copy)."
"Zu 4: Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden","To 4: The notification should not be sent to me, but to the following person"
