"Kindergeld-Nr.","شماره پرونده کمک هزینه کودک"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","شماره مالیاتی فرد تقاضا کننده: (پر کردن اجباری است)"
"Familienkasse","صندوق خانواده"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","لطفا به ضمیمه و اطلاعات مربوط به در خواست کمک هزینه کودک توجه نمایید."
"Telefonische Rückfrage tagsüber unter Nr.:","شماره تلفن برای پرسش های احتمالی در طول روز."
"Antrag auf Kindergeld","فرم تقاضای کمک هزینه کودک"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","خواهشمند است به ازای هر کودکی که برایش درخواست کمک هزینه میدهید، یک ""Anlage Kind"" (ضمیمه مربوط به کودک) را جداگانه پیوست کنید."
"Anzahl der beigefügten ""Anlage Kind"":","تعداد ""Anlage Kind"" (ضمیمه مربوط به کودک) ضمیمه شده"
"Angaben zur antragstellenden Person","اطلاعات فرد درخواست دهنده"
"Name","نام خانوادگی"
"Titel","عنوان"
"Vorname","نام"
"ggf. Geburtsname und Name aus früherer Ehe","در صورت وجود، نام خانوادگی هنگام تولد و نام خانوادگی ازدواجهای قبلی"
"Geburtsdatum","تاریخ تولد"
"Geburtsort","محل تولد"
"Geschlecht","جنسیت"
"Staatsangehörigkeit (wenn nicht EU-/EWR-Staat oder Schweiz, bitte Aufenthaltstitel beifügen!)","تابعیت (اگرتابعیت یکی از کشورهای اتحادیه اروپا /اتحادیه اقتصادی اروپا یا سویس را ندارید لطفا مدارک اقامت خود را ضمیمه کنید!)"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","آدرس (خیابان/محل، پلاک، کدپستی، شهر/روستا، استان محل اقامت )"
"Familienstand","وضعیت تاهل"
"ledig","مجرد"
"seit","از تاریخ"
"verheiratet","متاهل"
"verwitwet","بیوه"
"in eingetragener Lebenspartnerschaft lebend","زندگی در یک رابطه مشترک"
"geschieden","مطلقه"
"dauernd getrennt lebend","مزدوج اما جدا از هم (بطور دائم)"
