"Kindergeld-Nr.","N° d'allocataire"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Numéro d’identification fiscal de la personne qui fait la demande en Allemagne (à remplir obligatoirement)"
"Familienkasse","Caisse d'allocations familiales"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Veuillez observer les informations en annexe et la fiche allocations familiales."
"Telefonische Rückfrage tagsüber unter Nr.:","Pour toute question, téléphonez pendant la journée au :"
"Antrag auf Kindergeld","Demande d'allocation familiale"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Prière d'ajouter une ""Annexe enfant"" pour chaque enfant pour lequel l'allocation familiale est demandée"
"Anzahl der beigefügten ""Anlage Kind"":","Nombre d'""annexe enfant"" ajoutées"
"Angaben zur antragstellenden Person","Données du demandeur"
"Name","Nom"
"Titel","Titre"
"Vorname","Prénom"
"ggf. Geburtsname und Name aus früherer Ehe","Nom de naissance et nom de mariage"
"Geburtsdatum","Date de naissance"
"Geburtsort","Lieu de naissance"
"Geschlecht","Sexe"
"Staatsangehörigkeit (wenn nicht EU-/EWR-Staat oder Schweiz, bitte Aufenthaltstitel beifügen!)","Nationalité (ressortissant hors UE/EEE ou Suisse joindre le titre de séjour!)"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (rue/place, numéro, code postal, domicile, pays de résidence)"
"Familienstand","Situation familiale"
"ledig","célibataire"
"seit","depuis"
"verheiratet","marié(e)"
"verwitwet","veuf/veuve"
"in eingetragener Lebenspartnerschaft lebend","pacsé(e)"
"geschieden","divorcé-e"
"dauernd getrennt lebend","séparé-e durablement"
"Angaben zum/zur Ehegatten/Ehegattin bzw. eingetragenen Lebenspartner(in)","Données concernant l'époux/épouse ou le compagnon/la compagne du demandeur"
"Staatsangehörigkeit","Nationalité"
