Kindergeld-Nr.,
Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen),
Familienkasse,
Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.,
Telefonische Rückfrage tagsüber unter Nr.:,
Antrag auf Kindergeld,
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.",
"Anzahl der beigefügten ""Anlage Kind""",
Angaben zur antragstellenden Person,
Name,Nazwisko
Titel,
Vorname,Imię
ggf. Geburtsname und Name aus früherer Ehe,
Geburtsdatum,Data urodzenia
Geburtsort,
Geschlecht,
Staatsangehörigkeit (bei **nicht** EU-/EWR-Staatsangehörigkeit bitte Nachweis Aufenthaltstitel beifügen),
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)",
Familienstand,Stan cywilny
ledig,
seit,od
verheiratet,
verwitwet,
in Lebenspartnerschaft lebend,
geschieden,
dauernd getrennt lebend,
Angaben zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in der antragstellenden Person,
Staatsangehörigkeit,
"Anschrift, wenn abweichend vom Antragsteller/in (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Wohnland)",
Angaben zum Zahlungsweg,
IBAN,
BIC,
"Bank, Finanzinstitut (ggf. auch Zweigstelle)",
Kontoinhaber/in ist,
antragstellende Person wie unter 1,
"nicht antragstellende Person, sondern:",
"Name, Vorname",
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:",
Angaben zu Kindern,
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.",
Für folgende Kinder beziehe ich bereits Kindergeld,
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):",
Vorname des Kindes ggf. abweichender Familienname,
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?",
Folgende Zählkinder sollen berücksichtigt werden:,
"Wer bezieht das Kindergeld (Name, Vorname)?",
"Hinweis nach dem Bundesdatenschutzgesetz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommenssteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.",
