"Kindergeld-Nr.","N.º do abono de família"
"Familienkasse","Programa de previdência familiar"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Tome em conta as informações em anexo e a folha informativa sobre o abono de família."
"Telefonische Rückfrage tagsüber unter Nr.:","Pedidos de informação por telefone para o n.º:"
"Antrag auf Kindergeld","Requerimento de abono de família"
"Anzahl der beigefügten ""Anlage Kind""","Número de ""anexos criança"""
"Angaben zur antragstellenden Person","Dados sobre a/o requerente"
"Name","Apelido(s)"
"Titel","Título"
"Vorname","Nome(s)"
"ggf. Geburtsname und Name aus früherer Ehe","Eventualmente, nome de nascimento e nome adotado em matrimónio anterior"
"Geburtsdatum","Data de nascimento"
"Geschlecht","Sexo"
"Familienstand","Estado civil"
"ledig","solteira/o"
"seit","desde"
"verheiratet","casada/o"
"verwitwet","viúva/o"
"in Lebenspartnerschaft lebend","em união de facto registada"
"geschieden","divorciada/o"
"dauernd getrennt lebend","separada/o de facto"
"Staatsangehörigkeit","Nacionalidade"
"Angaben zum Zahlungsweg","Dados sobre a forma de pagamento"
"IBAN","IBAN"
"BIC","BIC"
"antragstellende Person wie unter 1","é a/o requerente (ver ponto 1)"
"nicht antragstellende Person, sondern:","Endereço, quando diferente do endereço da/do requerente (rua/praça, número, código postal, cidade)"
"Name, Vorname","Apelido(s), nome(s)"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","O aviso não será enviado para mim, mas sim para o endereço da seguinte pessoa:"
"Angaben zu Kindern","Dados sobre as crianças"
"Folgende Zählkinder sollen berücksichtigt werden:","Crianças suplementares a contemplar:"
"Hinweis nach dem Bundesdatenschutzgesetz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommenssteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Nota sobre a lei federal sobre a proteção de dados pessoais: os dados serão recolhidos, processados e utilizados consoante os artigos 31.º e 62.º até 78.º da lei do imposto sobre o rendimento (Código do IRS) e das disposições da lei geral tributária, ou consoante a lei sobre as prestações por filhos a cargo e o código da segurança social."
"Datum","Data"
"Alle Eingaben löschen","Apagar todos os dados"
"Drucken","Imprimir"
"Speichern","Guardar"
"Nur von der Familienkasse auszufüllen","A ser preenchido só pelo programa de previdência familiar"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Nota sobre o requerimento ao abono de família e o ""anexo criança"""
"Zu 1 und 2: Angaben zur antragstellenden Person und zum/zur Ehegatten/Ehegattin bzw. Lebenspartner/in","Ponto 1 e 2: Dados sobre a/o requerente e sobre o cônjuge ou companheira/o que vive em união de facto"
"Zu 6: Folgende Zählkinder sollen berücksichtigt werden","Ponto 6: Crianças suplementares a contemplar"
"Kinder, für die eine andere Person Kindergeld erhält, können sich bei Ihnen kindergelderhöhend auswirken (Zählkinder). Sofern Sie die Berücksichtigung von Zählkindern geltend machen wollen, geben Sie bitte in jedem Fall an, wer für die Zählkinder das Kindergeld bei welcher Familienkasse bezieht.","Crianças, cujo abono de familia é atribuído a outra pessoa, podem contribuir para um aumento do seu abono de família (crianças suplementares). Se quiser reinvindicar o direito a este suplemento, não se esqueça de indicar quem recebe o abono de família por esta(s) criança(s) e através de que programa de previdência familiar."
"Anlage Kind","Anexo Criança"
"Allgemeines","Observações gerais"
"„Andere Personen“, zu denen ein Kindschaftsverhältnis besteht, sind: Eltern, Stiefeltern, Adoptiveltern, Pflegeeltern, Großeltern.","""Outras pessoas"" com as quais existem laços de filiação, são: pais, padrastos/madrastas, pais adotivos, pais de acolhimento e avós."
"Zu 1: Angaben zum Kind","Ponto 1: Dados sobre a criança"
"Zu 3: Angaben für ein volljähriges Kind","Ponto 3: Dados sobre uma criança maior de idade"
"Besondere Anspruchsvoraussetzungen","Pré-requisitos especiais para atribuição"
"Die Berücksichtigung eines volljährigen Kindes ist möglich, wenn es","Um jovem maior de idade é tida em conta quando"
"1. noch nicht das 21. Lebensjahr vollendet hat, nicht in einem Beschäftigungsverhältnis steht und bei einer Agentur für Arbeit im Inland als Arbeitsuchender gemeldet ist oder","1.º ainda não completou 21 anos, não tem vínculo laboral e está inscrito num centro de emprego nacional ou"
"2. noch nicht das 25. Lebensjahr vollendet hat und","2.º ainda não completou 25 anos e"
"a) für einen Beruf ausgebildet wird oder","a) está em formação profissional ou"
