"Kindergeld-Nr.","Çocuk parası No."
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Başvuran kişinin Almanya'daki vergi kimlik numarası
(doldurulması zorunludur)"
"Familienkasse","Aile fonu"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Lütfen ekteki notlara ve çocuk parası kılavuzuna dikkat ediniz."
"Telefonische Rückfrage tagsüber unter Nr.:","Mesayi saatlerde ulaşabilcegimiz telefon numarası"
"Antrag auf Kindergeld","çocuk Yardım Parası formu"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Lütfen başvuru yapılan her çocuk için bir „Çocuk eki“ ekleyiniz."
"Anzahl der beigefügten ""Anlage Kind"":","çocuk formu için ek sayısı"
"Angaben zur antragstellenden Person","Dilekceyi veren kişinin bilgileri"
"Name","Adı, soyadı"
"Titel","Ün"
"Vorname","Adı"
"ggf. Geburtsname und Name aus früherer Ehe","(gerektiğinde) doğum soyadı ve önceki evliliğinizin soyadı"
"Geburtsdatum","Doğum tarihi"
"Geburtsort","Doğum yeri"
"Geschlecht","Cinsiyeti"
"Staatsangehörigkeit (wenn nicht EU-/EWR-Staat oder Schweiz, bitte Aufenthaltstitel beifügen!)","Uyruğu (Avrupa/Avrupa Ekonomik Alanı Ülkesi ya da İsviçre değilse, lütfen Oturma İzni Belgesini ekleyiniz!)"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adres (Cadde/meydan, ev numarası, posta kodu, ikamet yeri, ikamet edilen ülke)"
"Familienstand","Medeni hali"
"ledig","bekar"
"seit","ne zamandan beri"
"verheiratet","evli"
"verwitwet","dul"
"in eingetragener Lebenspartnerschaft lebend","kayitili evlilik"
"geschieden","boşanmış"
"dauernd getrennt lebend","sürekli ayrı yaşıyor"
"Angaben zum/zur Ehegatten/Ehegattin bzw. eingetragenen Lebenspartner(in)","Başvuran kişinin eşine veya hayat arkadaşına ait bilgiler"
"Staatsangehörigkeit","Uyruğu"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Başvuran kişiden farklı ise adresi (Cadde/meydan, ev numarası, posta kodu, ikamet yeri, ikamet edilen ülke)"
"Angaben zum Zahlungsweg","Ödemi yapma bilgileri"
"IBAN","IBAN"
"BIC","BIC"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","Banka, mali kurum (Gereği halinde şube de belirtilebilir)"
"Kontoinhaber(in) ist","Hesap sahibi"
"antragstellende Person wie unter 1","dilekce veren kişi 1.şikkibirdeki gibi"
"nicht antragstellende Person, sondern:","dilekce veren degilde, başkasi"
"Name, Vorname","Adı, soyadı"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","Dilekce bildirisi bana degilde altdaki kişiye gönderilsin"
"Angaben zu Kindern","Cocuklarin hakkinda bilgiler"
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","Çocuk parası almak üzere yeni başvuru yapılan her çocuk için ayrı bir „Çocuk eki“ doldurulup ibraz edilmelidir."
"Für folgende Kinder beziehe ich bereits Kindergeld","Aşağıdaki çocuklar için halen çocuk parası alıyorum"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(Farklı banka hesabı, bir üçüncü tarafa ödeme ve geri iade gibi durumlarda da):"
"Vorname des Kindes ggf. abweichender Familienname","Çocuğun adı, gerekiyorsa farklı soyadı"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","Hangi Aile Kasasından (Çocuk parası numarası, personel numarası)?"
"Folgende Zählkinder sollen berücksichtigt werden:","Aşağıdaki cocugun kimliginin kabule göre:"
"Wer bezieht das Kindergeld (Name, Vorname)?","Çocuk parasını kim alıyor (Adı, soyadı)?"
"Ich versichere, dass alle Angaben (auch in den Anlagen) vollständig sind und der Wahrheit entsprechen. Mir ist bekannt, dass ich alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen habe. Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) habe ich zur Kenntnis genommen.","Tüm bilgilerin eksiksiz (ekteki bilgiler dâhil) olduğunu ve gerçeği yansıttığını onaylıyorum. Çocuk parası alma hakkı için önem taşıyan bütün değişiklikleri zaman geçirmeden Aile Kasasına bildirmekle yükümlü olduğumu biliyorum. Çocuk parası hakkındaki bilgilendirme yazısının içeriğiyle (www.familienkasse.de adresinden ulaşılabilir) ilgili bilgi sahibiyim."
"Datum","Tarih"
"Ich bin damit einverstanden, dass das Kindergeld zugunsten der antragstellenden Person festgesetzt bzw. bewilligt wird.","Başvuran kişiye çocuk parası ödenmesini onaylıyorum."
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","(Başvuran kişinin veya yasal temsilcinin imzası)"
"(Unterschrift der unter Punkt 2 genannten Person oder des anderen Elternteils, die/der mit der antragstellenden Person in einem Haushalt lebt bzw. der gesetzlichen Vertretung)","(2. maddede bahsedilen kişinin veya başvuran kişiyle aynı evde yaşayan
ebeveynlerden birinin imzası veya yasal temsilcinin imzası)"
"Hinweis zum Datenschutz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Federal veri koruma yasasından uyarı: Yasanin 31, 62'den - 78' sayisina kadar gerekliliyle Gelir ve Vergisi Yasası Vergimevzuatına göre düzenlemeleri sırasiyla Federal çocuk Nafaka Hukuku ve Sosyal Yasasına göre işlem yapılacak ve uygulunacaktır."
"Alle Eingaben löschen","Bütün bilgileri sil"
"Drucken","yazdir"
"Speichern","Kayit et"
"Nur von der Familienkasse auszufüllen","Sadece Aile Fonu tarafindan doldurulur"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","Cocuk Yardim Parasi dilekcesinin ve ekler hakkinda uyarilar"
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","Lütfen başvuru formunu ve çocuk ekini dikkatle, iyi okunur biçimde doldurunuz ve uygun yerleri işaretleyiniz. *İmzanızı* atmayı unutmayınız! Ergin yaşta değilseniz yasal temsilciniz sizin için imzalamalıdır."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","Çocuk parası almanızı onaylıyorsa, başvuru formunu aynı konutta oturduğunuz eşinize veya hayat arkadaşınıza / anne veya babadan diğerine *de* imzalatınız. Eğer rıza yoksa, lütfen bunu Aile Kasasına bildiriniz. Hak sahibi mahkemece belirlenmişse lütfen kararı ekleyiniz."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.","Lütfen başvurunuzun sadece *tam olarak doldurulduğu* takdirde işleme konulacağını dikkate alınız."
