"Name und Vorname der antragstellenden Person","إسم وإسم الشهرة لصاحب الطلب"
"Kindergeld-Nr.","رقم دعم الطفل"
"Familienkasse","صندوق العائلة"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","الرجاء الإنتباه إلى الملاحظات المرافقة و إلى النشرة المخصصة لدعم الأطفال."
"Anlage Kind","قسم الطفل"
"zum Antrag auf Kindergeld vom","طلب دعم الطفل من"
"Lfd. Nr. ...... .","الرقم التسلسلي........."
"Angaben zum Kind","معلومات عن الطفل"
"Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)","رقم الهوية الضريبية لطفل (حيثما اغتفر الملئ إلزامي)"
"Vorname","الإسم"
"ggf. abweichender Familienname","إسم الشهرة"
"Geburtsdatum","تاريخ الميلاد"
"Geburtsort","مكان الولادة"
"Geschlecht","الجنس"
"Staatsangehörigkeit","الجنسية"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","العنوان، إن كان مختلف لمقدم الطلب (الشارع / الساحة، رقم المنزل، الرمز البريدي، المدينة، البلد)"
"Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)","السبب لإختلاف العنوان : (مثل الإقامة مع الجدان/ في مسكن مؤقت / بسبب الدراسة أو التدريب المهني) "
"Kindschaftsverhältnis","العلاقة البنوية"
"leibliches Kind","الطفل البيولوجي"
"Adoptivkind"," الطفل المتبنى"
"Pflegekind"," طفل محتضن "
"Stiefkind"," ابن الزوج أو الزوجة من شريك آخر "
"Enkelkind","حفيد"
"zur antragstellenden Person","عن مقدم الطلب "
"zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in)","إلى الزوج أو الزوجة أو شريك الحياة المسجل"
"zu einer anderen Person","عن شخص آخر"
"(z. B. anderer Elternteil; bitte unten Angaben machen)","مثلا أحد الوالِدين يرجى تقديم البيانات تحت"
"*) ggf. Annahmebeschluss beifügen","إرفاق أوراق قرار القبول إذا وجد "
"Angaben zur anderen Person (bitte hier eintragen)","بيانات عن الشخص الآخر (الرجاء التسجيل هنا)"
"Name, Vorname","إسم الشهرة, الإسم"
"letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","آخر عنوان معروف (الشارع / الساحة، رقم المنزل، الرمز البريدي، المدينة، البلد) "
"ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)","بيانات إضافية إن وجد (مثلا متوفَي, أبوة غير مكتشفة, مجهول)"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","معلومات عن الطفل البالغ ١٨ سنة, أو الطفل الذي سيكمل قريبا ١٨ سنة"
"sonst weiter bei Punkt 4:","خلاف ذلك تابع إلى القسم ٤:"
"Nachweise zu den Angaben (Punkt 3.1 — 3.3) für ein volljähriges Kind:","دليل للمعلومات على نقطة 3.1 إلى 3.3 عن طفل يبلغ من العمر "
"sind beigefügt","المرفقات"
"liegen bereits vor","تتوفر حاليآ"
"werden nachgereicht","للتقديم"
"Das Kind","الطفل"
"ab/von","من"
"bis","إلى"
"absolviert(e) folgende Schul-, Hochschul- oder Berufsausbildung."," تخرّج التالي  تعليم مدرسي ; جامعة او التدريب المهني "
"Bezeichnung der Ausbildung:","إسم التدريب المهني "
