"Name und Vorname der antragstellenden Person","Ihr Nachname und Vorname"
"Kindergeld-Nr.","Kindergeld-Nummer"
"Familienkasse","Familienkasse"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","Bitte lesen Sie auch die Hinweise. Die Hinweise sind auf dem Antrag auf Kindergeld. Und lesen Sie auch das ""Merkblatt Kindergeld""."
"Anlage Kind","Anlage Kind"
"zum Antrag auf Kindergeld vom","Schreiben Sie hier das selbe Datum wie auf dem Antrag auf Kindergeld"
"Lfd. Nr. ...... .","Laufende Nummer. Schreiben Sie 1, 2, 3 etc."
"Angaben zum Kind","Informationen zum Kind"
"Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)","Hat das Kind eine Nummer vom Finanzamt (""steuerliche Identifikationsnummer"")? Dann müssen Sie die Nummer hierhin schreiben."
"Familienname","Nachname"
"Titel","Titel (zum Beispiel ""Dr."")"
"Vorname","Vorname"
"Geburtsdatum","Geburtsdatum des Kindes (Wann ist das Kind geboren?)"
"Geburtsort","Geburtsort (Wo ist das Kind geboren?)"
"Geschlecht","Geschlecht"
"Staatsangehörigkeit","Staatsangehörigkeit (Von welchem Land hat die Person einen Pass?)"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (Straße/Platz, Hausnummer, Postleitzahl, Ort, Land): Bitte angeben, wenn das Kind nicht in derselben Wohnung wohnt wie Sie."
"Kindschaftsverhältnis","Wie sind Sie mit dem Kind verwandt? Wie ist Ihre Frau oder Ihr Mann mit dem Kind verwandt?"
"leibliches Kind","Sie haben das Kind geboren oder sind der biologische Vater des Kindes."
"Pflegekind","Es ist nicht ihr eigenes Kind und Sie haben es auch nicht adoptiert. Aber das Kind lebt bei Ihnen und Sie betreuen das Kind."
"Stiefkind","Es ist nicht Ihr eigenes Kind, aber Sie sind mit der Mutter oder dem Vater von dem Kind verheiratet."
"Enkelkind","Es ist das Kind Ihrer Tochter oder Ihres Sohnes (Sie sind die Großmutter / der Großvater des Kindes)"
"zur antragstellenden Person","Wie ist das Kind mit Ihnen verwandt?"
"zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in)","Wie ist das Kind mit Ihrer Ehefrau/Ihrem Ehemann, mit Ihrer Lebnespartnerin/ Ihrem Partner verwandt?"
"zu einer anderen Person","Wie ist das Kind mit einer anderen Person verwandt?"
"(z. B. anderer Elternteil; bitte unten Angaben machen)","(zum Beispiel ""anderer Elternteil"": der Vater oder die Mutter von dem Kindes. Bitte geben Sie unten Informationen zu dieser Person.)"
"*) ggf. Annahmebeschluss beifügen","*) Bringen Sie das Papier mit, auf dem steht, dass Sie das Kind adoptiert haben."
"Angaben zur anderen Person (bitte hier eintragen)","Informationen zu der anderen Person (der andere Elternteil) bitte hier geben"
"letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat). Wenn Sie nicht wissen, wo die Person jetzt lebt, schreiben Sie die letzte Adresse hierhin, die Sie kennen."
"ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)","mehr Informationen (zum Beispiel: Die Person lebt nicht mehr. Es ist nicht sicher, dass der Mann der biologische Vater ist. Sie wissen nicht, wer der biologische Vater ist.)"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","Hier müssen Sie nur etwas schreiben, wenn das Kind 18 Jahre oder älter ist, oder wenn es bald 18 Jahre alt wird. Wenn das Kind jünger ist, müssen Sie hier nichts schreiben."
"Nachweise zu den Angaben (Punkt 3.1 — 3.3) für ein volljähriges Kind:","Haben Sie Papiere, wo steht, dass richtig ist, was Sie zu den Punkten 3.1 bis 3.3 schreiben (zum Beispiel Schulzeugnis, Ausbildungsvertrag)? Nur wenn das Kind 18 Jahre oder älter ist: "
"sind beigefügt","Sie geben diese Papiere zusammen mit diesem Antrag ab"
"liegen bereits vor","Sie haben diese Papiere schon abgegeben"
"werden nachgereicht","Sie geben diese Papiere später ab"
"Das Kind","Das Kind"
"ab/von","von wann"
"bis","bis wann"
"absolviert(e) folgende Schul-, Hochschul- oder Berufsausbildung.","geht/ging zur Schule, studiert/studierte an einer Hochschule oder macht/machte eine Berufsausbildung."
"Bezeichnung der Ausbildung:","Wie heißt die Ausbildung?"
"konnte/kann eine Berufsausbildung mangels Ausbildungsplatz nicht beginnen oder fortsetzen","kann/konnte die Berufsausbildung nicht beginnen oder nicht weitermachen, weil es keinen Ausbildungsplatz bekommen hat."
"absolviert(e) ein freiwilliges soziales oder ökologisches Jahr (Jugendfreiwilligendienstegesetz), einen europäischen/entwicklungspolitischen Freiwilligendienst, einen Freiwilligendienst aller Generationen, einen Internationalen Jugendfreiwilligendienst, einen Bundesfreiwilligendienst oder einen anderen Dienst im Ausland (§ 5 Bundesfreiwilligendienstgesetz).","macht/machte ein freiwilliges soziales oder ökologisches Jahr (nach dem ""Jugendfreiwilligendienstegesetz""), einen europäischen/entwicklungspolitischen Freiwilligendienst, einen Freiwilligendienst aller Generationen, einen Internationalen Jugendfreiwilligendienst, einen Bundesfreiwilligendienst oder einen anderen Dienst im Ausland (§ 5 Bundesfreiwilligendienstgesetz)."
"befand/befindet sich in einer Übergangszeit von höchstens vier Monaten (z. B. zwischen zwei Ausbildungsabschnitten)","hat/hatte gerade eine Pause, zum Beispiel weil die Ausbildung oder das Studium noch nicht angefangen hat. Oder weil die Ausbildung zwei Teile hat und dazwischen eine Pause ist/war. Die Pause darf maximal 4 Monate sein."
"war/ist ohne Beschäftigung und bei einer Agentur für Arbeit als arbeitsuchend gemeldet"," ist/war arbeitslos. Das Kind hat sich bei der Agentur für Arbeit als arbeitssuchend gemeldet. "
"Angaben zur Erwerbstätigkeit (nur bei Eintragungen unter 3.1)","Informationen zu Arbeit/Ausbildung von dem Kind. (Hier müssen Sie nur schreiben, wenn Sie unter Punkt 3.1 etwas geschrieben haben.)"
"Das Kind hat bereits eine Berufsausbildung oder ein Studium abgeschlossen bzw. wird diese(s) in Kürze abschließen","Das Kind hat schon eine Ausbildung oder ein Studium fertig gemacht oder wird bald damit fertig"
"ja","ja"
"nein (weiter bei 3.3)","nein (weiter bei 3.3)"
"Berufsabschluss/Studienabschluss (mit Angabe des Fachs):","Art von dem Abschluss der Ausbildung (zum Beispiel Fachangestellte) oder von dem Studium, (zum Beispiel Bachelor). Wie heißt der Beruf oder das Studium?"
"Ausbildungsende:","Wann ist/war die Ausbildung oder das Studium fertig? (Datum)"
"Berufsziel, fall dieses vom o. g. Abschluss abweicht:","Möchte das Kind in einem anderen Beruf arbeiten als in dem Beruf von der Ausbildung oder von dem Studium? In welchem Beruf möchte das Kind arbeiten?"
"Das Kind war/ist erwerbstätig bzw. wird erwerbstätig sein","Das Kind hat/hatte eine Arbeit oder bekommt bald eine Arbeit"
"Tätigkeit","Arbeit"
"eine oder mehrere geringfügige Beschäftigung(en) im Sinne der §§ 8, 8a SGB IV (sog. Minijob)","ein Mini-Job oder mehrere Mini-Jobs (nach dem Gesetz §§ 8, 8a SGB IV)"
"Dienstherr bzw. Arbeitgeber (Name, Anschrift):","Arbeitgeber von dem Kind (Name, Adresse)"
"weitere Erwerbstätigkeiten","anderes Jobs"
