"Name und Vorname der antragstellenden Person","Name und Vorname der antragstellenden Person"
"Kindergeld-Nr.","Kindergeld-Nr."
"Familienkasse","Familienkasse"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld."
"Anlage Kind","Anlage Kind"
"zum Antrag auf Kindergeld vom","zum Antrag auf Kindergeld vom"
"Lfd. Nr. ...... .","Lfd. Nr. ...... ."
"Angaben zum Kind","Angaben zum Kind"
"Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)","Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)"
"Vorname","Vorname"
"ggf. abweichender Familienname","ggf. abweichender Familienname"
"Geburtsdatum","Geburtsdatum"
"Geburtsort","Geburtsort"
"Geschlecht","Geschlecht"
"Staatsangehörigkeit","Staatsangehörigkeit"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)"
"Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)","Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)"
"Kindschaftsverhältnis","Kindschaftsverhältnis"
"leibliches Kind","leibliches Kind"
"Adoptivkind","Adoptivkind"
"Pflegekind","Pflegekind"
"Stiefkind","Stiefkind"
"Enkelkind","Enkelkind"
"zur antragstellenden Person","zur antragstellenden Person"
"zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in)","zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in)"
"zu einer anderen Person","zu einer anderen Person"
"(z. B. anderer Elternteil; bitte unten Angaben machen)","(z. B. anderer Elternteil; bitte unten Angaben machen)"
"*) ggf. Annahmebeschluss beifügen","*) ggf. Annahmebeschluss beifügen"
"Angaben zur anderen Person (bitte hier eintragen)","Angaben zur anderen Person (bitte hier eintragen)"
"Name, Vorname","Name, Vorname"
"letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)"
"ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)","ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,"
"sonst weiter bei Punkt 4:","sonst weiter bei Punkt 4:"
"Nachweise zu den Angaben (Punkt 3.1 — 3.3) für ein volljähriges Kind:","Nachweise zu den Angaben (Punkt 3.1 — 3.3) für ein volljähriges Kind:"
"sind beigefügt","sind beigefügt"
"liegen bereits vor","liegen bereits vor"
"werden nachgereicht","werden nachgereicht"
"Das Kind","Das Kind"
"ab/von","ab/von"
"bis","bis"
"absolviert(e) folgende Schul-, Hochschul- oder Berufsausbildung.","absolviert(e) folgende Schul-, Hochschul- oder Berufsausbildung."
"Bezeichnung der Ausbildung:","Bezeichnung der Ausbildung:"
"konnte/kann eine Berufsausbildung mangels Ausbildungsplatz nicht beginnen oder fortsetzen","konnte/kann eine Berufsausbildung mangels Ausbildungsplatz nicht beginnen oder fortsetzen"
"absolviert(e) ein freiwilliges soziales oder ökologisches Jahr (Jugendfreiwilligendienstegesetz), einen europäischen/entwicklungspolitischen Freiwilligendienst, einen Freiwilligendienst aller Generationen, einen Internationalen Jugendfreiwilligendienst, einen Bundesfreiwilligendienst oder einen anderen Dienst im Ausland (§ 5 Bundesfreiwilligendienstgesetz).","absolviert(e) ein freiwilliges soziales oder ökologisches Jahr (Jugendfreiwilligendienstegesetz), einen europäischen/entwicklungspolitischen Freiwilligendienst, einen Freiwilligendienst aller Generationen, einen Internationalen Jugendfreiwilligendienst, einen Bundesfreiwilligendienst oder einen anderen Dienst im Ausland (§ 5 Bundesfreiwilligendienstgesetz)."
"befand/befindet sich in einer Übergangszeit von höchstens vier Monaten (z. B. zwischen zwei Ausbildungsabschnitten)","befand/befindet sich in einer Übergangszeit von höchstens vier Monaten (z. B. zwischen zwei Ausbildungsabschnitten)"
"war/ist ohne Beschäftigung und bei einer Agentur für Arbeit als arbeitsuchend gemeldet","war/ist ohne Beschäftigung und bei einer Agentur für Arbeit als arbeitsuchend gemeldet"
"Angaben zur Erwerbstätigkeit (nur bei Eintragungen unter 3.1)","Angaben zur Erwerbstätigkeit (nur bei Eintragungen unter 3.1)"
"Das Kind hat bereits eine Berufsausbildung oder ein Studium abgeschlossen bzw. wird diese(s) in Kürze abschließen","Das Kind hat bereits eine Berufsausbildung oder ein Studium abgeschlossen bzw. wird diese(s) in Kürze abschließen"
"ja","ja"
"nein (weiter bei 3.3)","nein (weiter bei 3.3)"
"Berufsabschluss/Studienabschluss (mit Angabe des Fachs):","Berufsabschluss/Studienabschluss (mit Angabe des Fachs):"
"Ausbildungsende:","Ausbildungsende:"
"Berufsziel, fall dieses vom o. g. Abschluss abweicht:","Berufsziel, fall dieses vom o. g. Abschluss abweicht:"
"Das Kind war/ist erwerbstätig bzw. wird erwerbstätig sein","Das Kind war/ist erwerbstätig bzw. wird erwerbstätig sein"
"Tätigkeit","Tätigkeit"
"eine oder mehrere geringfügige Beschäftigung(en) im Sinne der §§ 8, 8a SGB IV (sog. Minijob)","eine oder mehrere geringfügige Beschäftigung(en) im Sinne der §§ 8, 8a SGB IV (sog. Minijob)"
"andere Erwerbstätigkeiten","andere Erwerbstätigkeiten"
"(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)","(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)"
"Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit: ........ Stunden","Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit: ........ Stunden"
"Dienstherr bzw. Arbeitgeber (Name, Anschrift):","Dienstherr bzw. Arbeitgeber (Name, Anschrift):"
"Angaben zum Vorliegen einer Behinderung","Angaben zum Vorliegen einer Behinderung"
"Liegt bei dem Kind eine Behinderung vor, welche vor Vollendung des 25. Lebensjahres eingetreten ist?","Liegt bei dem Kind eine Behinderung vor, welche vor Vollendung des 25. Lebensjahres eingetreten ist?"
"nein","nein"
"Haben Sie oder eine unter Punkt 2 genannte Person für dieses Kind bereits Kindergeld beantragt oder erhalten?","Haben Sie oder eine unter Punkt 2 genannte Person für dieses Kind bereits Kindergeld beantragt oder erhalten?"
"ja, bitte hier Angaben machen","ja, bitte hier Angaben machen"
"Name, Vorname der antragstellenden bzw. kindergeldbeziehenden Person","Name, Vorname der antragstellenden bzw. kindergeldbeziehenden Person"
"Zeitraum (ab/von – bis)","Zeitraum (ab/von – bis)"
"Familienkasse, Anschrift","Familienkasse, Anschrift"
"Kindergeldnummer","Kindergeldnummer"
"Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung im öffentlichen Dienst tätig?","Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung im öffentlichen Dienst tätig?"
"nein, weiter bei Punkt 6","nein, weiter bei Punkt 6"
"Name, Vorname des/der Beschäftigten","Name, Vorname des/der Beschäftigten"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers bzw. der Dienststelle","Name/Bezeichnung des Dienstherrn/Arbeitgebers bzw. der Dienststelle"
"Anschrift des Dienstherrn/Arbeitgebers","Anschrift des Dienstherrn/Arbeitgebers"
"Name und Anschrift der zuständigen Familienkasse, sofern abweichend vom Dienstherrn/Arbeitgeber","Name und Anschrift der zuständigen Familienkasse, sofern abweichend vom Dienstherrn/Arbeitgeber"
"Besteht oder bestand für Sie oder eine andere Person für das Kind in den letzten 5 Jahren vor der Antragstellung ein Anspruch auf eine kindbezogene Geldleistung von einer Stelle außerhalb Deutschlands oder von einer zwischen- oder überstaatlichen Einrichtung?","Besteht oder bestand für Sie oder eine andere Person für das Kind in den letzten 5 Jahren vor der Antragstellung ein Anspruch auf eine kindbezogene Geldleistung von einer Stelle außerhalb Deutschlands oder von einer zwischen- oder überstaatlichen Einrichtung?"
"Name, Vorname der beziehenden Person","Name, Vorname der beziehenden Person"
"Leistung","Leistung"
"monatlicher Betrag","monatlicher Betrag"
"..... Euro","..... Euro"
"leistende Stelle, Anschrift","leistende Stelle, Anschrift"
"Aktenzeichen","Aktenzeichen"
"Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung","Sind oder waren Sie oder eine unter Punkt 2 genannte Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung"
"außerhalb Deutschlands als Arbeitnehmer(in), Selbständige(r), Entwicklungshelfer(in) tätig?","außerhalb Deutschlands als Arbeitnehmer(in), Selbständige(r), Entwicklungshelfer(in) tätig?"
"in Deutschland bei einer Dienststelle oder Einrichtung eines anderen Staates oder als Angehörige(r) der NATO-Streitkräfte tätig?","in Deutschland bei einer Dienststelle oder Einrichtung eines anderen Staates oder als Angehörige(r) der NATO-Streitkräfte tätig?"
"in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt (z. B. entsandte Person)?","in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt (z. B. entsandte Person)?"
"Wenn ja, bitte hier Angaben machen:","Wenn ja, bitte hier Angaben machen:"
"Name, Vorname des Beschäftigten","Name, Vorname des Beschäftigten"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung","Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung"
"Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung","Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung"
"Ort/Land der Erwerbstätigkeit","Ort/Land der Erwerbstätigkeit"
"Wir versichern, dass unsere Angaben vollständig sind und der Wahrheit entsprechen. Uns ist bekannt, dass wir alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen haben.  Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) haben wir zur Kenntnis genommen.","Wir versichern, dass unsere Angaben vollständig sind und der Wahrheit entsprechen. Uns ist bekannt, dass wir alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen haben.  Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) haben wir zur Kenntnis genommen."
"Hinweis zum Datenschutz:","Hinweis zum Datenschutz:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind."
"Datum","Datum"
"Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung","Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung"
"Unterschrift des bereits volljährigen Kindes","Unterschrift des bereits volljährigen Kindes"
