"Name und Vorname der antragstellenden Person","Surname and first name of applicant"
"Kindergeld-Nr.","Child benefit number"
"Familienkasse","Family Benefits Office"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","Please note the information about the child benefit application in the Child Benefit Fact Sheet (Merkblatt Kindergeld)."
"Anlage Kind","Annex ""Child"" (Anlage Kind)"
"zum Antrag auf Kindergeld vom","for the child benefit application of"
"Lfd. Nr. ...... .","Serial number ........."
"Angaben zum Kind","Information about the child"
"Vorname","First name"
"ggf. abweichender Familienname","Surname, if different"
"Geburtsdatum","Date of birth"
"Geburtsort","Place of birth"
"Geschlecht","Gender"
"Staatsangehörigkeit","Nationality"
"Pflegekind","foster child"
"Name, Vorname","Surname, name"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","Information concerning child of legal age or nearly 18,"
"sonst weiter bei Punkt 4:","otherwise continue with Point 4:"
"Das Kind","The child"
"bis","until"
"ja","yes"
"(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)","(in case of several employments, provide information on a separate sheet)"
"Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit........ Stunden","Total (contractual) regular weekly working time ...hours"
"Dienstherr bzw. Arbeitgeber (Name, Anschrift):","Employer (name, address):"
"nein","no"
"sind beigefügt","are attached"
"liegen bereits vor","are already submitted"
"werden nachgereicht","will be submitted later"
"Haben Sie oder eine andere Person bei einer anderen Familienkasse für das Kind Kindergeld beantragt oder erhalten?","Have you or another person applied for or received child benefit for the child at/from another Family Benefits Office?"
"ja, bitte hier Angaben machen","yes, please provide information here"
"Familienkasse, Anschrift","Family Benefits Office, address"
"Kindergeldnummer","Child benefit number"
"Besteht oder bestand für Sie oder eine andere Person für das Kind in den letzten 5 Jahren vor der Antragstellung ein Anspruch auf eine kindbezogene Geldleistung von einer Stelle außerhalb Deutschlands oder von einer zwischen- oder überstaatlichen Einrichtung?","Were or are you, or another person, entitled to child-related cash benefits for this child from an authority outside of Germany or an international/supranational institution in the last 5 years before the application?"
"Name, Vorname der beziehenden Person","Surname, first name of the recipient"
"Leistung","Benefits"
"monatlicher Betrag","monthly amount"
"..... Euro","..... euro"
"Aktenzeichen","File number"
"im öffentlichen Dienst tätig?","as a civil servant?"
"in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt?","works in Germany on orders of an employer with registered office outside of Germany"
"Wenn ja, bitte hier Angaben machen:","If yes, please provide information here:"
"Name, Vorname des Beschäftigten","Surname, first name of the employee"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung","Name/designation of employer (staff number, if applicable) or of company/agency/institution"
"Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung","Address of employer/company/agency/institution"
"Datum","Date"
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","Signiture of the applicant or, if appropriate, the legal representative"
"Hinweis zum Datenschutz: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Information according to Bundesdatenschutzgeset (the German Data Protection Act): The data is collected, processed and used due to and for the purpose of §§ 31, 62 to 78 Einkommenssteuergesetz (Income Tax Act) and regulations of Abgabenordnung (General Tax Code) and the Bundeskindergeldgesetz (Federal Child Benefit Act) and the Sozialgesetzbuch (Code of Social Law)."
