"Name und Vorname der antragstellenden Person","Nom et prénom de la personne qui fait la demande"
"Kindergeld-Nr.","No d'allocataire"
"Familienkasse","Caisse d'allocations familiales"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld."
"Anlage Kind","Annexe enfant"
"zum Antrag auf Kindergeld vom","Concernant la demande des allocations familiales du"
"Lfd. Nr. ...... .","N° courant ......."
"Angaben zum Kind","Informations concernant l‘enfant"
"Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)","N° d’identification fiscale de l’enfant (si attribué, à remplir obligatoirement)"
"Vorname","Prénom"
"ggf. abweichender Familienname","Évent. nom de famille différent"
"Geburtsdatum","Date de naissance"
"Geburtsort","Lieu de naissance"
"Geschlecht","Sexe"
"Staatsangehörigkeit","Nationalité"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse, si différente du demandeur/de la demanderesse (rue/place, numéro, code postal, domicile, pays de résidence)"
"Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)","Raison de l’adresse différente (par ex. hébergement chez les grands-parents, dans une famille d’accueil / dans un foyer, en raison de la formation scolaire ou professionnelle)"
"Kindschaftsverhältnis","Rapport de filiation"
"leibliches Kind","propre enfant"
"Adoptivkind","adopté"
"Pflegekind","enfant placé"
"Stiefkind","d’un autre lit"
"Enkelkind","petit-enfant"
"zur antragstellenden Person","avec la personne qui fait la demande"
"zum/zur Ehegatten/Ehegattin bzw. Lebenspartner(in)","avec le/la conjoint/e ou le/la partenaire"
"zu einer anderen Personen","avec une autre personne"
"(z. B. anderer Elternteil; bitte unten Angaben machen)","(p. ex. autre partie apparentée; remplir ci-dessous)"
"*) ggf. Annahmebeschluss beifügen","*) p. ex. autre partie apparentée; remplir ci-dessous"
"Angaben zur anderen Person (bitte hier eintragen)","Données relatives à l’autre personne (remplir ci-dessous)"
"Name, Vorname","Nom, prénom"
"letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","dernière adresse connue (rue/place, numéro, code postal, domicile, pays de résidence)"
"Ort der Erwerbstätigkeit (ggf. im Ausland)","Lieu de l‘activité (le cas échéant à l‘étranger)"
"ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)","Données additionnelles si nécessaire (p. ex. décédé, paternité non établie, inconnu)"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","Informations pour un enfant majeur ou pour un enfant qui aura prochainement 18 ans révolus"
"sonst weiter bei Punkt 4:","sinon poursuivre avec le point 4"
"Nachweise zu den Angaben (Punkt 3.1 — 3.3) für ein volljähriges Kind:","Justificatifs concernant les informations d’un enfant majeur (points 3.1 – 3.3) :"
"sind beigefügt","sont joints"
"liegen bereits vor","sont parvenus"
"werden nachgereicht","sont à fournir"
"Das Kind","L’enfant"
"ab/von","à partir de/de"
"bis","au"
"absolviert(e) folgende Schul-, Hochschul- oder Berufsausbildung.","se trouvait/trouve/trouvera en formation scolaire, universitaire ou professionnelle."
"Bezeichnung der Ausbildung:","Désignation de la formation :"
"konnte/kann eine Berufsausbildung mangels Ausbildungsplatz nicht beginnen oder fortsetzen","ne peut/pouvait pas commencer ou continuer une formation professionnelle faute de place de formation."
"absolviert(e) ein freiwilliges soziales oder ökologisches Jahr (Jugendfreiwilligendienstegesetz), einen europäischen/entwicklungspolitischen Freiwilligendienst, einen Freiwilligendienst aller Generationen, einen Internationalen Jugendfreiwilligendienst, einen Bundesfreiwilligendienst oder einen anderen Dienst im Ausland (§ 5 Bundesfreiwilligendienstgesetz).","accomplissait/accomplit/accomplira une année sociale ou écologique volontaire (loi relative au service volontaire de la jeunesse), un service volontaire européen/ de développement, un service volontaire de toutes les générations, un service volontaire international de la jeunesse, un service volontaire fédéral ou un autre service à l’étranger (art. 5 de la loi relative au service volontaire fédéral)."
"befand/befindet sich in einer Übergangszeit von höchstens vier Monaten (z. B. zwischen zwei Ausbildungsabschnitten)","se trouvait/trouve dans une période de transition d’au plus quatre mois (par ex. entre deux séquences de formation)."
"war/ist ohne Beschäftigung und bei einer Agentur für Arbeit als arbeitsuchend gemeldet","ne travaillait/travaille pas et est déclaré demandeur d’emploi auprès de l’agence fédérale pour l’emploi."
"Angaben zur Erwerbstätigkeit (nur bei Eintragungen unter 3.1)","Informations concernant l’activité rémunérée (qu’en cas d’inscriptions sous 3.1)"
"Das Kind hat bereits eine erstmalige Berufsausbildung oder ein Studium abgeschlossen bzw. wird diese(s) in Kürze abschließen","L’enfant a déjà achevé une première formation professionnelle ou des études ou bien va l'/les achever prochainement."
"ja","oui"
"nein (weiter bei 3.3)","non (continuer avec 3.3)"
"Berufsabschluss/Studienabschluss (mit Angabe des Fachs):","Diplôme de fin de formation professionnelle/fin d'études (avec indication de la spécialité) :"
"Ausbildungsende:","Fin de la formation :"
"Berufsziel, fall dieses vom o. g. Abschluss abweicht:","Objectif professionnel, s'il est différent du diplôme final ci-dessus :"
"Das Kind war/ist erwerbstätig bzw. wird erwerbstätig sein","L’enfant avait/a ou aura une activité rémunérée."
"Tätigkeit","Activité"
"eine oder mehrere geringfügige Beschäftigung(en) im Sinne der §§ 8, 8a SGB IV (sog. Minijob)","un ou plusieurs emploi/s mineur/s dans le sens des art. 8, 8a SGB IV (minijob)"
"andere Erwerbstätigkeiten","autres activités rémunérées"
"(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)","(pour plusieurs emplois, informations sur une feuille séparée)"
"Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit........ Stunden","Temps de travail hebdomadaire régulier (convenu) total : ....... heures"
"Dienstherr bzw. Arbeitgeber (Name, Anschrift):","Employeur (public) (nom, adresse) :"
"Angaben zum Vorliegen einer Behinderung","Indications concernant l'existence d'un handicap"
"Liegt bei dem Kind eine Behinderung vor, welche vor Vollendung des 25. Lebensjahres eingetreten ist?","L'enfant présente-t-il un handicap apparu avant ses 25 ans révolus ?"
"nein","non"
"Haben Sie oder eine andere Person bei einer anderen Familienkasse für das Kind Kindergeld beantragt oder erhalten?","Avez-vous, vous ou une autre personne, fait une demande ou perçu des allocations familiales d’une autre caisse d’allocations familiales (Familienkasse) pour cet enfant ?"
"ja, bitte hier Angaben machen","oui, veuillez fournir des informations ici"
"Name, Vorname der antragstellenden bzw. kindergeldbeziehenden Person","Nom, prénom de la personne qui fait la demande ou perçoit"
"Zeitraum (ab/von – bis)","Période (à partir de/de – à)"
"Familienkasse, Anschrift","Caisse d’allocations familiales (Familienkasse), adresse"
"Kindergeldnummer","N° d’allocations familiales"
"Besteht oder bestand für Sie oder eine andere Person für das Kind in den letzten 5 Jahren vor der Antragstellung ein Anspruch auf eine kindbezogene Geldleistung von einer Stelle außerhalb Deutschlands oder von einer zwischen- oder überstaatlichen Einrichtung?","Est-ce qu’il y a ou avait, pour vous ou une autre personne, un droit à une prestation en espèce lié à l’enfant d’un service situé en dehors de l’Allemagne / d’un service intergouvernemental ou supranational, pour l’enfant, dans les 5 dernières années avant la demande ?"
"Name, Vorname der beziehenden Person","Nom, prénom de la personne qui perçoit"
"Leistung","Prestation"
"monatlicher Betrag","montant mensuel"
"..... Euro","..... euros"
"leistende Stelle, Anschrift","Service qui paie, adresse"
"Aktenzeichen","Numéro de dossier"
"Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung","Est-ce que vous, ou une autre personne qui a un rapport de filiation avec l’enfant, travaillez ou avez travaillé les 5 dernières années avant de faire la demande"
"im öffentlichen Dienst tätig?","dans le service public ?"
"außerhalb Deutschlands als Arbeitnehmer(in), Selbständige(r), Entwicklungshelfer(in) tätig?","en dehors de l’Allemagne comme salarié/e, travailleur/euse indépendant/e, coopérant/e ?"
"in Deutschland bei einer Dienststelle oder Einrichtung eines anderen Staates oder als Angehörige(r) der NATO-Streitkräfte tätig?","en Allemagne auprès d’un service ou d’une institution d’un autre Etat ou comme parent/e des forces militaires de l‘OTAN ?"
"in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt?","en Allemagne à l’instigation d’un employeur avec le siège en dehors de l‘Allemagne ?"
"Wenn ja, bitte hier Angaben machen:","Si oui, veuillez fournir ici des informations :"
"Name, Vorname des Beschäftigten","Nom, prénom de l‘employé/e"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung","Nom / désignation de l’employeur (public) (évent. n° de personnel) ou de l‘entreprise, du service ou institution"
"Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung","Adresse de l’employeur (public), de l‘entreprise, du service ou institution"
"Wir versichern, dass unsere Angaben vollständig sind und der Wahrheit entsprechen. Uns ist bekannt, dass wir alle Änderungen, die für den Anspruch auf Kindergeld von Bedeutung sind, unverzüglich der Familienkasse mitzuteilen haben.  Den Inhalt des Merkblattes Kindergeld (zu finden unter www.bzst.de oder www.familienkasse.de) haben wir zur Kenntnis genommen.","Nous certifions que les données fournies sont complètes et authentiques. Nous sommes conscients de devoir signaler sans hésiter à la caisse d’allocations familiales toute modification pertinente à l’obtention d’une allocation. Nous avons pris connaissance de la fiche d’information sur les allocations familiales (disponible à www.familienkasse.de)."
"Hinweis zum Datenschutz:","Information sur la protection des données :"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches erhoben, verarbeitet und genutzt.","Les données sont traitées sur la base et pour but des art. 31, 62 à 78 de la loi sur l’impôt sur le revenu et des réglementations du code fiscal et sur la base de la loi fédérale sur les allocations familiales et du code social allemand."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","De plus amples informations sur vos droits dans le cadre de la collecte de données personnelles en vertu des articles 13 et 14 de la réglementation générale sur la protection des données peuvent être obtenues sur Internet sur la page de votre Caisse d’allocations familiale (disponible à www.familienkasse.de). Vous trouverez également ici les coordonnées du responsable de la protection des données."
"Datum","Date"
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","Signature du demandeur ou du représentant(e) légal"
"(Unterschrift des Kindes; nur wenn volljährig)","(Signature de l‘enfant; uniquement si majeur)"
