"Name und Vorname der antragstellenden Person","Ime i prezime lica koje podnosi zahtev"
"Kindergeld-Nr.","Dečiji dodatak-Br."
"Familienkasse","Porodična kasa"
"Anlage Kind","Predmet Dete"
"zum Antrag auf Kindergeld vom","uz Zahtev za dečijim dodatkom od"
"Lfd. Nr. ...... .","Tekući Br.…… ."
"Erstantrag bei Geburt","Prvi zahtev od rođenja"
"Vorname","Prezime"
"ggf. abweichender Familienname","evtl. odstupajuće prezime"
"Geburtsdatum","Datum rođenja"
"Geschlecht","Pol"
"ggf. abweichende Anschrift (bei Wohnort im Ausland bitte auch den Staat angeben)","evtl. odstupajuću adresu (ako se radi o mestu stanovanja u inostranstvu, molimo vas navesti i državu)"
"Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern/in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)","Razlog za odstupajuću adresu (na pr. smeštaj kod baba i deda/u hraniteljskoj porodici/domu, zbog obrazovanja ili stručnog obučavanja)"
"leibliches Kind/Adoptivkind","rođeno dete/usvojeno dete"
"Pflegekind","Dete pod starateljskim nadzorom"
"Enkelkind/Stiefkind","Unuče/pastorče"
"ja, bitte hier Angaben machen","da, molimo Vas da ovde unesete podatke"
"nein","ne"
"Name, Vorname","Ime, prezime"
"Art des Kindschaftsverhältnisses","Vrsta odnosa sa detetom"
"letzte bekannte Anschrift","zadnja poznata adresa"
"Angaben für ein volljähriges Kind bzw. für ein Kind, das in Kürze das 18. Lebensjahr vollenden wird,","Podaci o punoletnom detetu, odn. o detetu koje će uskoro navršiti 18. godinu života,"
"sonst weiter bei Punkt 4:","u suprotnom, nastavite pod tačkom 4:"
"Das Kind","Dete"
"Angaben zur Erwerbstätigkeit eines volljährigen Kindes (nur bei Eintragungen unter a) bis d))","Podaci o zaposlenju punoletnog deteta (samo ukoliko su uneti podaci pod a) do d)"
"ja","da"
"(bei mehreren Beschäftigungen Angaben auf gesondertem Blatt)","(ako obavlja više različitih zanimanja, molimo vas da podatke o tome unesete na posebnom listu papira)"
"Insgesamt (vereinbarte) regelmäßige wöchentliche Arbeitszeit........ Stunden","Ukupno (ugovoreno) redovno nedeljno radno vreme........ Sati"
"Nachweise zu den Angaben für ein volljähriges Kind:","Dokazi uz podatke za punoletno dete:"
"sind beigefügt","su priloženi"
"liegen bereits vor","već su ranije podneti"
"werden nachgereicht","biće naknadno priloženi"
"Haben Sie oder eine andere Person bei einer anderen Familienkasse für das Kind Kindergeld beantragt oder erhalten?","Da li ste vi ili neko drugo lice podneli kod neke druge Porodične kase zahtev za dečijim dodatkom ili ga već dobijate?"
"Kindergeldnummer","Registarski broj rešenja o dečijem dodatku"
"Familienkasse, Anschrift","Porodična kasa, adresa"
"Name, Vorname der beziehenden Person","Ime, prezime osobe na koju se zahtev odnosi"
"geboren am","rođene dana"
"Leistung","Vrednost"
"monatlicher Betrag","mesečni iznos"
"..... Euro","..... Evra"
"Zeitraum (von – bis)","Vremenski period (od-do)"
"leistende Stelle","nadležna ustanova"
"Sind oder waren Sie oder eine andere Person, zu der das Kind in einem Kindschaftsverhältnis steht, in den letzten 5 Jahren vor der Antragstellung:","Da li ste vi, ili neka druga osoba sa kojom je dete u srodstvu, u poslednjih 5 godina pre podnošenja Zahteva:"
"im öffentlichen Dienst tätig?","zaposleni u javnom sektoru?"
"in Deutschland auf Veranlassung eines Arbeitgebers mit Sitz außerhalb Deutschlands beschäftigt?","zaposleni u Nemačkoj na zahtev poslodavca koji ima sedište izvan Nemačke?"
"Wenn ja, bitte hier Angaben machen:","Ako je odgovor da, molimo Vas ovde uneti sledeće podatke:"
"Name, Vorname des Beschäftigten","Ime, prezime zaposlenog lica"
"Name/Bezeichnung des Dienstherrn/Arbeitgebers (ggf. Personalnummer) bzw. des Unternehmens, der Dienststelle oder Einrichtung","Ime/Naziv vlasnika firme/poslodavca(evtl. JMBG) odnosno PIB preduzeća, nadležne filijale ili ustanove"
"Anschrift des Dienstherrn/Arbeitgebers, des Unternehmens, der Dienststelle oder Einrichtung","Adresu vlasnika firme/poslodavca, preduzeća, nadležne filijale ili ekspoziture"
