"Name und Vorname der kindergeldberechtigten Person","اسم و لقب المطالب بدعم الطفل"
"Kindergeld-Nr.","رقم دعم الطفل"
"Telefonische Rückfrage tagsüber unter Nr.:","للاستفسار هاتفيا خلال النهار من خلال رقم الهاتف:"
"Bitte Hinweise beachten!","يرجى الانتباه إلى الملاحظات!"
"Haushaltsbescheinigung","إثبات الإقامة في الوحدة السكنية"
"zur Vorlage bei der Familienkasse","للتقديم إلى صندوق العائلة"
"Erklärung über die Haushaltszugehörigkeit von Kindern","ا. تصريح عن تبعية الأطفال للوحدة السكنية"
"durch Herrn/Frau","من قبل السيد/السيدة"
"Name","اللقب"
"Vorname","الاسم"
"Geburtsdatum","تاريخ الولادة"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","العنوان (الشارع / الساحة، رقم المنزل، الرمز البريدي، المدينة، البلد)"
"Familienstand:","الوضع العائلي"
"ledig","عازب\ـة"
"seit","منذ"
"verheiratet","متزوج\ـة"
"verwitwet","أرمل\ـة"
"in Lebenspartnerschaft lebend","شراكة مدنية مسجلة"
"geschieden","مطلق\ـة"
"dauernd getrennt lebend","مفصول بشكل دائم"
"Tragen Sie bitte nachstehend in der Reihenfolge der Geburten – mit dem ältesten Kind beginnend – die zu Ihrem Haushalt gehörenden Kinder ein, die Sie im Antrag auf Kindergeld/Fragebogen aufgeführt haben.","يرجى تسجيل الأطفال الذين ينتمون للوحدة السكنية المذكورين في استمارة إعانة رعاية الطفل. ابتداءََ بالطفل الأقدم."
"Zu meinem Haushalt unter der oben angegebenen Anschrift gehören folgende Kinder:","ينتمي الأطفال التاليين لوحدتي السكنية عند العنوان المذكور أعلاه"
"lfd. Nr.","العدد"
"Name und Vorname des Kindes","اللقب"
"geboren am","تاريخ الميلاد"
"Haushaltsaufnahme am","تاريخ التسجيل في الوحدة السكنية"
"In Deutschland seit *)","موجود في ألمانيا منذ *)"
"*) Nur sofern ein Zuzug aus dem Ausland erfolgte, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","*) فقط في حالة وجود هجرة من الخارج ، يجب الإشارة هنا ،منذ متى يقيم الطفل بدون انقطاع في ألمانيا."
"(Datum)","(التاريخ)"
"(Unterschrift der kindergeldberechtigten Person)","توقيع الشخص الذي يحق له إستحقاقات الطفل "
"Amtliche Bescheinigung der Angaben","إثبات رسمي للبيانات"
"Es wird hiermit bescheinigt, dass die unter A genannte Person und die unter lfd. Nr. ... bis lfd. Nr. ... aufgeführten Kinder nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet sind.","أقر هنا على أن الأشخاص المذكورين تحت الفقرة A و الأطفال المدرجين تحت الرقم ... إلى الرقم ... مسجلون كما هو موضح في المستندات أو المعلومات المعطاة هنا."
"Bemerkungen:","التعليقات:"
"Dienstsiegel oder Stempel","الختم الرسمي"
"(Unterschrift)","(التوقيع)"
"Hinweise","الملاحظات"
"Kindergeld kann Ihnen grundsätzlich für die Kinder gezahlt werden, die zu Ihrem Haushalt gehören. Eine Haushaltszugehörigkeit liegt nur vor, wenn das Kind ständig in Ihrem Haushalt lebt, von Ihnen betreut und erzogen wird und aus den Mitteln Ihres Haushalts versorgt wird. Allein die bloße Anmeldung eines Kindes bei einer Meldebehörde führt nicht zur Haushaltszugehörigkeit. Während einer zeitweiligen auswärtigen Unterbringung zur Schul- oder Berufsausbildung bleibt eine bestehende Haushaltszugehörigkeit erhalten.","إن مستحقاقات رعاية الطفل ُتدفع أساسًا للأطفال الذين ينتمون إلى وحدتك السكنية. هذا يعني أن الطفل يعيش باستمرار في وحدتك السكنية و تقوم بتربيته و رعايته و الإنفاق على حاجياته. إذا كان الطفل مسجل بشكل إفرادي في مكتب التسجيل فهذا يعني بأنه لا ينتمي إلى وحدتك السكنية. في حال وجود إقامة خارجية مؤقت بسبب التعليم أو التدريب المهني ،فذلك لا يعتبر خروج عن الوحدة السكنية."
"Näheres finden Sie dazu im Merkblatt über Kindergeld.","تجد المزيد من المعلومات في نشرة عن إعانة رعاية الطفل"
"Das Vorhandensein der Kinder und ihre Zugehörigkeit zum Haushalt sind amtlich nachzuweisen. Diesem Zweck dient die umseitige Haushaltsbescheinigung.","يجب إثبات وجود الأطفال وانتمائهم إلى الوحدة السكنية بشكل رسمي. يمكن الاستعانة بإقرار الوحدة السكنية على الجهة المقابلة للورقة."
"Füllen Sie deshalb bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.","يرجى ملئ القسم A بشكل واضح و مقروء. في القسم B يجب أن تكون بياناتك معتمدة من قبل مكتب التسجيل المختص أو هيئة عامة أخرى و ممهورة بالختم الرسمي."
"Haben Sie Kinder in Ihrem Antrag auf Kindergeld aufgeführt, die dauerhaft (nicht nur vorübergehend) außerhalb Ihres Haushaltes leben, reichen Sie bitte eine »Lebensbescheinigung« (KG 3b) ein. Falls solche Kinder in Schul- oder Berufsausbildung stehen, kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung eingereicht werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke erhalten Sie bei Ihrer Familienkasse.","إذا كنت قد أشرت  إلى أطفال في طلب رعاية الأطفال خاصتك و كان هؤلاء الأطفال يعيشون بشكل دائم (وليس فقط مؤقتًا) خارج الوحدة السكنية، فيرجى تقديم ""شهادة حياة"" (KG 3b). إذا كان هؤلاء الأطفال يتلقون التعليم في المدرسة أو التدريب المهني ، فيمكن عندها تقديم شهادة التعليم أو التدريب المهني بدلاً عن شهادة الحياة على ألا تتجاوز صلاحيتها الستة أشهر. يمكن الحصول على نماذج لهذه الشهادات من صندوق العائلة المعني."
