Name und Vorname der kindergeldberechtigten Person,Name und Vorname der kindergeldberechtigten Person
Kindergeld-Nr.,Kindergeld-Nr.
Telefonische Rückfrage tagsüber unter Nr.:,Telefonische Rückfrage tagsüber unter Nr.:
Bitte Hinweise beachten!,Bitte Hinweise beachten!
Lebensbescheinigung,Lebensbescheinigung
zur Vorlage bei der Familienkasse,zur Vorlage bei der Familienkasse
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen","Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen"
durch Herrn/Frau,durch Herrn/Frau
Name,Name
Vorname,Vorname
Geburtsdatum,Geburtsdatum
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)"
Familienstand:,Familienstand:
ledig,ledig
seit,seit
verheiratet,verheiratet
verwitwet,verwitwet
in Lebenspartnerschaft lebend,in Lebenspartnerschaft lebend
geschieden,geschieden
dauernd getrennt lebend,dauernd getrennt lebend
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder","Ich erkläre hiermit, dass folgendes Kind / folgende Kinder"
lfd. Nr.,lfd. Nr.
Name und Vorname des Kindes,Name und Vorname des Kindes
geboren am,geboren am
In Deutschland seit *),In Deutschland seit *)
"*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält."
wie folgt wohnhaft ist/sind.,wie folgt wohnhaft ist/sind.
"Person oder Institution, bei der das Kind/die Kinder lebt/leben","Person oder Institution, bei der das Kind/die Kinder lebt/leben"
(Datum),(Datum)
(Unterschrift der kindergeldberechtigten Person),(Unterschrift der kindergeldberechtigten Person)
Bescheinigung der Angaben,Bescheinigung der Angaben
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.","Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind."
Bemerkungen:,Bemerkungen:
Dienstsiegel oder Stempel (falls vorhanden),Dienstsiegel oder Stempel (falls vorhanden)
(Unterschrift),(Unterschrift)
Hinweise,Hinweise
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.","Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind."
Näheres findet sich dazu im Merkblatt über Kindergeld.,Näheres findet sich dazu im Merkblatt über Kindergeld.
Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.,Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.
Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.,Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.","Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden."
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.","Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich."
Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.,Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.
