Name und Vorname der kindergeldberechtigten Person,Nom et prénom du(des) bénéficiaire(s) des prestations pour enfant
Kindergeld-Nr.,N° d'allocataire
Telefonische Rückfrage tagsüber unter Nr.:,"Pour toute question, téléphonez pendant la journée au :"
Bitte Hinweise beachten!,Merci de lire la note explicative
zur Vorlage bei der Familienkasse,à présenter à la caisse d'allocations familiales
durch Herrn/Frau,Par Monsieur/Madame
Name,Nom
Vorname,Prénom
Geburtsdatum,Date de naissance
Familienstand:,Situation de famille :
ledig,célibataire
seit,depuis
verheiratet,marié(e)
verwitwet,veuf/veuve
in Lebenspartnerschaft lebend,pacsé(e)
geschieden,divorcé-e
dauernd getrennt lebend,séparé-e durablement
lfd. Nr.,N°
Name und Vorname des Kindes,Nom et prénom de l'enfant
geboren am,Né(e) le
In Deutschland seit *),En Allemagne depuis *)
(Datum),(Date)
Bemerkungen:,Remarques :
(Unterschrift),(Signature)
Hinweise,Note explicative
