Name und Vorname der kindergeldberechtigten Person,Cognome e nome della persona avente diritto agli assegni familiari
Kindergeld-Nr.,Numero di riferimento dell’assegno familiare
Telefonische Rückfrage tagsüber unter Nr.:,Numero di telefono di giorno:
Bitte Hinweise beachten!,Si prega di leggere le note!
Lebensbescheinigung,Certificato di esistenza in vita
zur Vorlage bei der Familienkasse,da presentare alla Familienkasse (Cassa per la famiglia)
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen",Dichiarazione sui figli che vivono al di fuori del nucleo familiare
durch Herrn/Frau,di sig./ra
Name,Cognome
Vorname,Nome
Geburtsdatum,Data di nascita
Familienstand:,Stato civile:
ledig,nubile/celibe
seit,da
verheiratet,sposato/a
verwitwet,vedovo/a
in Lebenspartnerschaft lebend,convivente in un’unione civile registrata
geschieden,divorziato/a
dauernd getrennt lebend,separato/a
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder",Dichiaro che il/la figlio/a o i figli elencati qui sotto abitano all’indirizzo specificato di seguito
lfd. Nr.,Codice n.
Name und Vorname des Kindes,Cognome e nome del/la figlio/a
geboren am,data di nascita
In Deutschland seit *),In Germania dal *)
"Person oder Institution, bei der das Kind/die Kinder lebt/leben",Persona o istituzione presso la quale vive/vivono il/i figli
(Datum),(Data)
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.","Certifichiamo che per quanto a nostra conoscenza il figlio/i figli indicati con il numero da .... fino al numero … è/sono registrato/i (residente/i) all’indirizzo indicato, come da documentazione allegata."
Bemerkungen:,Note:
(Unterschrift),(Firma)
Hinweise,Istruzioni
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.","Gli assegni familiari di norma possono essere corrisposti solo per i figli che vivono all’interno del nucleo familiare della persona richiedente. A determinate condizioni, tuttavia, saranno presi in considerazione anche i figli che abitano fuori dal nucleo familiare, ad esempio i bambini che sono stati affidati a un istituto."
Näheres findet sich dazu im Merkblatt über Kindergeld.,Potete trovare altri dettagli nel foglio informativo sugli assegni familiari (Merkblatt über Kindergeld).
Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.,L’esistenza in vita dei figli e la loro residenza devono essere certificate con l’apposito certificato di esistenza in vita (Lebensbescheinigung) in allegato.
Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.,Si prega di compilare la sezione A in modo chiaro e leggibile. Nella sezione B le vostre dichiarazioni devono essere certificate da parte del competente ufficio dell’Anagrafe (Einwohnermeldeamt) o di un altro ufficio pubblico che vi apporrà il sigillo ufficiale o il bollo d’ufficio.
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.","Per i figli affidati a un istituto, la certificazione può essere rilasciata dalla direzione dell’istituto in questione."
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.","Per i figli che frequentano la scuola o un corso di formazione professionale, si può anche allegare, al posto del certificato di esistenza in vita (Lebensbescheinigung), un attestato della scuola o dell’istituto professionale, che però deve essere stato rilasciato negli ultimi sei mesi. I moduli appositi per la certificazione sono disponibili presso la vostra Familienkasse."
Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.,"Se non vi è possibile fornire una certificazione dell’esistenza in vita dei vostri figli (ad es. può essere difficile per i figli al di fuori della Germania), vi preghiamo di rivolgervi alla vostra cassa per la famiglia (Familienkasse)."
