Name und Vorname der kindergeldberechtigten Person,Apelido e nome da/do beneficiária/o do abono de família
Kindergeld-Nr.,N.º do abono de família
Telefonische Rückfrage tagsüber unter Nr.:,Pedidos de informação por telefone para o n.º:
Bitte Hinweise beachten!,
Lebensbescheinigung,
zur Vorlage bei der Familienkasse,
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen",
durch Herrn/Frau,
Name,Apelido(s)
Vorname,Nome(s)
Geburtsdatum,Data de nascimento
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)",
Familienstand:,
ledig,solteira/o
seit,desde
verheiratet,casada/o
verwitwet,viúva/o
in Lebenspartnerschaft lebend,em união de facto registada
geschieden,divorciada/o
dauernd getrennt lebend,separada/o de facto
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder",
lfd. Nr.,
Name und Vorname des Kindes,
geboren am,
In Deutschland seit *),
"*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.",
wie folgt wohnhaft ist/sind.,
"Person oder Institution, bei der das Kind/die Kinder lebt/leben",
(Datum),
(Unterschrift der kindergeldberechtigten Person),
Bescheinigung der Angaben,
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.",
Bemerkungen:,
Dienstsiegel oder Stempel (falls vorhanden),
(Unterschrift),
Hinweise,
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.",
Näheres findet sich dazu im Merkblatt über Kindergeld.,
Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.,
Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.,
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.",
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.",
Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.,
