"Name und Vorname der kindergeldberechtigten Person","اسم و لقب المطالب بدعم الطفل"
"Kindergeld-Nr.","رقم دعم الطفل"
"Telefonische Rückfrage tagsüber unter Nr.:","للاستفسار هاتفيا خلال النهار من خلال رقم الهاتف:"
"zur Vorlage bei der Familienkasse","للتقديم إلى صندوق العائلة"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","ملاحظة: لا يلزم إثبات الزيارة إلى المدرسة المهنية إذا كان يوجد في نفس الوقت تدريب مهني داخل الشركة."
"Teilzeitunterricht mit … Stunden wöchentlich.","دروس لجزء من الوقت مع … ساعات في الأسبوع."
"hat die Schulausbildung im Monat / Jahr … beendet.","انتهى التعليم المدرسي في الشهر / السنة …."
"Datum, Unterschrift","التاريخ...، التوقيع...."
"Stempel der Schule","ختم المدرسة"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","يتم جمع البيانات ومعالجتها واستخدامها لغرض وأساس §§ 31، 62-78 قانون ضريبة الدخل والأنظمة المعمول بها في قانون الضرائب أو بسبب قانون إعانة الطفل الاتحادي وقانون الضمان الاجتماعي."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","أكتر بيانات عن الحقوق  حماية البيانات الشخصية بلنسبة الفنون 13 و 14   موجود في موقع إنترنيت www.familienkasse.de"
