"Name und Vorname der kindergeldberechtigten Person","Ihr Name"
"Kindergeld-Nr.","Kindergeldnummer. (Wenn Sie zum ersten Mal Kindergeld bekommen möchten, brauchen Sie hier nichts zu schreiben.)"
"Telefonische Rückfrage tagsüber unter Nr.:","Telefonnummer, wo man Sie am Tag anrufen kann"
"Schulbescheinigung","Dies ist ein Papier, das Sie von der Schule Ihres Kindes bekommen, auf dem steht, dass Ihr Kind dort Schüler oder Schülerin ist."
"zur Vorlage bei der Familienkasse","Geben Sie dieses Papier der Familienkasse."
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","Wenn Ihr Kind in eine Berufsschule geht, dann sollen Sie einen Nachweis abgeben. Der Nachweis ist ein Papier, in dem steht, dass Ihr Kind auf die Berufsschule geht. Diesen Nachweis bekommen Sie von der Berufsschule, wenn Sie danach fragen.
Wenn der Schüler aber auch in einer Firma eine Ausbildung macht, dann muss er den Nachweis von der Berufsschule nicht zeigen."
"Der/Die Schüler(in) …, geboren am …,","Ihr Kind heißt …. Es hat Geburtstag am …."
"besucht unsere Schule seit … (Schuleintritt).","Ihr Kind geht zur Schule seit ... "
"Er/Sie geht seit … in die Klasse … und wird die Schulausbildung (voraussichtlich) im Monat / Jahr … beenden.","Ihr Kind geht seit … (Monat und Jahr) in die Klasse (1. Klasse oder 2. Klasse oder 3. Klasse…) … und wird bis zum … (Monat / Jahr) in die Schule gehen."
"Es handelt sich hierbei um","So geht Ihr Kind zur Schule:"
"Vollzeitunterricht.","Ihr Kind hat jeden Tag außer am Wochenende Unterricht"
"Teilzeitunterricht mit … Stunden wöchentlich.","Ihr Kind hat nicht jeden Tag Schule. Es geht jede Woche … Stunden zur Schule."
"hat die Schulausbildung im Monat / Jahr … beendet.","Ihr Kind geht nicht mehr zur Schule seit Monat/Jahr …."
"Datum, Unterschrift","Datum, Unterschrift"
"Stempel der Schule","Die Schule macht hier einen Stempel."
"Bitte beachten Sie:","Hier folgen wichtige Informationen für Sie, die Sie lesen sollen."
"Die Angaben dienen der steuerrechtlichen Beurteilung, ob ein gesetzlich geregelter Kindergeldanspruch gegeben ist. Diese Beurteilung nimmt die zuständige Familienkasse in ihrer Funktion als Bundesfinanzbehörde wahr.","Das Amt wird Ihre Information lesen und schauen ob Sie Kindergeld bekommen können. Die Familienkasse ist das Amt, das entscheidet ob Sie Kindergeld bekommen."
"Die Angaben sind wahrheitsgetreu zu machen.","Die Informationen, die sie hier geben, müssen richtig sein."
"**Hinweis zum Datenschutz**:","**Hier können Sie lesen, wie mit den Informationen von Ihnen umgegangen wird**:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","Hier wird Ihnen erklärt, warum Sie Ihre Informationen Angeben müssen um Kindergeld zu bekommen. Die Informationen über Sie werden wegen dem §§ 31, 62 bis 78 Einkommenssteuergesetz (das ist ein Gesetz das bestimmt, wieviel Geld Sie von Ihrer Arbeit an den Staat zahlen müssen), der Abgabenordnung, des Bundeskindergeldgesetzes und des Sozialgesetzbuches (im Sozialgesetzbuch stehen Regeln über das Kindergeld oder die Rente)  gebraucht."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","Hier wird Ihnen gesagt, wo Sie mehr lernen können über das, was das Amt mit Ihren Informationen machen darf und was das Amt nicht machen darf. Die Familienkasse hat eine Seite im Internet, wo Sie  etwas dazu lesen können (www.familienkasse.de). Wenn Sie Fragen haben können Sie auf der Seite auch eine Telefonnummer oder Emailadresse vom Datenschutzbeauftragten finden. Der Datenschutzbeauftragte kann Ihnen Ihre Fragen dann beantworten."
