"Name und Vorname der kindergeldberechtigten Person","Name und Vorname der kindergeldberechtigten Person"
"Kindergeld-Nr.","Kindergeld-Nr."
"Telefonische Rückfrage tagsüber unter Nr.:","Telefonische Rückfrage tagsüber unter Nr.:"
"Schulbescheinigung","Schulbescheinigung"
"zur Vorlage bei der Familienkasse","zur Vorlage bei der Familienkasse"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht."
"Der/Die Schüler(in) …, geboren am …,","Der/Die Schüler(in) …, geboren am …,"
"besucht seit … die Klasse … und wird die Schulausbildung — voraussichtlich — im Monat / Jahr … beenden.","besucht seit … die Klasse … und wird die Schulausbildung — voraussichtlich — im Monat / Jahr … beenden."
"Es handelt sich hierbei um","Es handelt sich hierbei um"
"Vollzeitunterricht.","Vollzeitunterricht."
"Teilzeitunterricht mit … Stunden wöchentlich.","Teilzeitunterricht mit … Stunden wöchentlich."
"hat die Schulausbildung im Monat / Jahr … beendet.","hat die Schulausbildung im Monat / Jahr … beendet."
"Datum, Unterschrift","Datum, Unterschrift"
"Stempel der Schule","Stempel der Schule"
"Bitte beachten Sie:","Bitte beachten Sie:"
"Die Angaben dienen der steuerrechtlichen Beurteilung, ob ein gesetzlich geregelter Kindergeldanspruch gegeben ist. Diese Beurteilung nimmt die zuständige Familienkasse in ihrer Funktion als Bundesfinanzbehörde wahr.","Die Angaben dienen der steuerrechtlichen Beurteilung, ob ein gesetzlich geregelter Kindergeldanspruch gegeben ist. Diese Beurteilung nimmt die zuständige Familienkasse in ihrer Funktion als Bundesfinanzbehörde wahr."
"Die Angaben sind wahrheitsgetreu zu machen.","Die Angaben sind wahrheitsgetreu zu machen."
"**Hinweis zum Datenschutz**:","**Hinweis zum Datenschutz**:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind."
