Name und Vorname des/der Kindergeldberechtigten,"Apellidos, Nombre del/ de la beneficiario/a del subsidio familiar por hijos"
Kindergeld-Nr.,Número de Identificación del subsidio familiar
Steuer-ID,Número de Identificación fiscal
Telefonische Rückfrage tagsüber unter Nr.:,Consultas telefónicas (durante el día) bajo el número:
Schulbescheinigung zur Vorlage bei der Familienkasse,Certificado de escolarirdad para su presentación ante la Caja de Prestaciones Familiares
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.",Observación: La asistencia a una escuela de formación profesional no debe ser acreditada si está vinculada al sistema de formación profesional dual (escuela-empresa)
Der/Die Schüler(in) .......,El/la alumno/a .......
geboren am ...,nacido/a el …
besucht die Klasse ...........,asiste al grado escolar…
und wird die Schulausbildung - voraussichtlich - im Monat / Jahr ..... beenden.,y tiene previsto terminar su formación escolar en el mes … del año….
Es handelt sich hierbei um Vollzeitunterricht.,Se trata de clases a tiempo completo
Teilzeitunterricht mit .................... Stunden wöchentlich.,a tiempo parcial de …. horas semanales
hat die Schulausbildung im Monat / Jahr..... beendet.,ha terminado la enseñanza escolar en el mes …. del año …
Ort und Datum,Lugar y fecha
"Stempel der Schule, Unterschrift","Sello del centro del centro de enseñanza, firma"
