"Name und Vorname des/der Kindergeldberechtigten","نام و نام خانوادگی متقاضی کمک هزینه کودک"
"Kindergeld-Nr.","شماره پرونده کمک هزینه کودک"
"Steuer-ID","شماره شناسایی مالیاتی"
"Telefonische Rückfrage tagsüber unter Nr.:","شماره تلفن برای پرسش های احتمالی در طول روز."
"Schulbescheinigung zur Vorlage bei der Familienkasse","مدرک ثبت نام مدرسه برای ارائه به صندوق خانواده"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","تذکر: شرکت در کلاسهای مدارس حرفه ای نیاز به گواهی ندارد، درصورتی که با محل کار قرارداد کارآموزی بسته اید."
"Der/Die Schüler(in) .......","نام دانش آموز"
"geboren am ...","متولد"
"besucht die Klasse ...........","کلاس"
"und wird die Schulausbildung - voraussichtlich - im Monat / Jahr ..... beenden.","و مدرسه را ـ به احتمال زیاد ـ در ماه/ سال............ تمام می کند. "
"Es handelt sich hierbei um Vollzeitunterricht.","در اینجا منظورتحصیل تمام وقت است."
"Teilzeitunterricht mit .................... Stunden wöchentlich.","تحصیل نیمه وقت با.......... ساعت در هفته."
"hat die Schulausbildung im Monat / Jahr..... beendet.","تحصیلات مدرسه را در ماه/ سال.......... تمام کرده است."
"Ort und Datum","محل و تاریخ"
"Stempel der Schule, Unterschrift","مهر مدرسه، امضا"
