"Name und Vorname der kindergeldberechtigten Person","Nom et prénom du(des) bénéficiaire(s) des prestations pour enfant"
"Kindergeld-Nr.","N° d'allocataire"
"Telefonische Rückfrage tagsüber unter Nr.:","Pour toute question, téléphonez pendant la journée au :"
"Schulbescheinigung","Certificat de scolarité"
"zur Vorlage bei der Familienkasse","à présenter à la caisse d'allocations familiales"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","Remarque : il n’est pas nécessaire de justifier la fréquentation d'un centre de formation professionnelle si un contrat d'apprentissage existe en parallèle."
"Der/Die Schüler(in) …, geboren am …,","L'élève …, né(e) le …"
"Es handelt sich hierbei um","Il s'agit d'une"
"Vollzeitunterricht.","formation à temps plein."
"Teilzeitunterricht mit … Stunden wöchentlich.","Formation à temps partiel comportant … heures par semaine."
"hat die Schulausbildung im Monat / Jahr … beendet.","a terminé sa formation scolaire en … (mois/année)."
"Datum, Unterschrift","Date, signature"
"Stempel der Schule","Cachet de l'école"
"**Hinweis zum Datenschutz**:","**Indication à propos de la loi relative à la protection des données**:"
"Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet.","les données seront relevées, travai llées et utilisées au regard des paragraphes 31, 62 à 78 de la loi relative à l'impôt sur le revenu et de la reglementation du code fiscal et au regard de la loi relative aux all ocations familiales."
"Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","De plus amples informations sur vos droits dans le cadre de la collecte de données personnelles en vertu des articles 13 et 14 de la réglementation générale sur la protection des données peuvent être obtenues sur Internet sur la page de votre Caisse d’allocations familiale (disponible à www.familienkasse.de). Vous trouverez également ici les coordonnées du responsable de la protection des données."
