"Name und Vorname des/der Kindergeldberechtigten","Cognome e nome della persona avente diritto agli assegni familiari"
"Kindergeld-Nr.","Numero di riferimento dell’assegno familiare"
"Steuer-ID","Codice fiscale"
"Telefonische Rückfrage tagsüber unter Nr.:","Numero di telefono di giorno:"
"Schulbescheinigung zur Vorlage bei der Familienkasse","Certificato di iscrizione scolastica da presentare alla Familienkasse"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","Attenzione: non è necessario dimostrare l’iscrizione a una scuola professionale se è in corso un apprendistato presso un’azienda."
"Der/Die Schüler(in) .......","L’alunno/l’alunna ......."
"geboren am ...","nato/a il ..."
"besucht die Klasse ...........","frequenta la classe ..........."
"und wird die Schulausbildung - voraussichtlich - im Monat / Jahr ..... beenden.","e si prevede che concluderà l’istruzione scolastica nel mese / anno ....."
"Es handelt sich hierbei um Vollzeitunterricht.","Il corso è a tempo pieno."
"Teilzeitunterricht mit .................... Stunden wöchentlich.","a tempo parziale con .................... ore la settimana."
"hat die Schulausbildung im Monat / Jahr..... beendet.","ha concluso l’istruzione scolastica nel mese / anno....."
"Ort und Datum","Luogo e data"
"Stempel der Schule, Unterschrift","Timbro della scuola, Firma"
