"Name und Vorname des/der Kindergeldberechtigten","Apelido e nome da/do beneficiária/o do abono de família"
"Kindergeld-Nr.","N.º do abono de família"
"Steuer-ID","Número de identificação fiscal"
"Telefonische Rückfrage tagsüber unter Nr.:","Pedidos de informação por telefone para o n.º:"
"Schulbescheinigung zur Vorlage bei der Familienkasse","Declaração da escola para entrega no programa de previdência familiar"
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.","Nota: a frequência de uma escola de formação profissional não precisa de ser comprovada se ao mesmo tempo existir um vínculo de formação com a empresa formadora"
"Der/Die Schüler(in) .......","A/O aluna/o ......"
"geboren am ...","nascida/o a ....."
"besucht die Klasse ...........","frequenta o ano escolar ....."
"und wird die Schulausbildung - voraussichtlich - im Monat / Jahr ..... beenden.","e irá concluir - provavelmente - a educação escolar no mês / ano de ..... ."
"Es handelt sich hierbei um Vollzeitunterricht.","Trata-se de uma escola a tempo inteiro."
"Teilzeitunterricht mit .................... Stunden wöchentlich.","uma escola a tempo parcial com ..... horas semanais."
"hat die Schulausbildung im Monat / Jahr..... beendet.","concluiu a educação escolar no mês / ano de ...... ."
"Ort und Datum","Local e data"
"Stempel der Schule, Unterschrift","Carimbo da escola, assinatura"
