Name und Vorname des/der Kindergeldberechtigten,Ime i prezime lica koje/koja imaju pravo na dodelu dečijeg dodatka
Kindergeld-Nr.,Dečiji dodatak-Br.
Steuer-ID,Poreski identifikacioni broj
Telefonische Rückfrage tagsüber unter Nr.:,Telefonska obaveštenja preko dana na br:
Schulbescheinigung zur Vorlage bei der Familienkasse,Skolska potvrda za predaju kod porodicne kase
"Hinweis: Der Besuch der Berufsschule braucht nicht nachgewiesen zu werden, wenn zeitgleich ein betriebliches Ausbildungsverhältnis besteht.",Primedba: Poseta skole za obrazovanje ne mora da se dokazuje ako istovremeno postoji jedan odnos obrazovanja u preduzecu.
Der/Die Schüler(in) .......,Taj / ta ucenica......
geboren am ...,Rodjen / rodjena...( datum )
besucht die Klasse ...........,Posecuje razred.....
und wird die Schulausbildung - voraussichtlich - im Monat / Jahr ..... beenden.,i zavrsava skolsko obrazovanje - otprilike - u mesecu / godini.....
Es handelt sich hierbei um Vollzeitunterricht.,Ovde se radi o punovremenskom skolskom obrazovanju
Teilzeitunterricht mit .................... Stunden wöchentlich.,Poluvremenska nastava sa .........sati u nedelji.
hat die Schulausbildung im Monat / Jahr..... beendet.,je zavrsio / zavrila skolsko obrazovanje u mesecu / godini....
Ort und Datum,Mesto i datum
"Stempel der Schule, Unterschrift",Pecat i potpis skole
