"Hinweisblatt zum Formular für die Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","برگه راهنمای مربوط به فرم اعلام تناسبات شخصی و اقتصادی دررابطه با کمک هزینه برای روند و جریان دادرسی"
"– Bitte bewahren Sie dieses Hinweisblatt und eine Kopie des ausgefüllten Formulars bei Ihren Unterlagen auf –","لطفا یک کپی از این برگه راهنما و یک کپی از فرم پرشده را درکنارمدارک تان نگه دارید."
"Allgemeine Hinweise","تذکرات کلی"
"Wozu Prozess- oder Verfahrenskostenhilfe?","کمک هزینه برای روند و جریان دادرسی به چه منظوری؟"
"Wer erhält Prozess- oder Verfahrenskostenhilfe?","چه کسی کمک هزینه برای روند و جریان دادرسی را دریافت می کند؟"
"Dazu schreibt das Gesetz für die Prozesskostenhilfe vor:","بدین منظورقانون مربوط به کمک هزینه برای روند دادرسی مقرر می کند: "
"Dies gilt auch für die Verfahrenskostenhilfe. Einen Anspruch haben Sie also dann, wenn Sie","این همچنین درمورد کمک هزینه برای جریان دادرسی صدق می کند. شما زمانی حق دارید که"
"- einen Prozess oder ein Verfahren führen müssen und die dafür erforderlichen Kosten nicht oder nur teilweise aufbringen können **und**","یک پروسه یا یک جریان دادرسی باید انجام بشوند و هزینه های ضروری مربوطه را نمی توانید تهیه کنید و یا فقط بخشی از هزینه را می توانید تهیه کنید** و**"
"- nach Einschätzung des Gerichts nicht nur geringe Aussichten auf Erfolg haben **und**","بنا بر ارزیابی دادگاه امید زیادی به موفقیت وجود ندارد ** و**"
"- nicht von der Prozess- oder Verfahrensführung absehen würden, wenn Sie die Kosten selbst tragen müssten.","از جانب مدیریت جریان دادرسی یا پروسه صرف نظرنخواهد شد، درصورتی که شما شخصا مجبور به پرداخت هزینه بشوید."
"Was ist Prozess- oder Verfahrenskostenhilfe?","کمک هزینه برای پروسه یا جریان دادرسی چیست؟"
"Wichtig:","مهم"
"Welche Risiken sind zu beachten?","چه مخاطراتی را باید در نظر داشت؟"
"Wenn Sie ein Gerichtsverfahren führen müssen, sollten Sie sich zunächst möglichst genau über die Höhe der zu erwartenden Gerichts- **und** Anwaltskosten informieren. Dies gilt auch bei Prozess- oder Verfahrenskostenhilfe. **Sie schließt nicht jedes Kostenrisiko aus.**","به محض شروع هر دادگاه, بهتر است در سریعترین زمان ممکن در رابطه با هزینه های وکیل و دادگاه اطلاعات کسب کنید. این هزینه ها برای هر پروسه یا درخواست کمک مالی هم صدق میکند. 
** قابل ذکر است که این تمام ریسک های(هزینه های) مالی را از بین نمیبرد**"
"Schon für eine anwaltliche Vertretung im Verfahren über die Prozess- oder Verfahrenskostenhilfe entstehen Kosten. Diese müssen Sie begleichen, wenn Ihrem Antrag nicht entsprochen wird. Das Gleiche gilt für bereits entstandene und noch entstehende Gerichtskosten.","به محض ورود وکیل برای بررسی پرونده یا پروسه قانونی هزینه هایی وجود دارد. زمانی که درخواست شما قبول نشود این هزینه ها مقایسه(با مبالغ پرداختی) و باید پرداخت شود. همین روال برای هزینه های دادگاه هم انجام میشود. "
"Wie erhält man Prozess- oder Verfahrenskostenhilfe?","چگونه می توان کمک هزینه برای پروسه و جریان دادرسی را دریافت کرد؟"
"Lesen Sie das Formular sorgfältig durch und füllen Sie es gewissenhaft aus.","فرم را با دقت بخوانید و با توجه بسیار آن را پر کنید."
"Wenn Sie beim Ausfüllen Schwierigkeiten haben, können Sie anwaltliche Hilfe in Anspruch nehmen oder sich an das Gericht wenden. Sollte der Raum im Formular nicht ausreichen, können Sie die Angaben auf einem Extrablatt machen. Bitte weisen Sie in dem betreffenden Feld auf das beigefügte Blatt hin.","اگر با فرم پر کردن مشکل دارید, میتوانید درخواست کمک قانونی(از وکیل) کنید. اگر در صفحه درخواستنامه به اندازه کافی جا برای نوشتن ندارید، می توانید پاسخ هایتان را بر روی یک ورقه ی جداگانه بنویسید. لطفا این ورقه ی جداگانه را در محل مناسب ذکر کنید."
