"Hinweisblatt zum Formular für die Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","Информационный лист к формуляру декларации о личных и экономических условиях при притязании на помощь по оплате процессуальных расходов или расходов производства по делу"
"– Bitte bewahren Sie dieses Hinweisblatt und eine Kopie des ausgefüllten Formulars bei Ihren Unterlagen auf –","- Сохраните, пожалуйста, этот информационный лист и одну копию заполненного формуляра в Ваших документах -"
"Allgemeine Hinweise","Общие советы"
"Wozu Prozess- oder Verfahrenskostenhilfe?","Зачем нужна помощь по оплате процессуальных расходов или расходов производства по делу?"
"Wenn Sie eine Klage erheben oder einen Antrag bei Gericht stellen wollen, müssen Sie in der Regel Gerichtskosten zahlen. Schreibt das Gesetz eine anwaltliche Vertretung vor oder ist aus anderen Gründen eine anwaltliche Vertretung notwendig, kommen die Kosten hierfür hinzu. Entsprechende Kosten entstehen Ihnen auch dann, wenn Sie sich in einem Gerichtsverfahren verteidigen.","Если Вы хотите подать иск или заявление в суд, Вам обычно нужно оплатить судебные расходы. Если закон предписывает, что Вам необходимо представительство адвокатом в суде или по каким-либо причинам Вы нуждаетесь в адвокатской защите, расходы на эти услуги присоединяются к судебным. Соответствующие расходы возникают и в том случае, если Вы защищаетесь в судебном процессе."
"Die Prozess- oder Verfahrenskostenhilfe soll Ihnen die Verfolgung oder Verteidigung Ihrer Rechte ermöglichen, wenn Sie diese Kosten nicht oder nur teilweise aufbringen können. Sie kann auch dann bewilligt werden, wenn Sie zur Durchsetzung eines Anspruchs die Zwangsvollstreckung betreiben müssen.","Помощь по оплате процессуальных расходов или расходов производства по делу должна способствовать отстаиванию и защите Ваших прав, если Вы не в состоянии оплатить сумму этих расходов целиком или частично. Она может быть предоставлена и в том случае, если для исполнения требования Вам нужно осуществить принудительное взыскание."
"Wer erhält Prozess- oder Verfahrenskostenhilfe?","Кто получает помощь по оплате процессуальных расходов или расходов производства по делу?"
"Dazu schreibt das Gesetz für die Prozesskostenhilfe vor:","По этому вопросу закон о помощи по оплате процессуальных расходов или расходов производства по делу предписывает:"
"„Eine Partei, die nach ihren persönlichen und wirtschaftlichen Verhältnissen die Kosten der Prozessführung nicht, nur zum Teil oder nur in Raten aufbringen kann, erhält auf Antrag Prozesskostenhilfe, wenn die beabsichtigte Rechtsverfolgung oder Rechtsverteidigung hinreichende Aus-sicht auf Erfolg bietet und nicht mutwillig erscheint.","""Сторона, которая в силу своих личных и экономических условий не может целиком или частично оплатить судебные расходы, по заявлению получает помощь по оплате процессуальных расходов, если предполагаемое правовое преследование или правовая защита имеют достаточные шансы на успех в суде и не выглядят злонамеренными."
"Mutwillig ist die Rechtsverfolgung oder Rechtsverteidigung, wenn eine Partei, die keine Prozesskostenhilfe beansprucht, bei verständiger Würdigung aller Umstände von der Rechtsverfolgung oder Rechtsverteidigung absehen würde, obwohl eine hinreichende Aussicht auf Erfolg besteht.“","Правовое преследование или защита в суде являются злонамеренными в случае, если сторона, не требующая помощь по оплате процессуальных расходов, учитывая все обстоятельства, отказывалась бы от правового преследования или защиты в суде, несмотря на достаточные шансы на успех."""
