"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","نام، محل و شماره پرونده دادگاه"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","توضیحات در باره وضعیت شخصی و مالی شما برای تقاضای کمک جهت تامین مخارج روند دادرسی"
"– Belege sind in Kopie durchnummeriert beizufügen –","کپی مدارک را شماره گذاری کرده و ضمیمه کنید."
"Angaben zu Ihrer Person","مشخصات مربوط شما"
"Name, Vorname, ggf. Geburtsname","نام خانوادگی، نام و تاریخ تولد"
"Beruf, Erwerbstätigkeit","حرفه شغلی، وضعیت اشتغال"
"Geburtsdatum","تاریخ تولد"
"Familienstand","وضعیت تاهل"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","آدرس (خیابان، پلاک خانه، کد پستی، شهر محل زندگی) "
"Tagsüber tel. erreichbar unter Nummer","شماره تلفن برای پرسش های احتمالی در طول روز."
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","در صورتی که وکیل دارید (اسم فامیل، اسم، آدرس و شماره تلفن را اینجا بنویسید)"
"Rechtsschutzversicherung/ Mitgliedschaft","بیمه خدمات حقوقی/ مشخصات عضویت"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. آیا یک شرکت بیمه خدمات حقوقی یا یک نهاد دیگر یا یک شخص (مثلا یک اتحادیه، انجمن خدمات مشاوره‌ای مستاجران، یک نهاد اجتماعی) مخارج روند دادرسی شما را تامین می‌کند؟"
"Beleg Nummer","شماره مدرک ضمیمه شده"
"Nein","خیر"
"Ja:","بلی:"
