"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","يمكنكم عن طريق هذه الوثيقة التقدم لدي المحكمة المختصة بطلب إعانة لسداد مصاريف التقاضي. حال قبول الطلب يتوجب عليكم دفع جزء من المصاريف أو إعفاؤكم منها."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","يتم منحكم الإعانة فقط إذا كنتم تمتلكون القليل من المال."
"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","ينوب عنكم  المحامي/ المحامية في تقديم الطلب."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","الأوراق التالية يجب عليكم تسليها مع الطلب لدي المحكمة:"
"- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe","- بيان عن الحالة الشخصية الاقتصادية عند الإعانة علي مصاريف الإجراءات والتقاضي."
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","- الإثباتات المستندية عن الحالة الشخصية والإقتصادية (نُسَخ)."
"Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.","راجع التعليمات الخاصة بالإعانة علي مصاريف التقاضي في نهاية هذه الوثيقة."
"Angaben der Antragstellerin oder des Antragstellers:","معلومات عن مقدمة/ مقدم الطلب:"
"Name:","اسم العائلة:"
"Vorname:","الاسم الأول:"
"Anschrift:","العنوان:"
"Amtsgericht","المحكمة الابتدائية"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für","مرفق به طلب مني لمنحي إعانة علي مصاريف وإجراءات التقاضي لما يلي"
"\*) Zutreffendes bitte ankreuzen!","\*) يرجي وضع علامة أمام ما هو مطابق"
"das Verfahren mit dem Geschäftszeichen ................................. .\*)","الإجراء المدون في اللائحة الداخلية برقم....\*)"
"oder","أو"
"die Erhebung der im Entwurf beigefügten Klage.\*)","رفع الشكوى التي في المسوّدة\*)"
"Die Klage soll","يجب رفع الدعوي:"
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","علي أية حال، حتي وإن لم يتم إقرار مساعدات تكاليف التقاضي والإجراءات لي من قبل,\*)"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","فقط، عندما يتم إقرار مساعدات تكاليف التقاضي والإجراءات من قبل \*)"
"erhoben werden.","تُرفع"
"Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.","تم ارفاق مع هذا الطلب إقرار الحالة الشخصية والإقتصادية إضافة إلي المستندات المثبته لهما."
"Datum, Unterschrift","التاريخ...، التوقيع...."
