"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","Mit diesem Formular können Sie beim zuständigen Amtsgericht einen Antrag auf Hilfe für Prozesskosten stellen. Wenn Sie die Hilfe bekommen: Dann müssen Sie nur einen Teil von den Prozesskosten oder gar keine Prozesskosten zahlen."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","Aber Sie bekommen die Hilfe für Prozesskosten nur dann, wenn Sie wenig Geld haben."
"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","Sie müssen zusammen mit diesem Formular noch diese Papiere dem Amtsgericht geben:"
"- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe","- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozesskostenhilfe und Verfahrenskostenhilfe"
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)"
"Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.","Lesen Sie auch die Informationen über die Hilfe für Prozesskosten am Ende von diesem Dokument."
"Angaben der Antragstellerin oder des Antragstellers:","Informationen über Sie:"
"Name:","Name:"
"Vorname:","Vorname:"
"Anschrift:","Adresse:"
"Amtsgericht","Amtsgericht"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für","Sie stellen den Antrag, dass Sie Hilfe für Prozesskosten bekommen"
"\*) Zutreffendes bitte ankreuzen!","\*) Bitte die richtige Information ankreuzen!"
"das Verfahren mit dem Geschäftszeichen ................................. .\*)","für den Prozess mit der Nummer................................. .\*)"
"oder","oder"
"die Erhebung der im Entwurf beigefügten Klage.\*)","damit ich eine Klage vor Gericht mache. Ich gebe den Entwurf der Klage zusammen mit diesem Formular ab.\*)"
"Die Klage soll","Sie werden die Klage"
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","auf jeden Fall machen, auch wenn ich keine Hilfe für Prozesskostenbekomme.\*)"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","nur machen, wenn ich weiß, dass ich eine Hilfe für Prozesskosten bekomme.\*)"
"erhoben werden.","machen."
"Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.","Sie geben das Formular mit den Informationen über Sie und Ihre Geld-Situation zusammen mit diesem Formular ab."
"Datum, Unterschrift","Datum, Unterschrift"
