"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben."
"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:"
"- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe","- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe"
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)"
"Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.","Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments."
"Angaben der Antragstellerin oder des Antragstellers:","Angaben der Antragstellerin oder des Antragstellers:"
"Name:","Name:"
"Vorname:","Vorname:"
"Anschrift:","Anschrift:"
"Amtsgericht","Amtsgericht"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für","Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für"
"\*) Zutreffendes bitte ankreuzen!","\*) Zutreffendes bitte ankreuzen!"
"das Verfahren mit dem Geschäftszeichen ................................. .\*)","das Verfahren mit dem Geschäftszeichen ................................. .\*)"
"oder","oder"
"die Erhebung der im Entwurf beigefügten Klage.\*)","die Erhebung der im Entwurf beigefügten Klage.\*)"
"Die Klage soll","Die Klage soll"
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)"
"erhoben werden.","erhoben werden."
"Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.","Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt."
"Datum, Unterschrift","Datum, Unterschrift"
