"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","This form allows you to apply for legal aid before a responsible court. If the court grants your application, you will only have to pay part, or none, of the legal costs."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","You will only receive legal aid if you only have a small amount of money."
"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","Your lawyer can apply for you."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","You need to submit the following documents together with the application:"
"- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe","- statement on the personal and financial circumstances applying for legal aid"
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","- documents (copies) to show your personal and financial situation"
"Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.","Please see the information on legal aid at the end of this document."
"Angaben der Antragstellerin oder des Antragstellers:","Details of the applicant:"
"Name:","Last name:"
"Vorname:","First name:"
"Anschrift:","Address:"
"Amtsgericht","Amtsgericht (local court)"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für","I hereby apply for legal aid for"
"\*) Zutreffendes bitte ankreuzen!","\*) Tick where applicable!"
"das Verfahren mit dem Geschäftszeichen ................................. .\*)","the proceeding with the reference number.........................\*)"
"oder","or"
"die Erhebung der im Entwurf beigefügten Klage.\*)","the action, attached as draft, to be brought.\*)"
"Die Klage soll","The action should to be brought"
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","in any case, even if I am not granted legal aid,\*)"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","only if I am granted legal aid, \*)"
"erhoben werden.","."
"Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.","I have attached my statement on personal and financial circumstances together with supporting documents to this application."
"Datum, Unterschrift","Date, Signature"
