"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.",
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.",
Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.,
Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:,
- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe,
- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien),
Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.,
Angaben der Antragstellerin oder des Antragstellers:,
Name:,
Vorname:,
Anschrift:,
Amtsgericht,
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für",
\*) Zutreffendes bitte ankreuzen!,
das Verfahren mit dem Geschäftszeichen ................................. .\*),
oder,
die Erhebung der im Entwurf beigefügten Klage.\*),
Die Klage soll,
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)",
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)",
erhoben werden.,
Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.,
"Datum, Unterschrift",
Hinweisblatt zum Formular für die Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe,
– Bitte bewahren Sie dieses Hinweisblatt und eine Kopie des ausgefüllten Formulars bei Ihren Unterlagen auf –,
Allgemeine Hinweise,Note generali
Wozu Prozess- oder Verfahrenskostenhilfe?,
"Wenn Sie eine Klage erheben oder einen Antrag bei Gericht stellen wollen, müssen Sie in der Regel Gerichtskosten zahlen. Schreibt das Gesetz eine anwaltliche Vertretung vor oder ist aus anderen Gründen eine anwaltliche Vertretung notwendig, kommen die Kosten hierfür hinzu. Entsprechende Kosten entstehen Ihnen auch dann, wenn Sie sich in einem Gerichtsverfahren verteidigen.",
"Die Prozess- oder Verfahrenskostenhilfe soll Ihnen die Verfolgung oder Verteidigung Ihrer Rechte ermöglichen, wenn Sie diese Kosten nicht oder nur teilweise aufbringen können. Sie kann auch dann bewilligt werden, wenn Sie zur Durchsetzung eines Anspruchs die Zwangsvollstreckung betreiben müssen.",
Wer erhält Prozess- oder Verfahrenskostenhilfe?,
Dazu schreibt das Gesetz für die Prozesskostenhilfe vor:,
"„Eine Partei, die nach ihren persönlichen und wirtschaftlichen Verhältnissen die Kosten der Prozessführung nicht, nur zum Teil oder nur in Raten aufbringen kann, erhält auf Antrag Prozesskostenhilfe, wenn die beabsichtigte Rechtsverfolgung oder Rechtsverteidigung hinreichende Aus-sicht auf Erfolg bietet und nicht mutwillig erscheint.",
"Mutwillig ist die Rechtsverfolgung oder Rechtsverteidigung, wenn eine Partei, die keine Prozesskostenhilfe beansprucht, bei verständiger Würdigung aller Umstände von der Rechtsverfolgung oder Rechtsverteidigung absehen würde, obwohl eine hinreichende Aussicht auf Erfolg besteht.“",
"Dies gilt auch für die Verfahrenskostenhilfe. Einen Anspruch haben Sie also dann, wenn Sie",
- einen Prozess oder ein Verfahren führen müssen und die dafür erforderlichen Kosten nicht oder nur teilweise aufbringen können **und**,
- nach Einschätzung des Gerichts nicht nur geringe Aussichten auf Erfolg haben **und**,
"- nicht von der Prozess- oder Verfahrensführung absehen würden, wenn Sie die Kosten selbst tragen müssten.",
