"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","С помощью этого бланка Вы можете подать заявление на предоставление помощи по оплате процессуальных расходов или расходов производства по делу в соответствующем суде. Если заявление удовлетворят, Вам нужно будет оплатить только часть процессуальных расходов или Вы полностью будете освобождены от их уплаты."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","Вы получите помощь по оплате процессуальных расходов или расходов производства по делу только в том случае, если у Вас мало денег."
"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","Ваш адвокат может подать заявление за Вас."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","Следующие документы Вам нужно направить в суд вместе с заявлением"
"- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe","- декларацию о личных и экономических денежных условиях для получения помощи по оплате процессуальных расходов или расходов производства по делу"
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","- справки о Вашем личном и экономическом положении (копии)"
"Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.","Смотрите также примечания к документу о помощи по оплате процессуальных расходов или расходов производства по делу в конце этого документа."
"Angaben der Antragstellerin oder des Antragstellers:","данные заявителя"
"Name:","фамилия"
"Vorname:","имя"
"Anschrift:","адрес"
"Amtsgericht","местный общий суд"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für","Настоящим заявлением ходатайствую о предоставлении мне помощи по оплате процессуальных расходов или расходов производства по делу для"
"\*) Zutreffendes bitte ankreuzen!","\*) Отметите, пожалуйста, нужное крестиком"
"das Verfahren mit dem Geschäftszeichen ................................. .\*)","производство дела номер .................................. . \*)"
"oder","или"
"die Erhebung der im Entwurf beigefügten Klage.\*)","предъявление обвинения, прилагаемего в черновке"
"Die Klage soll","Иск должен быть"
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","в любом случае, даже если помощь по оплате процессуальных расходов или расходов производства по делу не будет рашрешен"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","только, если мне заранее дать согласие на помощь по оплате процессуальных расходов или расходов производства по делу \*)"
"erhoben werden.","предъявлен."
"Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.","Декларацию о моих личных и экономических условиях вместе со справками я приложил/-а к этому заявлению."
"Datum, Unterschrift","дата, подпись"
