Befreiung und Ermäßigung beantragen,تقديم طلب اعفاء و تخفيض
Bei Anspruch auf eine Befreiung von der Rundfunkbeitragspflicht oder eine Ermäßigung des Rundfunkbeitrags füllen Sie bitte diesen Antrag aus. Das Online-Formular führt Sie Schritt für Schritt durch den Antrag. Eine zusätzliche Anmeldung ist nicht notwendig.,"للحصول على حق الإعفاء و للإطلاع على النموذج, تحتاجون إلى ملف بي دي أف."
"Um das Formular anzuzeigen, benötigen Sie einen PDF-Reader.",لمشاهدة أو طباعة هذا الملف بشكل واضح يجب استخدام برنامج مستعرض ملفات Reader-PDF.
Antragsdaten auswählen,1) إختيار البيانات المدخلة
Persönliche Daten eingeben,إدخال البيانات الشخصية2 )
Zusammenfassung prüfen,3 )إختبار الملخص
Antrag ausdrucken,4) طباعة الطلب
Antragsdaten,بيانات الطلب
Persönliche Daten,البيانات الشخصية
Zusammenfassung,
Drucken,إطبع
"Ich möchte befreit/ermäßigt werden, aus...",طلب عفاء / تخفيض لسبب...
sozialen Gründen.,لأسباب إجتماعية.
gesundheitlichen Gründen.,لأسباب صحية.
"angeklickt ""soziale Gründe"":","اختيار"" اسباب إجتماعية"":"
"Ich möchte befreit werden, weil ich eine der folgenden Leistungen erhalte...",أنا أطلب الإعفاء من المبلغ لأنني أتقاضى المساعدات التالية ..
ALG II (Hartz IV),
"weiter ""Persönliche Daten""",المزيد من البيانات الشخصية
"""?"": ALG II (Hartz IV):",مساعده مالية للعاطلين عن العمل
Empfänger von **Sozialgeld oder Arbeitslosengeld II** einschließlich von Leistungen nach § 22 des Zweiten Buches des Sozialgesetzbuches,"الحاصلين على ""المساعدة الاجتماعية ""او"" مساعدة العاطلين عن العمل"" بما في ذلك الدعم المقدم حسب المادة رقم § 22 من SGB"
Grundsicherung,تأمين أساسي للمعيشة
"""?"": Grundsicherung:",
Empfänger von **Grundsicherung im Alter und bei Erwerbsminderung** (Viertes Kapitel des Zwölften Buches des Sozialgesetzbuches),"الحاصلين على"" مساعدة كبار السن و الشيخوخة"" حسب القسم رقم 4 من القانون SGB XII"
BAföG,"""قرض الطالب"""
"""?"": BAföG:",
"Empfänger von **Ausbildungsförderung** nach dem Bundesausbildungsförderungsgesetz, die **nicht** bei den Eltern wohnen","*الحاصلون على المساعدة في مجال التدريب المهني حسب القانون الإتحادي""قانون مساعدات التدريب اللاتحادي"" للدولة للأشخاص الذين لا يعيشون مع آبائهم*"
Berufsausbildungsbeihilfe (BAB),المساعدة إلى جانب التدريب المهني (BAB)
"""?"": Berufsausbildungsbeihilfe (BAB):",
"Empfänger von **Berufsausbildungsbeihilfe** nach den §§ 114, 115 Nr. 2 des Dritten Buches des Sozialgesetzbuches oder nach dem Dritten Kapitel, Dritter Abschnitt, Dritter Unterabschnitt des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen","الحاصلين على ""بدل التدريب المهني""حسب القانون (BAB) nach den §§ 99, 100 Nr. 3 SGB III a. F. (neu: §§ 114, 115 Nr. 2 SGB III) أو حسب القسم الرابع, المادة الخامسة للقانون SGB III a. F (الجديد: القسم الرابع, المادة الثالثة SGB III a. F) للأشخاص الذين لا يعيشون مع آبائهم"
Sozialhilfe,المساعدة الإجتماعية
"""?"": Sozialhilfe:",
Empfänger von **Hilfe zum Lebensunterhalt** nach dem Dritten Kapitel des Zwölften Buches des Sozialgesetzbuches (Sozialhilfe) oder nach den §§ 27a oder 27d des Bundesversorgungsgesetzes (BVG),"الحاصلين على المساعدة ""تامين وسائل المعيشة"" حسب القسم رقم 3 من القانون SGB XII (المساعدة الاجتماعية) أو حسب المادة §§ 27a أو 27d BVG"
Ausbildungsgeld (SGB III),بدل التدريب المهني
"""?"": Ausbildungsgeld (SGB III):",
