Befreiung und Ermäßigung beantragen,
Bei Anspruch auf eine Befreiung von der Rundfunkbeitragspflicht oder eine Ermäßigung des Rundfunkbeitrags füllen Sie bitte diesen Antrag aus. Das Online-Formular führt Sie Schritt für Schritt durch den Antrag. Eine zusätzliche Anmeldung ist nicht notwendig.,
"Um das Formular anzuzeigen, benötigen Sie einen PDF-Reader.",
Antragsdaten auswählen,
Persönliche Daten eingeben,
Zusammenfassung prüfen,
Antrag ausdrucken,
Antragsdaten,
Persönliche Daten,
Zusammenfassung,
Drucken,Štampati
"Ich möchte befreit/ermäßigt werden, aus...",
sozialen Gründen.,
gesundheitlichen Gründen.,
"angeklickt ""soziale Gründe"":",
"Ich möchte befreit werden, weil ich eine der folgenden Leistungen erhalte...",
ALG II (Hartz IV),
"weiter ""Persönliche Daten""",
"""?"": ALG II (Hartz IV):",
Empfänger von **Sozialgeld oder Arbeitslosengeld II** einschließlich von Leistungen nach § 22 des Zweiten Buches des Sozialgesetzbuches,
Grundsicherung,
"""?"": Grundsicherung:",
Empfänger von **Grundsicherung im Alter und bei Erwerbsminderung** (Viertes Kapitel des Zwölften Buches des Sozialgesetzbuches),
BAföG,
"""?"": BAföG:",
"Empfänger von **Ausbildungsförderung** nach dem Bundesausbildungsförderungsgesetz, die **nicht** bei den Eltern wohnen",
Berufsausbildungsbeihilfe (BAB),
"""?"": Berufsausbildungsbeihilfe (BAB):",
"Empfänger von **Berufsausbildungsbeihilfe** nach den §§ 114, 115 Nr. 2 des Dritten Buches des Sozialgesetzbuches oder nach dem Dritten Kapitel, Dritter Abschnitt, Dritter Unterabschnitt des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen",
Sozialhilfe,
"""?"": Sozialhilfe:",
Empfänger von **Hilfe zum Lebensunterhalt** nach dem Dritten Kapitel des Zwölften Buches des Sozialgesetzbuches (Sozialhilfe) oder nach den §§ 27a oder 27d des Bundesversorgungsgesetzes (BVG),
Ausbildungsgeld (SGB III),
"""?"": Ausbildungsgeld (SGB III):",
"Empfänger von **Ausbildungsgeld** nach §§ 122 ff. des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen.",
Asylbewerberleistung,
"""?"": Asylbewerberleistung:",
Empfänger von Leistungen nach dem **Asylbewerberleistungsgesetz** (AsylblG),
weitere Leistungen,
Zurück,
"angeklickt ""BAföG"" oder ""Berufsausbildungsbeihilfe (BAB)"" oder ""Ausbildungsgeld (SGB III)"":",
Ich wohne bei meinen Eltern?,
Ja,
Nein,
"angeklickt ""Ja"":",
"Empfänger von BAB können von der Rundfunkbeitragspflicht nur befreit werden, wenn sie nicht bei den Eltern wohnen. Weil Sie bei Ihren Eltern wohnen, kann die Antragsstellung hier nicht fortgesetzt werden.",
"Falls Sie bereits bei uns angemeldet sind, prüfen Sie bitte, ob ggf. eine Abmeldung für Sie in Frage kommt. Informationen finden Sie hier.",
"angeklickt ""Nein"":",
Abbrechen,
"angeklickt ""weitere Leistungen"":",
Hilfe zur Pflege (SGB XII oder BVG),
"""?"": Hilfe zur Pflege (SGB XII oder BVG):",
Empfänger von **Hilfe zur Pflege** nach dem Siebten Kapitel des Zwölften Buches des Sozialgesetzbuches oder von **Hilfe zur Pflege als Leistung der Kriegsopferfürsorge** nach dem Bundesversorgungsgesetz (BVG) oder von **Pflegegeld nach den landesgesetzlichen Vorschriften**,
Pflegezulagen nach LAG,
"""?"": Pflegezulagen nach LAG:",
"Empfänger von **Pflegezulagen** nach § 267 Abs. 1 des Lastenausgleichsgesetzes (LAG) oder Personen, denen wegen Pflegebedürftigkeit nach § 267 Abs. 2 Satz 1 Nr. 2 Buchstabe c LAG ein Freibetrag zuerkannt wird",
nach SGB VIII (Kinder- und Jugendhilfe),
"""?"": nach SGB VIII (Kinder- und Jugendhilfe):",
"**Volljährige**, die im Rahmen einer Leistungsgewährung nach dem Achten Buch des Sozialgesetzbuches (SGB VIII) **in einer stationären Einrichtung** nach § 45 SGB VIII **leben**",
Blindenhilfe (SGB XII),
"""?"": Blindenhilfe (SGB XII):",
Empfänger von Blindenhilfe nach § 72 des Zwölften Buches des Sozialgesetzbuches oder nach § 27d des Bundesversorgungsgesetzes (BVG),
"Ich möchte befreit werden, weil ich keine der unter § 4 Abs. 1 Nr. 1-10 RBStV aufgeführten sozialen Leistungen...",
auf Grund einer Einkommensüberschreitung erhalte.,
"""?"": auf Grund einer Einkommensüberschreitung erhalte.:",
"Personen, denen eine der in § 4 Abs. 1 Nr. 1-10 Rundfunkbeitragsstaatsvertrag genannten **sozialen Leistungen wegen Überschreitung der Bedarfsgrenze versagt wurde**, wobei die Überschreitung **geringer** als die Höhe des Rundfunkbeitrags ist",
Hinweis,
"Erhalten Sie eine andere soziale Leistung, die hier nicht zur Auswahl steht, ist eine Befreiung nicht möglich. Zum Beispiel sind Wohngeld oder ALG I keine Voraussetzung für eine Befreiung von der Rundfunkbeitragspflicht.",
"angeklickt ""auf Grund einer Einkommensüberschreitung erhalte"":",
Ich habe auf Grund einer Einkommensüberschreitung keinen Anspruch auf eine der unter § 4 Abs. 1 RBStV aufgeführten sozialen Leistungen.,
"Die Einkommensüberschreitung liegt unter 17,50 Euro?",
"Wenn Sie keine soziale Leistung wegen Einkommensüberschreitung erhalten, ist eine Befreiung von der Rundfunkbeitragspflicht nur möglich, wenn diese weniger als 17,50 Euro beträgt. Weil Ihre Einkommensüberschreitung 17,50 Euro oder mehr beträgt, kann die Antragsstellung hier nicht fortgesetzt werden.",
"angeklickt ""gesundheitliche Gründe"":",
"Ich möchte eine Ermäßigung des Rundfunkbeitrags beantragen, weil ich zu folgendem Personenkreis gehöre:",
Blinde oder sehbehinderte Menschen mit einem Grad der Behinderung von wenigstens 60,
"""?"": Blinde oder sehbehinderte Menschen mit einem Grad der Behinderung von wenigstens 60",
"**Blinde** oder **nicht nur vorübergehend wesentlich sehbehinderte Menschen** mit einem Grad der Behinderung von wenigstens 60 allein wegen der Sehbehinderung, das **Merkzeichen ""RF""** wurde zuerkannt.",
Hörgeschädigte oder gehörlose Menschen,
"""?"": Hörgeschädigte oder gehörlose Menschen",
"**Hörgeschädigte Menschen**, die gehörlos sind oder denen eine ausreichende Verständigung über das Gehör auch mit Hörhilfen nicht möglich ist, das **Merkzeichen ""RF""** wurde zuerkannt.",
Behinderte Menschen mit einem Grad der Behinderung von wenigstens 80,
"""?"": Behinderte Menschen mit einem Grad der Behinderung von wenigstens 80",
"**Behinderte Menschen**, deren Grad der Behinderung nicht nur vorübergehend wenigstens 80 beträgt und die wegen ihres Leidens an öffentlichen Veranstaltungen ständig nicht teilnehmen können, das **Merkzeichen ""RF""** wurde zuerkannt.",
"Ich möchte befreit werden, weil ich zu einem der folgenden Personenkreise gehöre:",
taubblinde Menschen,
"""?"": taubblinde Menschen",
"Taubblindheit im Sinne des Rundfunkbeitragsstaatsvertrages liegt vor, wenn auf dem besseren Ohr eine 'an Taubheit grenzende Schwerhörigkeit' und auf dem besseren Auge eine 'hochgradige Sehbehinderung' gegeben ist",
Sonderfürsorgeberechtigte,
"""?"": Sonderfürsorgeberechtigte",
**Sonderfürsorgeberechtigte** im Sinne des § 27e Bundesversorgungsgesetzes (BVG),
"angeklickt ""Blinde oder sehbehinderte Menschen"" oder ""Behinderte Menschen"" oder ""Hörgeschädigte Menschen"":",
"Wurde Ihnen das Merkzeichen ""RF"" zuerkannt?",
"Eine Ermäßigung des Rundfunkbeitrags ist nur möglich, wenn Ihnen das Merkzeichen ""RF"" zuerkannt wurde. Weil Ihnen dieses Merkzeichen nicht zuerkannt wurde, kann die Antragsstellung hier nicht fortgesetzt werden.",
Pflichtfelder sind mit * gekennzeichnet.,
Anrede,
Frau,
Herr,
Vorname,Prezime
Nachname,
PLZ,
Ort,
Straße,
Hausnummer,
Adresszusatz,
Zum Beispiel:,
c/o Familie Muster,
Hinterhaus,
Appartement 245,
Sie sind bereits mit einer Wohnung angemeldet?,
Beitragsnummer,
"""?"": Beitragsnummer",
"Die 9-stellige Beitragsnummer (früher Teilnehmernummer) finden Sie auf der Anmeldebestätigung, dem Kontoauszug oder auf der Zahlungsaufforderung.",
Anmeldung zu,
Monat,
Jahr,
Geburtsdatum,Datum rođenja
Tag,
Familienstand,
Bitte auswählen,
ledig,
verheiratet,
eingetragene Lebenspartnerschaft,
geschieden,
verwitwet,
getrennt lebend,
Weiter,
Korrigieren,
Antrag stellen,
Bitte beachten Sie auch unseren Datenschutzhinweis,
