"Befreiung und Ermäßigung beantragen","درخواست معافیت یا تخفیف"
"Bei Anspruch auf eine Befreiung von der Rundfunkbeitragspflicht oder eine Ermäßigung des Rundfunkbeitrags füllen Sie bitte diesen Antrag aus. Das Online-Formular führt Sie Schritt für Schritt durch den Antrag. Eine zusätzliche Anmeldung ist nicht notwendig.","درصورت وجود شرایط استفاده از حق معافیت یا تخفیف از پرداخت هزینه های صدا و سیما لطفا این درخواست را پر کنید.فرم آنلاین شما را قدم به قدم تا انتهای درخواست هدایت می کند. ثبت نام اضافه لازم نیست."
"Um das Formular anzuzeigen, benötigen Sie einen PDF-Reader.","برای نمایش فرم به یک نرم افزار نیاز دارید که از فرمت pdf پشتیبانی کند."
"Antragsdaten auswählen","داده های درخواست را انتخاب کنید."
"Persönliche Daten eingeben","اطلاعات شخصی را وارد کنید"
"Zusammenfassung prüfen","بررسی جمع بندی"
"Antrag ausdrucken","پرینت درخواست"
"Antragsdaten","مشخصات درخواست"
"Persönliche Daten","داده های شخصی"
"Zusammenfassung","جمع بندی"
"Drucken","چاپ کنید."
"Ich möchte befreit/ermäßigt werden, aus...","من می خواهم که معاف شوم/تخفیف بگیرم، به دلیل..."
"sozialen Gründen.","دلایل رفاهی."
"gesundheitlichen Gründen.","دلایل سلامتی."
"angeklickt ""soziale Gründe"":","کلیک ""دلایل رفاهی"":"
"Ich möchte befreit werden, weil ich eine der folgenden Leistungen erhalte...","من می خواهم از پرداخت هزینه ها معاف شوم چون یکی از خدمات زیر را دریافت می کنم..."
"ALG II (Hartz IV)","مزایای بیکاری"
"weiter ""Persönliche Daten""","ادامه ""داده های شخصی"""
"""?"": ALG II (Hartz IV):","""؟"": حقوق یا مزایای بیکاری (Hartz IV)"
"Empfänger von **Sozialgeld oder Arbeitslosengeld II** einschließlich von Leistungen nach § 22 des Zweiten Buches des Sozialgesetzbuches","دریافت کننده ی **مزایای رفاهی یا مزایای بیکاری II** شامل خدمات مطابق با پاراگراف 22 کتاب دوم قوانین اجتماعی"
"Grundsicherung","حقوق پایه به منظور تامین حداقل مایحتاج برای زندگی"
"""?"": Grundsicherung:","""؟"": حقوق پایه به منظور تامین حداقل مایحتاج برای زندگی:"
"Empfänger von **Grundsicherung im Alter und bei Erwerbsminderung** (Viertes Kapitel des Zwölften Buches des Sozialgesetzbuches)","دریافت کننده **حقوق پایه در پیری و در شرایط محدودیت کاری** (فصل چهارم کتاب دوازدهم قانون اجتماعی)"
"BAföG","بافگ یا حقوق دانشجویی"
"""?"": BAföG:","""؟"":بافگ"
"Empfänger von **Ausbildungsförderung** nach dem Bundesausbildungsförderungsgesetz, die **nicht** bei den Eltern wohnen","دریافت کننده ی **حمایت مالی از حرفه آموزی** طبق قانون کشوری حمایت از حرفه آموزی، که با والدین خود زندگی ""نمی کنند"""
"Berufsausbildungsbeihilfe (BAB)","کمک برای حرفه آموزی (BAB)"
"""?"": Berufsausbildungsbeihilfe (BAB):","""؟"":کمک برای حرفه آموزی (BAB) :"
"Empfänger von **Berufsausbildungsbeihilfe** nach den §§ 114, 115 Nr. 2 des Dritten Buches des Sozialgesetzbuches oder nach dem Dritten Kapitel, Dritter Abschnitt, Dritter Unterabschnitt des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen","دریافت کننده ی **کمک برای حرفه آموزی** طبق پاراگراف 114 و 115 شماره ی 2 کتاب سوم کتاب قانون اجتماعی یا طبق فصل سوم، بخش سوم ، زیربخش سوم کتاب سوم قانون اجتماعی که با والدین خود زندگی **نمی کنند**"
"Sozialhilfe","کمک های رفاهی"
"""?"": Sozialhilfe:","""؟"": کمک های رفاهی:"
