Befreiung und Ermäßigung beantragen,Demande d'exonération et de réduction de la redevance radio-télévision
Bei Anspruch auf eine Befreiung von der Rundfunkbeitragspflicht oder eine Ermäßigung des Rundfunkbeitrags füllen Sie bitte diesen Antrag aus. Das Online-Formular führt Sie Schritt für Schritt durch den Antrag. Eine zusätzliche Anmeldung ist nicht notwendig.,"Pour une exonération ou une reduction de la redevance radio-télévision, veuillez remplir ce dossier de demande. Le formulaire en ligne vous guide pas à pas tout au long du dossier. Une inscription supplémentaire n'est pas nécessaire."
"Um das Formular anzuzeigen, benötigen Sie einen PDF-Reader.",Vous avez besoin d'un PDF Reader pour afficher et imprimer le formulaire.
Antragsdaten auswählen,1. Sélectioner les données relatives à la demande
Persönliche Daten eingeben,2. Remplir les données personnelles
Zusammenfassung prüfen,3. Vérifier le résumé des données
Antrag ausdrucken,4. Imprimer la demande
Antragsdaten,Données de la demande
Persönliche Daten,Données personnelles
Drucken,Imprimer
"Ich möchte befreit/ermäßigt werden, aus...",Je souhaite être exonéré/bénéficier d'une réduction pour ...
sozialen Gründen.,des raisons sociales.
gesundheitlichen Gründen.,des raisons de santé.
"angeklickt ""soziale Gründe"":","Si vous avez cliqué ""pour des raisons sociales"":"
"Ich möchte befreit werden, weil ich eine der folgenden Leistungen erhalte...",Je souhaite être éxonéré car je bénéficie de la prestation suivante
ALG II (Hartz IV),"l'ALG II (Arbeitslosengeld II, Allocation chômage II dite Hartz IV)"
"weiter ""Persönliche Daten""","suite ""données personnelles"""
"""?"": ALG II (Hartz IV):","""?"": ALG II (Arbeitslosengeld II, Allocation chômage II dite Hartz IV)"
Empfänger von **Sozialgeld oder Arbeitslosengeld II** einschließlich von Leistungen nach § 22 des Zweiten Buches des Sozialgesetzbuches,"Les bénéficiaires de **Sozialgeld (l'allocation sociale) ou Arbeitslosengeld II (l'allocation chômage II)**, y compris les prestations sociales selon le § 22 du livre deux du Code social (Sozialgesetzbuch ou SGB II)"
Grundsicherung,Grundsicherung (aide sociale de base)
"""?"": Grundsicherung:","""?"": Grundsicherung (aide sociale de base)"
Empfänger von **Grundsicherung im Alter und bei Erwerbsminderung** (Viertes Kapitel des Zwölften Buches des Sozialgesetzbuches),"Les bénéficiaires de **Grundsicherung im Alter und bei Erwerbsminderung** (l'aide sociale de base aux personnes âgées et personnes inaptes au travail d'après le 4e chapitre du douxième livre du Code social, Sozialgesetzbuch ou SGB XII)"
BAföG,BAföG (Loi Fédérale sur l'Aide à la Formation)
"""?"": BAföG:","""?"": BAföG (Loi Fédérale sur l'Aide à la Formation):"
"Empfänger von **Ausbildungsförderung** nach dem Bundesausbildungsförderungsgesetz, die **nicht** bei den Eltern wohnen","Les bénéficiaires d'une **Ausbildungsförderung** (**aide à la formation**) d'après la Bundesausbildungsförderungsgesetz (BAföG, Loi Fédérale sur l'Aide à la Formation) qui **n**'habitent **pas** chez leurs parents."
Berufsausbildungsbeihilfe (BAB),"Berufsausbildungsbeihilfe (BAB, Aide à la la formation professionnelle)"
"""?"": Berufsausbildungsbeihilfe (BAB):","""?"": Berufsausbildungsbeihilfe (BAB, Aide à la la formation professionnelle):"
"Empfänger von **Berufsausbildungsbeihilfe** nach den §§ 114, 115 Nr. 2 des Dritten Buches des Sozialgesetzbuches oder nach dem Dritten Kapitel, Dritter Abschnitt, Dritter Unterabschnitt des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen","Les bénéficiaires de la **Berufsausbildungsbeihilfe** (BAB, Aide à la formation professionnelle) d'après §§ 114, 115 No. 2 du troisième livre du Code social SGB III ou d'après le 3ème chapitre, paragraphe 3, du troisième livre du Code social SGB III, qui **n**'habitent **pas** chez leurs parents."
Sozialhilfe,Sozialhilfe (Allocation sociale)
"""?"": Sozialhilfe:","""?"": Sozialhilfe (Allocation sociale):"
Empfänger von **Hilfe zum Lebensunterhalt** nach dem Dritten Kapitel des Zwölften Buches des Sozialgesetzbuches (Sozialhilfe) oder nach den §§ 27a oder 27d des Bundesversorgungsgesetzes (BVG),"Les bénéficiaires d'une **allocation d'aide à la subsistance** d'après le 3ème chapitre du douxième livre du code social (Sozialhilfe, allocation sociale) ou d'après les paragraphes 27a ou 27d du Bundesversorgungsgesetz (BVG, loi fédérale relative à la protection et aux soins)"
Ausbildungsgeld (SGB III),"Ausbildungsgeld (Aide à la formation, SGB III)"
"""?"": Ausbildungsgeld (SGB III):","""?"": Ausbildungsgeld (Aide à la formation, SGB III):"
"Empfänger von **Ausbildungsgeld** nach §§ 122 ff. des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen.","Les bénéficiaires de **Ausbildungsgeld** (Aide à la formation) d'après §§ 122 ff. du troisième livre du code social SGB III, qui **n**'habitent **pas** chez leurs parents"
Asylbewerberleistung,aide sociale aux réfugiés
"""?"": Asylbewerberleistung:","""?"": aide sociale aux réfugiés:"
Empfänger von Leistungen nach dem **Asylbewerberleistungsgesetz** (AsylblG),"Les bénéficiaires de l'aide sociale aux réfugiés reconnus ou provisoires d'après la **Asylbewerberleistungsgesetz** (AsylblG, Loi sur les demandeurs d'asile)"
weitere Leistungen,autres prestations
Zurück,Retour
"angeklickt ""BAföG"" oder ""Berufsausbildungsbeihilfe (BAB)"" oder ""Ausbildungsgeld (SGB III)"":","Si vous avez cliqué ""BAföG"" ou ""Berufsausbildungsbeihilfe (BAB, Aide à la formation professionnelle) ou ""Ausbildungsgeld (Aide à la formation, SGB III)"":"
Ich wohne bei meinen Eltern?,J'habite chez mes parents ?
Ja,oui
Nein,non
"angeklickt ""Ja"":","Si vous avez cliqué ""oui"":"
"Empfänger von BAB können von der Rundfunkbeitragspflicht nur befreit werden, wenn sie nicht bei den Eltern wohnen. Weil Sie bei Ihren Eltern wohnen, kann die Antragsstellung hier nicht fortgesetzt werden.","Les bénéficiaires de la BAB (Aide à la formation professionnelle) ne peuvent être exonérés de la redevance radio-télévision que s'ils ne résident pas chez leurs parents. S'ils habitent chez leurs parents, ils ne peuvent faire une demande de réduction ou d'exonération de la redevance."
"Falls Sie bereits bei uns angemeldet sind, prüfen Sie bitte, ob ggf. eine Abmeldung für Sie in Frage kommt. Informationen finden Sie hier.","Si vous êtes déjà inscrit chez nous, merci de vérifier s'il est possible de vous désinscrire. Vous trouverez des informations concernant ce sujet ici."
"angeklickt ""Nein"":","Si vous avez cliqué ""non"":"
"angeklickt ""weitere Leistungen"":","Si vous avez cliqué ""autres prestations"":"
Hilfe zur Pflege (SGB XII oder BVG),Aide aux soins (SGB XII ou BVG)
"""?"": Hilfe zur Pflege (SGB XII oder BVG):","""?"": Aide aux soins (SGB XII ou BVG):"
Empfänger von **Hilfe zur Pflege** nach dem Siebten Kapitel des Zwölften Buches des Sozialgesetzbuches oder von **Hilfe zur Pflege als Leistung der Kriegsopferfürsorge** nach dem Bundesversorgungsgesetz (BVG) oder von **Pflegegeld nach den landesgesetzlichen Vorschriften**,"Les bénéficiaires d'une **aide aux soins** d'après le 7e chapitre du douxième livre du code social (SGB XII) ou d'une **aide à l'assistance sociale aux victimes de guerre selon** le Bundesversorgungsgesetz (BVG, loi fédérale relative à la protection et aux soins) ou de prestations en espèces pour **soins illimités selon les dispositions législatives des Bundesländer allemands**."
Pflegezulagen nach LAG,Allocations de soins selon la LAG
"""?"": Pflegezulagen nach LAG:","""?"": Allocations de soins selon la LAG:"
"Empfänger von **Pflegezulagen** nach § 267 Abs. 1 des Lastenausgleichsgesetzes (LAG) oder Personen, denen wegen Pflegebedürftigkeit nach § 267 Abs. 2 Satz 1 Nr. 2 Buchstabe c LAG ein Freibetrag zuerkannt wird",Les bénéficiaires d'une **allocation de soins** selon le § 267 alinéa 1 de la Lastenausgleichsgesetz (Loi Fédérale sur la péréquation des charges sociales) ou les personnes pour lesquelles une éxonération leur est reconnue en raison d'une necessité de soins selon le § 267 alinéa 2 phrase 1 N° 2 Lettre C de la LAG.
nach SGB VIII (Kinder- und Jugendhilfe),d'après le SGB VIII (aide à l'enfance et à la jeunesse)
"""?"": nach SGB VIII (Kinder- und Jugendhilfe):","""?"": d'après le SGB VIII (aide à l'enfance et à la jeunesse):"
"**Volljährige**, die im Rahmen einer Leistungsgewährung nach dem Achten Buch des Sozialgesetzbuches (SGB VIII) **in einer stationären Einrichtung** nach § 45 SGB VIII **leben**",**Les personnes majeures** bénéficiant d'une prestation selon le huitième livre du code social (SGB VIII) et **séjournant** dans une **institution** selon le paragraphe 45 du SGB VIII.
Blindenhilfe (SGB XII),Aide aux personnes malvoyantes (SGB XII)
"""?"": Blindenhilfe (SGB XII):","""?"": Aide aux personnes malvoyantes (SGB XII):"
Empfänger von Blindenhilfe nach § 72 des Zwölften Buches des Sozialgesetzbuches oder nach § 27d des Bundesversorgungsgesetzes (BVG),Les personnes bénéficiant d'une aide aux personnes malvoyantes selon § 72 du douxième livre du code social (SGB XII) ou selon le §27d de la loi fédérale relative à la protection et aux soins (BVG)
"Ich möchte befreit werden, weil ich keine der unter § 4 Abs. 1 Nr. 1-10 RBStV aufgeführten sozialen Leistungen...",Je souhaite être exonéré car je ne bénéficie d'aucune des prestations sociales énumérées dans le §4 alinéa 1 Nr. 1-10 RBStV...
auf Grund einer Einkommensüberschreitung erhalte.,car mes revenus dépassent le seuil prévu.
"Personen, denen eine der in § 4 Abs. 1 Nr. 1-10 Rundfunkbeitragsstaatsvertrag genannten **sozialen Leistungen wegen Überschreitung der Bedarfsgrenze versagt wurde**, wobei die Überschreitung **geringer** als die Höhe des Rundfunkbeitrags ist",Ce sont les personnes dont **est refusée en raison d'un dépassement du seuil des besoins** l'une des aides sociales citées dans le § 4 alinéa 1 N° 1-10 et dans le cas où le dépassement est **inférieur** à la somme correspondant à la taxe radio-télévision.
"angeklickt ""auf Grund einer Einkommensüberschreitung erhalte"":","Vous avez cliqué ""car mes revenus dépassent le seuil prévu"":"
Ich habe auf Grund einer Einkommensüberschreitung keinen Anspruch auf eine der unter § 4 Abs. 1 RBStV aufgeführten sozialen Leistungen.,"En raison de revenus dépassant le seuil prévu, je ne peux pas demander à avoir droit aux aides sociales citées dans le § 4 Alinéa. 1 RBStV."
"Die Einkommensüberschreitung liegt unter 17,50 Euro?","Le dépassement du seuil est inférieur à 17,50 Euro?"
"Wenn Sie keine soziale Leistung wegen Einkommensüberschreitung erhalten, ist eine Befreiung von der Rundfunkbeitragspflicht nur möglich, wenn diese weniger als 17,50 Euro beträgt. Weil Ihre Einkommensüberschreitung 17,50 Euro oder mehr beträgt, kann die Antragsstellung hier nicht fortgesetzt werden.","Si vous ne bénéficiez d'aucune aide sociale en raison de revenus dépassant le seuil prévu, il est possible d'être éxonéré de la taxe radio-télévision seulement si ce dépassement est inférieur à 17,50 Euro. Si votre dépassement est de 17,50 Euro ou plus, vous ne pouvez effectuer une demande de réduction ou d'exonération de la redevance."
"angeklickt ""gesundheitliche Gründe"":","Si vous avez cliqué ""raisons de santé"":"
"Ich möchte eine Ermäßigung des Rundfunkbeitrags beantragen, weil ich zu folgendem Personenkreis gehöre:",Je souhaite bénéficier d'une réduction de la redevance radio-télévision car j'appartiens à la catégorie de personnes suivante:
Blinde oder sehbehinderte Menschen mit einem Grad der Behinderung von wenigstens 60,Aveugles ou personnes malvoyantes avec une degré de malvoyance d'au moins 60.
"**Blinde** oder **nicht nur vorübergehend wesentlich sehbehinderte Menschen** mit einem Grad der Behinderung von wenigstens 60 allein wegen der Sehbehinderung, das **Merkzeichen ""RF""** wurde zuerkannt.","**Aveugles** ou **les personnes atteintes de malvoyance sévère et non temporaire** dont le degré de malvoyance est d'au moins 60 et pour lequel la **mention ""RF""** a été attribuée."
Hörgeschädigte oder gehörlose Menschen,Personnes malentendantes ou atteintes de surdité
"**Hörgeschädigte Menschen**, die gehörlos sind oder denen eine ausreichende Verständigung über das Gehör auch mit Hörhilfen nicht möglich ist, das **Merkzeichen ""RF""** wurde zuerkannt.","**Personnes malentendantes** qui sont sourdes ou dont l'audition, même avec un appareil auditif, ne leur permet pas une compréhension suffisante.**La mention ""RF""** a été attribuée."
Behinderte Menschen mit einem Grad der Behinderung von wenigstens 80,Personnes en situation de handicap avec un degré de handicap d'au moins 80
"**Behinderte Menschen**, deren Grad der Behinderung nicht nur vorübergehend wenigstens 80 beträgt und die wegen ihres Leidens an öffentlichen Veranstaltungen ständig nicht teilnehmen können, das **Merkzeichen ""RF""** wurde zuerkannt.","**Personnes en situation de handicap**, dont le degré de handicap est de minimum 80 et est permanent et pour les personnes dont le handicap ne permet pas de participer à des événements publics et auxquels la **mention ""RF""** a été attribuée."
"Ich möchte befreit werden, weil ich zu einem der folgenden Personenkreise gehöre:",Je souhaite être exonéré de la redevance radio-télévision car j'appartiens à la catégorie de personnes suivante:
taubblinde Menschen,Personnes sourdaveugles
"Taubblindheit im Sinne des Rundfunkbeitragsstaatsvertrages liegt vor, wenn auf dem besseren Ohr eine 'an Taubheit grenzende Schwerhörigkeit' und auf dem besseren Auge eine 'hochgradige Sehbehinderung' gegeben ist",Il s'agit de surdicécité (personnes sourdes et aveugles) s'il est diagnostiqué 'une déficience auditive proche de la surdité' sur la meilleure oreille ou 'une sévère déficience visuelle' sur le meilleur oeil.
Sonderfürsorgeberechtigte,Personnes bénéficiant d'une assistance spéciale
**Sonderfürsorgeberechtigte** im Sinne des § 27e Bundesversorgungsgesetzes (BVG),"**Personnes bénéficiant d'une assistance spéciale** selon le §27e du Bundesversorgungsgesetz (BVG, loi fédérale relative à la protection et aux soins)"
"angeklickt ""Blinde oder sehbehinderte Menschen"" oder ""Behinderte Menschen"" oder ""Hörgeschädigte Menschen"":","Si vous avez cliqué ""Aveugles ou personnes malvoyantes"" ou ""personne en situation de handicap"" ou ""personnes malentendantes"":"
"Wurde Ihnen das Merkzeichen ""RF"" zuerkannt?","Bénéficiez-vous de la mention ""RF""?"
"Eine Ermäßigung des Rundfunkbeitrags ist nur möglich, wenn Ihnen das Merkzeichen ""RF"" zuerkannt wurde. Weil Ihnen dieses Merkzeichen nicht zuerkannt wurde, kann die Antragsstellung hier nicht fortgesetzt werden.","Une réduction de la taxe radio-télévision est seulement possible si la mention ""RF"" vous a été attribuée. Dans le cas contraire vous ne pouvez pas faire de demande."
Pflichtfelder sind mit * gekennzeichnet.,Les champs annotés d'une astérisque* sont obligatoires.
Anrede,Titre
Frau,Madame
Herr,Monsieur
Vorname,Prénom
Nachname,Nom*
PLZ,Code postal*
Ort,Ville*
Straße,Rue*
Hausnummer,Numéro du domicile*
Adresszusatz,Complément d'adresse
"""?"": Adresszusatz","""?"": Complément d'adresse"
Zum Beispiel:,Par exemple
c/o Familie Muster,- c/o Famille Dupont
Hinterhaus,- bâtiment arrière
Appartement 245,Appartement 245
Sie sind bereits mit einer Wohnung angemeldet?,Avez-vous déjà effectué votre déclaration de domiciliation?*
Beitragsnummer,Numéro de contribution à la redevance radio-télévision*
"Die 9-stellige Beitragsnummer (früher Teilnehmernummer) finden Sie auf der Anmeldebestätigung, dem Kontoauszug oder auf der Zahlungsaufforderung.","Le numéro de contribution à la redevance composé de 9 chiffres (auparavant numéro de participant ou de membre) se trouve sur la confirmation d'inscription, le relevé de compte ou sur l'avis de paiement."
Anmeldung zu,Déclaration du*
Monat,Mois
Jahr,Année
Geburtsdatum,Date de naissance
Tag,Jour
Familienstand,État civil
Bitte auswählen,Choisissez S.V.P.
ledig,célibataire
verheiratet,marié(e)
eingetragene Lebenspartnerschaft,pacsé(e)
geschieden,divorcé(e)
verwitwet,veuf/veuve
getrennt lebend,séparé(e)
Weiter,Suite
Korrigieren,Corriger
Antrag stellen,Poser la demande
Bitte beachten Sie auch unseren Datenschutzhinweis,Prenez s.v.p. connaissance de nos informations concernant la protection des données
