"Befreiung und Ermäßigung beantragen","Подать заявление на освобождение от уплаты и предоставлении льготы"
"Bei Anspruch auf eine Befreiung von der Rundfunkbeitragspflicht oder eine Ermäßigung des Rundfunkbeitrags füllen Sie bitte diesen Antrag aus. Das Online-Formular führt Sie Schritt für Schritt durch den Antrag. Eine zusätzliche Anmeldung ist nicht notwendig.","Если у вас есть право на освобождение от обязательного сбора на телерадиовещание или право на льготу при его уплате, заполните, пожалуйста, данное заявление. Онлайн формуляр поможет вам шаг за шагом заполнить заявление. Дополнительная регистрация не требуется."
"Um das Formular anzuzeigen, benötigen Sie einen PDF-Reader.","Для просмотра формуляра вам потребуется программа PDF."
"Antragsdaten auswählen","Выберите вид заявления"
"Persönliche Daten eingeben","Введите свои личные данные"
"Zusammenfassung prüfen","Проверьте итоговые данные"
"Antrag ausdrucken","Распечатайте заявление"
"Antragsdaten","Данные заявления"
"Persönliche Daten","Личные данные"
"Zusammenfassung","Итоговые данные"
"Drucken","Распечатать"
"Ich möchte befreit/ermäßigt werden, aus...","Я хочу получить освобождение от уплаты/льготу по..."
"sozialen Gründen.","социальным причинам."
"gesundheitlichen Gründen.","причинам, связанным с состоянием здоровья."
"angeklickt ""soziale Gründe"":","при нажатии на ""социальные причины"":"
"Ich möchte befreit werden, weil ich eine der folgenden Leistungen erhalte...","Я хочу получить освобождение от уплаты, поскольку я получаю одно из следующих пособий..."
"ALG II (Hartz IV)","ALG II (пособие по безработице, Hartz IV)"
"weiter ""Persönliche Daten""","далее ""личные данные"""
"""?"": ALG II (Hartz IV):","""?"": ALG II (пособие по безработице, Hartz IV):"
"Empfänger von **Sozialgeld oder Arbeitslosengeld II** einschließlich von Leistungen nach § 22 des Zweiten Buches des Sozialgesetzbuches","Получатели **Sozialgeld (социального пособия) или Arbeitslosengeld II (пособия по безработице)**, включая пособия в соответствии с §22 второго тома Социального кодекса (SGBII)"
"Grundsicherung","Grundsicherung (базовое материальное обеспечение)"
"""?"": Grundsicherung:","""?"": Grundsicherung (базовое материальное обеспечение):"
"Empfänger von **Grundsicherung im Alter und bei Erwerbsminderung** (Viertes Kapitel des Zwölften Buches des Sozialgesetzbuches)","Получатели **базового материального обспечения по старости и в связи с ограничением трудоспособности** (четвертая глава 12-го тома Социального кодекса, SGB XII)"
"BAföG","BAföG (стипендия-ссуда во время обучения в рамках Федерального закона о содействии образованию)"
"""?"": BAföG:","""?"": BAföG (стипендия-ссуда во время обучения в рамках Федерального закона о содействии образованию):"
"Empfänger von **Ausbildungsförderung** nach dem Bundesausbildungsförderungsgesetz, die **nicht** bei den Eltern wohnen","Получатели **стипендии-ссуды** в соответствии с Федеральный законом о содействии образованию, **не** проживающие с родителями"
"Berufsausbildungsbeihilfe (BAB)","Berufsausbildungsbeihilfe (BAB, пособие на содействие профобучению)"
"""?"": Berufsausbildungsbeihilfe (BAB):","""?"": Berufsausbildungsbeihilfe (BAB, пособие на содействие профобучению):"
"Empfänger von **Berufsausbildungsbeihilfe** nach den §§ 114, 115 Nr. 2 des Dritten Buches des Sozialgesetzbuches oder nach dem Dritten Kapitel, Dritter Abschnitt, Dritter Unterabschnitt des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen","Получатели **пособия на содействие профобучепнию** (BAB) в соответствии с §§ 114, 115 Nr. 2 третьего тома Социального кодекса (SGB III) или гл. 3, раздел 3, подраздел третьего тома Социального кодекса (SGB III), *не* проживающие с родителями"
"Sozialhilfe","Sozialhilfe (социальное пособие)"
"""?"": Sozialhilfe:","""?"": Sozialhilfe (социальное пособие):"
"Empfänger von **Hilfe zum Lebensunterhalt** nach dem Dritten Kapitel des Zwölften Buches des Sozialgesetzbuches (Sozialhilfe) oder nach den §§ 27a oder 27d des Bundesversorgungsgesetzes (BVG)","Получатели **пособия на средства к существованию** в соответствии с третьей главой 12-го тома Социального кодекса (SGB XII) (социальное пособие) или § 27a, 27d Закона об обеспечении жертв войны (BVG)"
"Ausbildungsgeld (SGB III)","Ausbildungsgeld (пособие на обучение для инвалидов, SGB III)"
"""?"": Ausbildungsgeld (SGB III):","""?"": Ausbildungsgeld (пособие на обучение для инвалидов, SGB III):"
"Empfänger von **Ausbildungsgeld** nach §§ 122 ff. des Dritten Buches des Sozialgesetzbuches, die **nicht** bei den Eltern wohnen.","Получатели **Ausbildungsgeld** пособия на обучение в соответствии с §§ 122 SGB III, не проживающие с родителями"
"Asylbewerberleistung","Asylbewerberleistung (пособие заявителям на предоставление убежища)"
"""?"": Asylbewerberleistung:","""?"": Asylbewerberleistung (пособие заявителям на предоставление убежища):"
"Empfänger von Leistungen nach dem **Asylbewerberleistungsgesetz** (AsylblG)","Получатели пособия в соответсвии с **Asylbewerberleistungsgesetz** (AsylblG, Закон о предоставлении социальной помощи лицам, претендующим на политическое убежище)"
"weitere Leistungen","другие пособия"
"Zurück","Назад"
"angeklickt ""BAföG"" oder ""Berufsausbildungsbeihilfe (BAB)"" oder ""Ausbildungsgeld (SGB III)"":","при нажатии на ""BAföG"" (стипендии-ссуды в соответствии с Федеральным законом о содействии образованию ) или ""Berufsausbildungsbeihilfe"" (BAB, пособие на содействие профобучению), или на ""Ausbildungsgeld"" (пособие на обучение для инвалидов, SGB III):"
"Ich wohne bei meinen Eltern?","Я проживаю со своими родителями"
"Ja","Да"
"Nein","Нет"
"angeklickt ""Ja"":","при нажатии ""Да"":"
"Empfänger von BAB können von der Rundfunkbeitragspflicht nur befreit werden, wenn sie nicht bei den Eltern wohnen. Weil Sie bei Ihren Eltern wohnen, kann die Antragsstellung hier nicht fortgesetzt werden.","Получатели пособия на профобучение (BAB) могут быть освобождены от обязательных взносов за телерадиовещание только в том случае, если они не проживают с родителями. Поскольку вы проживаете с родителями, подача заявления не может быть продолжена."
"Falls Sie bereits bei uns angemeldet sind, prüfen Sie bitte, ob ggf. eine Abmeldung für Sie in Frage kommt. Informationen finden Sie hier.","Если вы уже к нам обращались, убедитесь, пожалуйста, необходимо ли вам в этом случае снятие с учета. Информацию об этом вы найдете здесь."
"angeklickt ""Nein"":","при нажатии ""Нет"":"
"Abbrechen","Прервать"
"angeklickt ""weitere Leistungen"":","при нажатии ""другие пособия"":"
"Hilfe zur Pflege (SGB XII oder BVG)","Hilfe zur Pflege (Пособие по уходу, SGB XII или BVG)"
"""?"": Hilfe zur Pflege (SGB XII oder BVG):","""?"": Hilfe zur Pflege (Пособие по уходу, SGB XII или BVG):"
"Empfänger von **Hilfe zur Pflege** nach dem Siebten Kapitel des Zwölften Buches des Sozialgesetzbuches oder von **Hilfe zur Pflege als Leistung der Kriegsopferfürsorge** nach dem Bundesversorgungsgesetz (BVG) oder von **Pflegegeld nach den landesgesetzlichen Vorschriften**","Получатели **Hilfe zur Pflege** пособия по уходу в соответствии с гл. 7 SGB XII или **Hilfe zur Pflege als Leistung der Kriegsopferfürsorge** пособия по уходу в качестве обеспечения пострадавшего на войне в соответствии с BVG или **Pflegegeld nach landesgesetzlichen Vorschriften** пособия по уходу за больным в соотв. с законодательством федеральных земель."
"Pflegezulagen nach LAG","Надбавка по уходу в соотв. с LAG"
"""?"": Pflegezulagen nach LAG:","""?"": Надбавка по уходу в соотв. с LAG:"
"Empfänger von **Pflegezulagen** nach § 267 Abs. 1 des Lastenausgleichsgesetzes (LAG) oder Personen, denen wegen Pflegebedürftigkeit nach § 267 Abs. 2 Satz 1 Nr. 2 Buchstabe c LAG ein Freibetrag zuerkannt wird","Получатели **надбавки по уходу** в соотв. с § 267 абз. 1 Закона о компенсации затрат (LAG) или лица, которым положен вычет в связи с потребностью в уходе в соотв. с § 267 абз. 2 пр. 1 № 2 лит. c LAG"
"nach SGB VIII (Kinder- und Jugendhilfe)","В соответствии с SGB VIII (помощь детям и подросткам)"
"""?"": nach SGB VIII (Kinder- und Jugendhilfe):","""?"": В соответствии с SGB VIII (помощь детям и подросткам):"
"**Volljährige**, die im Rahmen einer Leistungsgewährung nach dem Achten Buch des Sozialgesetzbuches (SGB VIII) **in einer stationären Einrichtung** nach § 45 SGB VIII **leben**","**Совершеннолетние** лица, которые в рамках предоставления пособия в соответствии с SGB VIII **проживают** **в стационарном учреждении** в соотв. с § 45 SGB VIII."
"Blindenhilfe (SGB XII)","Blindenhilfe (Пособие слепым, SGB XII)"
"""?"": Blindenhilfe (SGB XII):","""?"": Blindenhilfe (Пособие слепым, SGB XII):"
