"Anlage 2 - Ausländer -","نموذج رقم 2 الاجانب"
"Name, Vorname","اسم العائلة، الاسم الأول"
"Geschäftszeichen","رقم الاضبارة"
"Zum Antrag vom","طلب من"
"Pass-Nr.:","رقم جواز السفر"
"ausgestellt am","صادر بتاريخ"
"gültig bis","صالح لغاية"
"von (Dienststelle)","صادر عن ( الجهة التي اصدرت جواز السفر)"
"Passeinzugsbescheinigung","شهادة اثبات الشخصية"
"Grenzübertrittsbescheinigung","شهادة عبور الحدود"
"mit Ausreisefrist bis zum","مع موعد الرحيل النهائي حتى"
"Aufenthaltsdokumente","وثائق الإقامة"
"Niederlassungserlaubnis","تصريح الاستيطان"
"\- unbefristet -","غير محدودة \-"
"Visum auf Einladung von","تأشيرة بناء على دعوة من"
"befristet bis","محدود حتى"
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","الإقامة بسبب الحرب في بلادهم وفقا للمادة 23 الفقرة 1 أو الفقرة 24 أو الفقرة 25 الفقرة 4 الجملة 1، الفقرة 4 (أ)، 4 ب أو Abs.5 الإقامة"
"Andere Aufenthaltserlaubnis i.S. des AufenthG","إقامة اخرى I.S. الإقامة"
"Aufenthaltsgestattung zur Durchführung eines Asylverfahrens","اذن الاقامة لغاية دراسة طلب اللجوء"
"Aussetzung der Abschiebung (Duldung)","تعليق الترحيل (Duldung)"
"Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“","وثيقة تمييز "" الترحيل غير وارد"""
"Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“","وثيقة تمييز ""تعتبر الإقامة مسموح بها "" أو ""لا يزال تصريح الإقامة ساري المفعول """
"nicht erhalten","لم يستلمه"
"Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift)","قدمت دعوى قضائية بتاريخ ...؛ المحامي الموكل (الاسم والعنوان)"
"Vorlage einer Verpflichtungserklärung","تعهد"
"Nein","لا"
"Ja","نعم"
"Name","الاسم"
"Anschrift","العنوان"
"Zeitraum","خلال الفترة"
"Ausübung einer Erwerbstätigkeit","أغراض التوظيف"
"nicht erlaubt","غير مسموح"
"erlaubt","مسموح"
"unbefristet","غير محدود"
"von (Bundesagentur) für Arbeit","من (مديرية اتحادية) للعمل"
"Asyl","اللجوء السياسي"
"nicht beantragt","لم يقدم"
"beantragt","قدم"
"am","بتاريخ"
"abgelehnt am","رفض بتاريخ"
"Folgeantrag","طلب لاحق"
"Zweitantrag","طلب ثاني"
"Klage eingereicht","رفعت دعوى قضائية"
"bevollmächtigter Rechtsanwalt (Name und Anschrift)","المحامي الموكل (الاسم والعنوان)"
"Einreise","دخول"
"Zeitpunkt der letzten Einreise in die BRD","تاريخ آخر دخول الى المانيا الاتحادية"
"Datum","التاريخ"
"frühere Aufenthalte in der BRD","اقامة سابقة في المانيا الاتحادية"
"letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land)","آخر إقامة اعتيادية في الخارج (المدينة / البلد)"
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","أسباب الإقامة الحالية. ربما أسباب لماذا لا أستطيع العودة إلى بلدي:"
"Datum und Unterschrift d. Antragstellers/Antragstellerin","التاريخ والتوقيع مقدم الطلب /مقدمة الطلب"
