"Name, Vorname","Name, Vorname"
"Geschäftszeichen","Geschäftszeichen"
"Zum Antrag vom","Wann haben Sie den Antrag auf Sozialhilfe/auf Geld für Asylbewerber gestellt?"
"Pass-Nr.:","Passnummer"
"ausgestellt am","Wann wurde Ihr Pass gemacht?"
"gültig bis","Bis wann ist Ihr Pass gültig?"
"von (Dienststelle)","Wer hat Ihren Pass gemacht?"
"Passeinzugsbescheinigung","Hat jemand (zum Beispiel die Polizei) Ihren Pass behalten? Dann legen Sie das Papier dazu bei"
"Grenzübertrittsbescheinigung","Haben Sie ein Papier (""Grenzübertrittsbescheinigung""), das sagt, wann und wo Sie nach Deutschland eingereist sind?"
"mit Ausreisefrist bis zum","Bis zu welchem Tag müssen Sie aus Deutschland ausreisen?"
"Aufenthaltsdokumente","Dokumente für den Aufenthalt in Deutschland (kreuzen Sie an, was Sie haben)"
"Niederlassungserlaubnis","Niederlassungserlaubnis"
"\- unbefristet -","für immer"
"Visum auf Einladung von","Visum auf Einladung von..."
"befristet bis","Wie lange erlaubt?"
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","Aufenthaltserlaubnis wegen des Krieges im Ihrem Heimatland"
"Andere Aufenthaltserlaubnis i.S. des AufenthG","Andere Aufenthaltserlaubnis nach dem Aufenthaltsgesetz"
"Aufenthaltsgestattung zur Durchführung eines Asylverfahrens","Aufenthaltsgestattung während das Asylverfahren läuft"
"Aussetzung der Abschiebung (Duldung)","Duldung (Sie werden aus bestimmten Gründen nicht abgeschoben)"
"Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“","Fiktionsbescheinigung (Sie dürfen eine Zeit lang in Deutschland bleiben) „gilt Abschiebung als ausgesetzt“"
"Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“","Fiktionsbescheinigung (Sie dürfen eine Zeit lang in Deutschland bleiben) „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“"
"nicht erhalten","nicht bekommen"
"Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift)","Sie haben eine Klage eingereicht am... (nennen Sie den Namen Ihres Rechtsanwaltes/Ihrer Rechtsanwältin)"
"Vorlage einer Verpflichtungserklärung","Legen Sie eine Verpflichtungserklärung vor?"
"Nein","nein"
"Ja","ja"
"Name","Name"
"Anschrift","Adresse"
"Zeitraum","Zeitraum"
"Ausübung einer Erwerbstätigkeit","Arbeiten Sie?"
"nicht erlaubt","Das ist Ihnen nicht erlaubt"
"erlaubt","Das ist Ihnen erlaubt"
"unbefristet","für immer"
"von (Bundesagentur) für Arbeit","von (Bundesagentur) für Arbeit (Arbeitsamt)"
"Asyl","Asyl"
"nicht beantragt","Sie haben Asyl nicht beantragt"
"beantragt","Sie haben Asyl beantragt"
"am","am"
"abgelehnt am","abgelehnt am"
"Folgeantrag","Sie haben einen Folgeantrag gestellt"
"Zweitantrag","Sie haben einen Zweitantrag gestellt"
"Klage eingereicht","Sie haben Klage eingereicht"
"bevollmächtigter Rechtsanwalt (Name und Anschrift)","Name und Adresse Ihres Anwaltes/Ihrer Anwältin"
"Einreise","Einreise"
"Zeitpunkt der letzten Einreise in die BRD","Wann sind sie das letzte Mal nach Deutschland eingereist?"
"Datum","Datum"
"frühere Aufenthalte in der BRD","Wann waren Sie früher schon mal in Deutschland?"
"letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land)","Wo war Ihr letzer Wohnort im Ausland (Ort/Land)?"
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","Warum sind Sie jetzt in Deutschland? Nennen sie Gründe, warum Sie nicht in Ihr Heimatland zurückkehren können"
"Datum und Unterschrift d. Antragstellers/Antragstellerin","Datum und Unterschrift von Ihnen"
