Anlage 2 - Ausländer -,Anlage 2 - Ausländer -
"Name, Vorname","Name, Vorname"
Geschäftszeichen,Geschäftszeichen
Zum Antrag vom,Zum Antrag vom
Pass-Nr.:,Pass-Nr.:
ausgestellt am,ausgestellt am
gültig bis,gültig bis
von (Dienststelle),von (Dienststelle)
Passeinzugsbescheinigung,Passeinzugsbescheinigung
Grenzübertrittsbescheinigung,Grenzübertrittsbescheinigung
mit Ausreisefrist bis zum,mit Ausreisefrist bis zum
Aufenthaltsdokumente,Aufenthaltsdokumente
Niederlassungserlaubnis,Niederlassungserlaubnis
\- unbefristet -,\- unbefristet -
Visum auf Einladung von,Visum auf Einladung von
befristet bis,befristet bis
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG"
Andere Aufenthaltserlaubnis i.S. des AufenthG,Andere Aufenthaltserlaubnis i.S. des AufenthG
Aufenthaltsgestattung zur Durchführung eines Asylverfahrens,Aufenthaltsgestattung zur Durchführung eines Asylverfahrens
Aussetzung der Abschiebung (Duldung),Aussetzung der Abschiebung (Duldung)
Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“,Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“
Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“,Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“
nicht erhalten,nicht erhalten
Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift),Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift)
Vorlage einer Verpflichtungserklärung,Vorlage einer Verpflichtungserklärung
Nein,Nein
Ja,Ja
Name,Name
Anschrift,Anschrift
Zeitraum,Zeitraum
Ausübung einer Erwerbstätigkeit,Ausübung einer Erwerbstätigkeit
nicht erlaubt,nicht erlaubt
erlaubt,erlaubt
unbefristet,unbefristet
von (Bundesagentur) für Arbeit,von (Bundesagentur) für Arbeit
Asyl,Asyl
nicht beantragt,nicht beantragt
beantragt,beantragt
am,am
abgelehnt am,abgelehnt am
Folgeantrag,Folgeantrag
Zweitantrag,Zweitantrag
Klage eingereicht,Klage eingereicht
bevollmächtigter Rechtsanwalt (Name und Anschrift),bevollmächtigter Rechtsanwalt (Name und Anschrift)
Einreise,Einreise
Zeitpunkt der letzten Einreise in die BRD,Zeitpunkt der letzten Einreise in die BRD
Datum,Datum
frühere Aufenthalte in der BRD,frühere Aufenthalte in der BRD
letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land),letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land)
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:"
Datum und Unterschrift d. Antragstellers/Antragstellerin,Datum und Unterschrift d. Antragstellers/Antragstellerin
