"Anlage 2 - Ausländer -","ضمیمه ۲ ـ خارجیها"
"Name, Vorname","نام ٫نام خانوادگی"
"Geschäftszeichen","شماره پیگیری"
"Zum Antrag vom","موضوع درخواست"
"Pass-Nr.:","شماره گذرنامه :"
"ausgestellt am","تاریخ صدور:"
"gültig bis","تاریخ انقضاء"
"von (Dienststelle)","ارگان صادرکننده"
"Passeinzugsbescheinigung","گواهی توقیف پاسپورت"
"Grenzübertrittsbescheinigung","گواهی برای ترک آلمان"
"mit Ausreisefrist bis zum","حداکثر تا تاریخ..."
"Aufenthaltsdokumente","مدارک اقامتی"
"Niederlassungserlaubnis","مجوز اقامت"
"\- unbefristet -","- اقامت نامحدود -"
"Visum auf Einladung von","دارنده ویزای مدعو از"
"befristet bis","به مدت محدود تا تاریخ ..."
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","مجوز اقامت به دلیل شرایط جنگی در وطن متقاضی ٫مطابق پاراگراف ۲۳ بند ۱ از قانون اساسی آلمان یا پاراگراف ۲۴ یا پاراگراف ۲۵ بند ۴ خط ٫۱بند ۴آ۴٫ب یا بند ۵ از قانون اقامت آلمان"
"Andere Aufenthaltserlaubnis i.S. des AufenthG","مجوز اقامت به دلایل دیگرطبق قانون اساسی آلمان"
"Aufenthaltsgestattung zur Durchführung eines Asylverfahrens","مجوز اقامت برای بررسی درخواست پناهندگی"
"Aussetzung der Abschiebung (Duldung)","تعلیق اخراج متقاضی ازآلمان"
"Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“","مجوز اقامت موقت با درج عبارت ٍ اخراج متقاضی منتفی است ً"
"Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“","مجوز اقامت موقت با درج عبارت ٍ متقاضی اجازه اقامت دارد ً یا ٍ اجازه اقامت متقاضی تمدید شده است ً"
"nicht erhalten","دریافت نشده است"
"Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift)","شکواییه در تاریخ .... تسلیم شده است؛ وکیل دارای وکالت تام (نام و آدرس)"
"Vorlage einer Verpflichtungserklärung","ارائه ضمانتنامه مالی برای شهروندی ازجهان سوم"
"Nein","بله"
"Ja","خیر"
"Name","نام و نام خانوادگی"
"Anschrift","آدرس"
"Zeitraum","مدت اقامت"
"Ausübung einer Erwerbstätigkeit","اجازه کار و فعالیت"
"nicht erlaubt","ندارد"
"erlaubt","دارد"
"unbefristet","به مدت نامحدود"
"von (Bundesagentur) für Arbeit","اجازه از سوی اداره کار صادر شده"
"Asyl","پناهندگی"
"nicht beantragt","درخواست نشده"
"beantragt","درخواست شده"
"am","تاریخ درخواست"
"abgelehnt am","تاریخ رد درخواست"
"Folgeantrag","ادامه ی درخواست"
"Zweitantrag","درخواست مجدد"
"Klage eingereicht","شکواییه تسلیم شده"
"bevollmächtigter Rechtsanwalt (Name und Anschrift)","وکیل دارای اختیار تام (نام و آدرس)"
"Einreise","ورود به آلمان"
"Zeitpunkt der letzten Einreise in die BRD","زمان آخرین ورود به آلمان"
"Datum","تاریخ آن"
"frühere Aufenthalte in der BRD","اقامتهای قبلی در آلمان"
"letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land)","آخرین اقامت بلندمدت درخارج ازکشور(شهر،کشور)"
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","دلایل اقامت فعلی، به ویژه دلایلی که امکان بازگشت به وطن خود را ندارید"
"Datum und Unterschrift d. Antragstellers/Antragstellerin","تاریخ و امضاء درخواست کننده"
