Anlage 2 - Ausländer -,приложение 2 - иностранцы
"Name, Vorname","фамилия, имя"
Geschäftszeichen,номер документа
Zum Antrag vom,к заявлению какого числа
Pass-Nr.:,номер паспорта
ausgestellt am,дата выдачи
gültig bis,действителен до
von (Dienststelle),выдан кем?
Passeinzugsbescheinigung,свидетельство изъятия паспорта
Grenzübertrittsbescheinigung,свидетельство перехода границы
mit Ausreisefrist bis zum,со сроком выезда до
Aufenthaltsdokumente,документы пребывания
Niederlassungserlaubnis,разрешение на проживание
\- unbefristet -,\- бессрочное -
Visum auf Einladung von,виза по приглашению кого-то?
befristet bis,с ограниченным сроком до
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","разрешение на проживание по причине войны на родине в соответствии с § 23 абзац 1 или § 24 или § 25 абзац 1 предложение 1, абзац 4а, абзац 4б или абзац 5 AufenthG [закона о праве на проживание]"
Andere Aufenthaltserlaubnis i.S. des AufenthG,другое разрешение на проживание в соответствии с законом о праве на проживание
Aufenthaltsgestattung zur Durchführung eines Asylverfahrens,"позволение на проживание, чтобы произвести процесс получения статуса беженца"
Aussetzung der Abschiebung (Duldung),отсрочка высылки (свидетельство об отсрочке высылки)
Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“,"фиктивное разрешение на пребывание в стране ""высылка считается отложенной"""
Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“,"фиктивное разрешение на пребывание в стране ""пребывание считается разрешенным"" или ""разрешение на временное проживание считается продолжающимся"""
nicht erhalten,не полученный
Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift),"дата подачи иска; поверенный адвокат (фамилия, имя, адрес)"
Vorlage einer Verpflichtungserklärung,предъявление письменного обязательства
Nein,нет
Ja,да
Name,"фамилия, имя"
Anschrift,адрес
Zeitraum,период
Ausübung einer Erwerbstätigkeit,осуществление трудовой деятельности
nicht erlaubt,не разрешено
erlaubt,разрешено
unbefristet,бессрочно
von (Bundesagentur) für Arbeit,(агенством) занятости
Asyl,убежице
nicht beantragt,не заявлено
beantragt,заявлено
am,когда? (точная дата)
abgelehnt am,отклонен какого числа
Folgeantrag,следящее заявление
Zweitantrag,второе заявление
Klage eingereicht,иск подан
bevollmächtigter Rechtsanwalt (Name und Anschrift),"поверенный адвокат (фамилия, имя, адрес)"
Einreise,въезд
Zeitpunkt der letzten Einreise in die BRD,дата последного въезда в ФРГ
Datum,дата
frühere Aufenthalte in der BRD,прежние пребывания в ФРГ
letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land),последнее обычное пребывание в зарубежных странах (место/страна)
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","причины для настоящего пребывания; по возможности причины, почему я не могу вернуться в мою родную страну"
Datum und Unterschrift d. Antragstellers/Antragstellerin,дата и подпись заявителя
