"Anlage 2 - Ausländer -","Ek 2 - Yabancılar"
"Name, Vorname","Adı, soyadı"
"Geschäftszeichen","Dosya numarası"
"Zum Antrag vom","Ait olduğu dilekçe"
"Pass-Nr.:","Pasaport no."
"ausgestellt am","verildiği tarih"
"gültig bis","geçerlilik süresi"
"von (Dienststelle)","(Daire) tarafından"
"Passeinzugsbescheinigung","Pasaporta el koyma belgesi"
"Grenzübertrittsbescheinigung","Ülkeyi terk etme belgesi"
"mit Ausreisefrist bis zum","Yurt dışına çıkma zorunluluğu bulunan süre"
"Aufenthaltsdokumente","Oturum izni belgesi"
"Niederlassungserlaubnis","Yerleşme izni"
"\- unbefristet -","\- süresiz -"
"Visum auf Einladung von","Davet üzerine vize"
"befristet bis","geçerlilik süresi"
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","AufenthG yasasının 23. maddesinin 1. paragrafı veya 24. maddesi ve 25. maddesinin 4. paragrafının 1. fıkrası, 4a, 4b veya 5. maddeleri gereğince kendi ülkesinde savaş olması nedeniyle verilen oturma izni"
"Andere Aufenthaltserlaubnis i.S. des AufenthG","AufenthG yasasına göre diğer oturma izinleri"
"Aufenthaltsgestattung zur Durchführung eines Asylverfahrens","İltica işlemi yapılabilmesi için oturma onayı"
"Aussetzung der Abschiebung (Duldung)","Sınır dışı edilme kararının durdurulması (müsahama)"
"Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“","Geçici oturum “sınır dışı edilme kararının durdurulduğu anlamına gelir”"
"Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“","Geçici oturum “oturuma izin verildiği” veya “oturum izninin devam ettiği anlamına gelir”"
"nicht erhalten","alınmadı"
"Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift)","... tarihinde dava açıldı ;yetkili avukat (adı ve adresi)"
"Vorlage einer Verpflichtungserklärung","Sorumluluk beyanının ibrazı"
"Nein","Hayır"
"Ja","Evet"
"Name","Adı, soyadı"
"Anschrift","Adresi"
"Zeitraum","Süre"
"Ausübung einer Erwerbstätigkeit","Çalışabilirlik durumu"
"nicht erlaubt","çalışamaz"
"erlaubt","çalışabilir"
"unbefristet","süresiz"
"von (Bundesagentur) für Arbeit","çalışma ajansından"
"Asyl","İltica"
"nicht beantragt","başvuruda bulunmadı"
"beantragt","başvuruda bulundu"
"am","tarih"
"abgelehnt am","ret edildi"
"Folgeantrag","başvurunun devamı"
"Zweitantrag","ikinci başvuru"
"Klage eingereicht","dava açıldı"
"bevollmächtigter Rechtsanwalt (Name und Anschrift)","yetkili avukat (adı ve adresi)"
"Einreise","Ülkeye giriş"
"Zeitpunkt der letzten Einreise in die BRD","FAC’ye yapılan son girişin tarihi"
"Datum","Tarih"
"frühere Aufenthalte in der BRD","FAC’de daha önce kalınan süreler"
"letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land)","Yurt dışında normal olarak en son bulunduğum (yer/ülke)"
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","Şu anda neden burada bulunduğum; veya kendi ülkeme dönemememin nedenleri:"
"Datum und Unterschrift d. Antragstellers/Antragstellerin","Dilekçe sahibinin imzası ve tarih"
