Bezirksamt,اسم البلدية
Charlottenburg-Wilmersdorf von Berlin,شارلوتينبورغ-فيلمرسدورف برلين
Friedrichshain-Kreuzberg von Berlin,فريدريشسهاين-كرويتزبرغ برلين
Lichtenberg von Berlin,ليشتنبرغ برلين
Marzahn-Hellersdorf von Berlin,مارتزان-هيلرسدورف برلين
Mitte von Berlin,ميته برلين
Neukölln von Berlin,نوي كولن برلين
Pankow von Berlin,بانكو برلين
Reinickendorf von Berlin,راينيكيندورف برلين
Spandau von Berlin,شبانداو برلين
Steglitz-Zehlendorf von Berlin,شتيغليتز برلين
Tempelhof-Schöneberg von Berlin,تيمبيلهوف-شونيبيرغ برلين
Treptow-Köpenick von Berlin,تريبتو-كوبينيغ برلين
Geschäftsbereich,الأعمال
Sozialwesen,الشؤون الاجتماعية
Landesamt für Gesundheit und Soziales Berlin - ZLA -,المكتب الإتحادي للشؤون الصحية و الاجتماعية برلين - ZLA -
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,إن الإجابة على جميع الأسئلة ضروري من أجل معالجة طلبكم. لمعرفة المرجع القانوني لجمع البيانات يرجى الإطلاع على النشرة المرفقة.
Antrag auf,طلب من أجل
Sozialhilfe nach SGB XII,المساعدة الاجتماعية حسب SGB XII
Leistungen nach AsylbLG,الدعم و المساعدة حسب AsylbLG
Zutreffendes bitte ankreuzen und ausfüllen,يرجى وضع علامة وملئ المعلومات المناسبة
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","إذا كانت المساحة المحددة في الإستمارة غير كافية، يرجى إكمال التفاصيل

- في القسم XI من الإستمارة

- أو في ورقة منفصلة"
Art der Hilfe,نوع المساعدة
innerhalb einer Einrichtung,ضمن منشأة أو مرفق
außerhalb einer Einrichtung,خارج منشأة أو مرفق
Antragsteller/in (Personenziffer 1),مقدم/ة الطلب ( رقم الشخص 1)
Ehegatte/Lebenspartner/in (Personenziffer 2),الزوج أو الشريك ( رقم الشخص 2)
"Name, ggf. Geburtsname, Vorname",الاسم و الكنية
Geburtsdatum,تاريخ الولادة
Geburtsort/Kreis/Land,مكان الولادة/المدينة
männl.,ذكر
weibl.,أنثى
nicht im gemeinsamen Haushalt,ليس في نفس المنزل
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,لا يوجد أي معلومات إضافية في هذه الصفحة.من فضلكم تعبئة الملحق 1 الحرف A
im gemeinsamen Haushalt,شريك سكن دائم
minderjährig,الأطفال تحت السن القانوني
Bitte Anlage 1 Buchstabe B ausfüllen,من فضلكم تعبئة الملحق 1 الحرف B
Familienstand,الحالة العائلية
ledig,أعذب
eheähnliche Gemeinschaft,شريك تعايش
eingetragene Lebenspartnerschaft,شريك حياة مسجل
verheiratet,متزوج
