"Bezirksamt","In welchem Bezirk wohnen Sie?"
"Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.","Sie müssen alle Fragen beantworten, damit wir Ihren Antrag bearbeiten können. Am Ende des Antrags gibt es noch ein Merkblatt. Dort steht, warum wir Sie nach Ihren Daten fragen dürfen."
"Antrag auf","Was beantragen Sie?"
"Sozialhilfe nach SGB XII","Sozialhilfe"
"Leistungen nach AsylbLG","Leistungen für Asylbewerber"
"Zutreffendes bitte ankreuzen und ausfüllen","Bitte kreuzen Sie die passenden Kästchen an und füllen Sie die Felder aus."
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","Wenn sie mehr Platz brauchen, können Sie entweder unten auf dem Antrag unter der Nummer XI weiter schreiben. Oder Sie legen einen zusätzliches Blatt zum Antrag."
"Art der Hilfe","Wo wollen Sie Hilfe bekommen?"
"innerhalb einer Einrichtung","in einer Einrichtung (Wohnen Sie zum Beispiel gerade in einem Heim?)"
"außerhalb einer Einrichtung","außerhalb einer Einrichtung"
"Antragsteller/in (Personenziffer 1)","Person, die den Antrag stellt (Sie selbst) (Person Nummer 1)"
"Ehegatte/Lebenspartner/in (Personenziffer 2)","Ehegatte oder Ehegattin/Lebenspartner oder Lebenspartnerin (Person Nummer 2)"
"Name, ggf. Geburtsname, Vorname","Name, Vorname. Wenn sich der Name geändert hat, schreiben Sie auch den Geburtsnamen dazu."
"Geburtsdatum","Geburtsdatum (Wann ist die Person geboren?)"
"Geburtsort/Kreis/Land","Geburtsort (Wo sind Sie geboren?), Kreis, Land"
"männl.","männlich"
"weibl.","weiblich"
"nicht im gemeinsamen Haushalt","Sie leben nicht in einer gemeinsamen Wohnung"
"keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen","Wenn Sie nicht in einer gemeinsamen Wohnung leben, müssen Sie auf dieser Seite nichts mehr ausfüllen. Bitte füllen SIe nur auf dem Formular ""Anlage 1"" den Buchstaben A aus"
"im gemeinsamen Haushalt","Sie leben in einer gemeinsamen Wohnung"
"minderjährig","ledig (nicht verheiratet, nicht geschieden)"
"Bitte Anlage 1 Buchstabe B ausfüllen","Wenn Sie jünger als 18 Jahre sind, füllen Sie bitte auf dem Formular ""Anlage A"" den Buchstaben B aus"
"Familienstand","Familienstand"
"ledig","ledig (Die Person ist nicht verheiratet und nicht geschieden)"
"eheähnliche Gemeinschaft","Sie leben mit einem festen Partner/einer festen Partnerin zusammen"
"eingetragene Lebenspartnerschaft","Sie leben in einer eingetragenen Lebenspartnerschaft"
"verheiratet","verheiratet"
"dauernd getrennt lebend","Sie sind verheiratet, aber Sie leben nicht zusammen"
"geschieden","geschieden"
"verwitwet","verwitwet (Ihr Partner/Ihre Partnerin ist gestorben)"
"Seit","Seit"
"bitte Anlage 1 Buchstabe A ausfüllen","Bitte füllen Sie das Formular ""Anlage 1"" Buchstabe A aus."
"Staatsangehörigkeit","Staatsangehörigkeit (Von welchem Land hat die Person einen Pass?)"
"deutsch","deutsch"
"bitte Anlage 2 ausfüllen","Bitte füllen Sie das Formular ""Anlage 2"" aus"
"Personaldokument bitte vorlegen","Bitte zeigen Sie Ihren Ausweis oder Ihren Reisepass vor"
"ausgestellt von (Dienststelle)","Wer hat Ihnen den Ausweis gemacht (Name einer Behörde)"
"gültig bis","gültig bis"
"bisher keine Leistungen erhalten","noch keine Leistungen bekommen"
"bereits Leistungen erhalten","schon Leistungen bekommen"
"bis","bis"
"von (Dienststelle)","von welchem Amt?"
"Geschäftszeichen","Geschäftszeichen"
"es besteht eine Betreuung nach dem Betreuungsgesetz","Sie werden betreut"
"es besteht Beistandschaft","Sie haben einen offiziellen Beistand (Das ist bei Menschen unter 18 Jahren eine Person, die nicht Vater oder Mutter ist)"
"bitte Bestallung beifügen","Wenn es eine Betreuung oder einen Beistand gibt, bitte die Dokument dazu einreichen"
"Heimatvertriebene/r (Aussiedler/in) - Ausweis A -","Heimatvertriebene/r (Aussiedler/in) - Ausweis A -"
"Vertriebene/r (Aussiedler/in) - Ausweis B -","Vertriebene/r (Aussiedler/in) - Ausweis B -"
"Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes","Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes"
"Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes","Partner, Kind oder Enkelkind eines Spätaussiedlers/einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes"
"Sowjetzonenflüchtling - Ausweis C -","Flüchtling aus der Sowjetzone - Ausweis C -"
"ausgestellt am","Von wann ist der Ausweis?"
"Schwerbehindertenausweis (Kopie des Ausweises beifügen)","Sind Sie schwerbehindert? (Bitte reichen Sie eine Kopie des Ausweises ein)"
"Merkzeichen (G, aG)","Merkzeichen (G, aG)"
"Antrag gestellt?","Haben Sie einen Antrag gestellt?"
"Ja","ja"
"Nein","nein"
"Sozialversicherung","Sozialversicherung"
"keine (Begründung auf Seite 4 -XI-)","keine (wenn Sie keine Sozialversicherung haben, schreiben Sie den Grund dafür auf Seite 4 unter Nummer XI)"
"Rentenversicherung","Rentenversicherung"
"Pflegeversicherung","Pflegeversicherung"
"Krankenversichert bei","Krankenversichert bei (Nennen Sie den Namen der Versicherung)"
"Rentenversichert bei","Rentenversichert bei (Nennen Sie den Namen der Versicherung)"
"Rentenversicherungsnummer","Rentenversicherungsnummer"
"Krankenversicherung:","Krankenversicherung (Art der Versicherung):"
"Pflichtversicherung","Pflichtversicherung"
"Freiwillige Versicherung","Freiwillige Versicherung"
"Familienversicherung *","Familienversicherung *"
"Private Versicherung","Private Versicherung"
"Betreuung der Krankenkassen nach § 264 SGB V","Betreuung der Krankenkassen nach § 264 SGB V"
"Umfang bzw. Ausschluss der Erwerbsfähigkeit","Können Sie arbeiten und wenn ja, wie viel?"
"Personenziffer 1","Person Nummer 1"
"Personenziffer 2","Person Nummer 2"
"Sind Sie zurzeit erwerbstätig?","Arbeiten Sie im Moment?"
"Tätigkeit:","Art der Arbeit"
"Arbeitgeber:","Bei wem arbeiten Sie?"
"Umfang der Erwerbsfähigkeit","Wie viel können Sie arbeiten?"
"Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?","Was meinen Sie: Können Sie **mindestens drei Stunden am Tag** arbeiten?"
"Nein, weil","Nein, weil..."
"Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?","Was meinen Sie: Kann diese Person **mindestens drei Stunden am Tag** arbeiten?"
"Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente)","Gibt es ein Gutachten, das sagt, dass Sie nicht arbeiten können. Haben Sie ein solches Gutachten? Man spricht dann auch von ""EU-Rente"" oder ""Erwerbsunfähigkeitsrente""."
"unbefristet:","Gilt es für immer?"
"für welchen Zeitraum?","Für wie lange gilt es?"
"Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?","Brauchen Sie Pflege? Im Gesetz für die Pflegeversicherung steht, welche Menschen Pflege bekommen."
"Stufe:","Welche Stufe haben Sie?"
"Auszubildender/Student - auch in Schulausbildung -","Auszubildender, Student oder Schüler"
"Ja, in Ausbildung / Studium als","Ja, Sie machen eine Ausbildung zu/ein Studium als"
"Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule","Name und Adresse Ihres Arbeitgebers (Wo arbeiten Sie?) oder Ihrer Schule"
"Unterbringung in einer stationären Einrichtung","Wohnen Sie in einer ""stationären Einrichtung""? Das heißt zum Beispiel in einem Krankenhaus, in einer Rehabilitationsklinik oder in einem Pflegeheim."
"Ja, Zuweisung","Ja, Sie wohnen in einer Einrichtung"
"vom","vom"
"Wenn Ja: Bitte legen Sie entsprechende Unterlagen vor.","Wenn ja, reichen sie bitte eine Bescheinigung ein."
"\* **Wichtige Hinweise:** Wenn Sie oder Ihr Partner/Ihre Partnerin **das 23. Lebensjahr noch nicht vollendet haben**, können Sie oder Ihr Partner/Ihre Partnerin bei einem Elternteil **familienversichert** werden. Wenn Sie oder Ihr Partner/Ihre Partnerin von Ihrem Ehegatten/eingetragenen Lebenspartner **getrennt** leben, ist zu prüfen, ob Sie dennoch über diesen **familienversichert** werden können.","\* **Wichtige Hinweise**: Sind Sie oder Ihr Partner **noch nicht 23 Jahre alt**? Dann können Sie oder Ihr Partner über Ihren Vater oder Ihre Mutter versichert werden. Das heißt **""familienversichert""**. Leben Sie oder Ihr Partner von Ihrem Ehegatten/Lebenspartnern **getrennt**? Manchmal können Sie trotzdem über Ihren Lebenspartner **familienversichert** werden. Das prüft das mt."
"Haben Sie Leistungen nach dem SGB II beantragt?","Haben Sie einen Antrag auf ""Hartz 4"" (SGB II) gestellt?"
"Nachweis bzw. Bewilligungs- oder Ablehnungsbescheid vorlegen","Wenn ja, reichen Sie bitte den Antrag ein. Oder die Antwort vom Amt darüber, ob sie Leistungen bekommen oder nicht."
"Kunden-Nr. der Agentur für Arbeit (falls vorhanden)","Hat die Person eine Kundennummer bei der Agentur für Arbeit (Arbeitsamt)? Dann nennen Sie sie bitte"
"**\- Nicht vom Antragsteller ausfüllen/Vermerk der Behörde**","**Hier dürfen Sie nichts schreiben. Hier schreibt die Behörde**"
"Mögliche Ausschlussgründe für die Hilfe zum Lebensunterhalt","Gibt es Gründe, warum die Person keine Unterstützung bekommen soll?"
"Bankverbindung","Bankverbindung"
"Geldinstitut","Bei welcher Bank ist Ihr Konto? (zum Beispiel Sparkasse Berlin, Deutsche Bank)"
"Bankleitzahl","Bankleitzahl"
"Kontonummer","Kontonummer"
"Kontoinhaber/in","Kontoinhaber/in"
"IBAN","IBAN (Die Nummer finden Sie auf Ihrer EC-Karte)"
"BIC","BIC (Die Nummer finden Sie auf Ihrer EC-Karte)"
"Aufenthalt","Wo wohnen Sie?"
"Anschrift","Adresse dieser Person"
"Lage der Wohnung/Etage","Wo ist die Wohnung im Haus?/Stockwerk"
"Telefonnummer (freiwillige Angabe)","Telefonnummer (Sie können Ihre Telefonnummer aufschreiben, müssen das aber nicht tun)"
"in Berlin seit","Seit wann sind Sie in Berlin angemeldet?"
"im Bezirk seit","Seit wann sind Sie in Ihrem Bezirk angemeldet?"
"zuletzt wohnhaft","Was war Ihre letzte Adresse?"
"Unterkunft","Haus/Wohnung"
"Mietwohnung","Sie mieten Ihre Wohnung"
"Hauptmieter/in","Sie sind Hauptmieter/in"
"Untermieter/in","Sie sind Untermieter/in"
"Name und Anschrift des Vermieters","Name und Adresse des Vermieters"
"Name des Hauptmieters","Name des Hauptmieters"
"Eigenheim","Ihr Haus gehört Ihnen"
"Eigentumswohnung","Ihre Wohnung gehört Ihnen"
"verwandt","verwandt"
"Wirtschaftsgemeinschaft","Ihr/e Lebenspartner/in und Sie bezahlen gemeinsam die Miete"
"Bitte Anlage 3 ausfüllen, dann weiter bei V.2","Bitte füllen Sie das Formular ""Anlage 3"" aus und machen dann bei V.2 weiter"
